,youtube_id,title,publishedAt,channel_name
19,YuFx9EJ9dlI,"State Board of Education Meeting September 13, 2023",2023-09-19T00:22:22Z,California Department of Education
31,K0XnOK6coig,"State Board of Education Meeting July 13, 2023",2023-07-19T19:16:37Z,California Department of Education
32,TRtoj3RdLWs,"State Board of Education Meeting July 12, 2023",2023-07-19T19:16:29Z,California Department of Education
46,A0HVwoagKPc,"State Board of Education Meeting May 19, 2023",2023-06-07T01:26:55Z,California Department of Education
47,ZhiRSvvmRgE,"State Board of Education Meeting May 18, 2023",2023-06-07T01:26:41Z,California Department of Education
66,9YwPXpTdNto,"State Board of Education Meeting March 9, 2023",2023-03-16T19:52:56Z,California Department of Education
67,xVhpuMrDu38,"State Board of Education Meeting March 8, 2023",2023-03-16T19:52:45Z,California Department of Education
89,ZX0sYPPjkVw,"State Board of Education Meeting January 20, 2023",2023-01-25T01:19:04Z,California Department of Education
90,-9xsmpQgk68,"State Board of Education Meeting January 19, 2023",2023-01-25T01:18:54Z,California Department of Education
106,67-RqsJnu-w,"State Board of Education Meeting November 3, 2022",2022-11-08T20:21:15Z,California Department of Education
107,OBOWAw5QrDY,"State Board of Education Meeting November 2, 2022",2022-11-08T20:21:10Z,California Department of Education
121,rOfXy2e6ewU,"State Board of Education Meeting September 15, 2022",2022-09-20T01:58:22Z,California Department of Education
122,rc3ZUoI7HyU,"State Board of Education Meeting September 14, 2022",2022-09-20T01:58:11Z,California Department of Education
144,7EkiiIE3qL8,"State Board of Education Meeting July 13, 2022",2022-07-21T19:58:29Z,California Department of Education
145,f6H5SjrwmUc,"State Board of Education Meeting July 14, 2022",2022-07-21T19:58:19Z,California Department of Education
172,W8tXfjIy0gE,"State Board of Education Meeting May 18, 2022",2022-05-23T18:37:48Z,California Department of Education
183,i9YPMFnJMrk,"State Board of Education Meeting March 10, 2022",2022-03-15T22:26:26Z,California Department of Education
184,-7THGKve5TQ,"State Board of Education Meeting March 9, 2022",2022-03-15T22:26:10Z,California Department of Education
212,sClKryNkZ9s,"State Board of Education Meeting January 12, 2022",2022-01-19T03:20:16Z,California Department of Education
225,nJJWdmuZ4kg,"State Board of Education Meeting November 3, 2021",2021-11-10T20:18:08Z,California Department of Education
226,yAp2XckqVv0,"State Board of Education Meeting November 4, 2021",2021-11-10T20:17:53Z,California Department of Education
251,Xv5pXCFBvXc,"State Board of Education Meeting September 9, 2021",2021-09-14T20:53:36Z,California Department of Education
280,Q4C_Ju1okz8,"State Board of Education Meeting July 14, 2021",2021-07-19T19:03:21Z,California Department of Education
318,qDFjcncsbm8,"State Board of Education Meeting May 13, 2021",2021-05-18T22:21:18Z,California Department of Education
319,g9iIaUKlZ4g,"State Board of Education Meeting May 12, 2021",2021-05-18T22:21:12Z,California Department of Education
326,FeCwzcEij0I,"State Board of Education Meeting March 18, 2021",2021-03-23T01:25:30Z,California Department of Education
327,3hOu-2TxYvE,"State Board of Education Meeting March 17, 2021",2021-03-23T01:25:18Z,California Department of Education
328,N1RnHpFaivc,"State Board of Education Meeting March 16, 2021",2021-03-23T01:25:03Z,California Department of Education
335,sEUfckV6Z6E,"State Board of Education Meeting February 24, 2021",2021-03-01T17:49:52Z,California Department of Education
342,pEa5CM4Jojw,"State Board of Education Meeting January 14, 2021",2021-01-19T20:06:56Z,California Department of Education
343,B7nCTivlrjY,"State Board of Education Meeting January 13, 2021",2021-01-19T20:06:41Z,California Department of Education
402,ISbDxZSLgO8,"State Board of Education Meeting November 6, 2020",2020-11-13T19:37:19Z,California Department of Education
403,cAc-Aer6ZLg,"State Board of Education Meeting November 5, 2020",2020-11-13T19:36:57Z,California Department of Education
437,zkFhRkoRrP4,"State Board of Education Meeting September 10, 2020",2020-09-15T00:47:08Z,California Department of Education
449,SHovrWGPvck,"State Board of Education Meeting July 9, 2020",2020-07-14T22:20:21Z,California Department of Education
450,MSj3faX_NfY,"State Board of Education Meeting July 8, 2020",2020-07-14T22:20:05Z,California Department of Education
459,YIhqPaRJZkQ,"State Board of Education Meeting May 7, 2020",2020-05-13T04:23:49Z,California Department of Education
477,dVQN7JDx5p8,"State Board of Education Meeting March 11, 2020",2020-03-16T21:12:30Z,California Department of Education
478,iZejrBwG3_4,"State Board of Education Meeting March 12, 2020",2020-03-16T21:12:19Z,California Department of Education
487,AOZlALHjqao,"State Board of Education Meeting January 9, 2020",2020-01-15T05:24:32Z,California Department of Education
488,It-MeRvktNw,"State Board of Education Meeting January 8, 2020",2020-01-15T05:23:37Z,California Department of Education
495,O31bYwfUrWg,"State Board of Education Meeting November 6, 2019",2019-11-13T20:50:40Z,California Department of Education
504,Ks8HdIlTa2E,"State Board of Education Meeting September 11, 2019",2019-09-17T18:43:44Z,California Department of Education
510,M6NUTtXmo6A,"State Board of Education Meeting July 10, 2019",2019-07-16T18:25:35Z,California Department of Education
522,EkQB4i-nExs,"State Board of Education Meeting May 8, 2019",2019-05-13T19:58:46Z,California Department of Education
523,uwOW6OWSU6c,"State Board of Education Meeting May 7, 2019 Study Session",2019-05-13T19:58:46Z,California Department of Education
524,u7eHod473pQ,"State Board of Education Meeting May 9, 2019",2019-05-13T19:58:45Z,California Department of Education
538,SdxSiEFHhls,"State Board of Education Meeting March 13, 2019",2019-03-19T00:35:25Z,California Department of Education
539,Z7zZe0iM5_M,"State Board of Education Meeting March 14, 2019",2019-03-19T00:35:13Z,California Department of Education
547,Z38wQzuoR14,"State Board of Education Meeting January 9, 2019",2019-01-15T01:07:54Z,California Department of Education
548,vHD60FyDgTE,"State Board of Education Meeting January 10, 2019",2019-01-15T01:07:31Z,California Department of Education
563,itEFIKzhMyE,"State Board of Education Meeting November 9, 2018",2018-11-14T17:13:06Z,California Department of Education
564,8akgYN0wNt4,"State Board of Education Meeting November 8, 2018",2018-11-14T17:12:45Z,California Department of Education
571,uHpH63PsXKs,"State Board of Education Meeting September 7, 2018",2018-09-11T23:50:48Z,California Department of Education
572,Fd3xQcjm7wY,"State Board of Education Meeting September 6, 2018",2018-09-11T23:50:34Z,California Department of Education
582,80N_dFpCU8o,"State Board of Education Meeting July 11, 2018",2018-07-17T22:53:15Z,California Department of Education
583,AynU5nnpg4M,"State Board of Education Meeting July 12, 2018",2018-07-17T22:53:03Z,California Department of Education
638,sT8sJrzXObo,"State Board of Education Meeting May 9, 2018",2018-05-23T20:45:45Z,California Department of Education
645,vxGQ2aK3B7I,"State Board of Education Meeting April 12, 2018",2018-04-23T16:32:26Z,California Department of Education
650,GA7XGqToWHA,"State Board of Education Meeting March 15, 2018",2018-03-19T21:28:19Z,California Department of Education
651,5pMJ64dX0Po,"State Board of Education Meeting March 14, 2018",2018-03-19T21:28:07Z,California Department of Education
662,bDkNqT7iD8U,"State Board of Education Meeting January 19, 2018",2018-01-26T00:20:15Z,California Department of Education
663,GwTWwqytZAc,"State Board of Education Meeting January 18, 2018",2018-01-26T00:19:58Z,California Department of Education
669,kXvB6Xsci-E,"State Board of Education Meeting November 9, 2017",2017-11-28T23:47:50Z,California Department of Education
671,Ifl9NhARvmU,"State Board of Education Meeting November 8, 2017",2017-11-21T23:12:00Z,California Department of Education
693,KeekxiY-40E,"State Board of Education Meeting September 14, 2017",2017-09-19T23:48:06Z,California Department of Education
694,mE-HUgWXfRc,"State Board of Education Meeting September 13, 2017",2017-09-19T23:47:55Z,California Department of Education
700,74BuIMUAH1Q,"State Board of Education Meeting July 13, 2017",2017-07-18T15:18:58Z,California Department of Education
701,IWun2CXmia8,"State Board of Education Meeting July 12, 2017",2017-07-18T15:18:39Z,California Department of Education
709,WMCxtuuEzOM,"State Board of Education Meeting May 11, 2017",2017-05-18T00:36:56Z,California Department of Education
710,FmCpID8rz4I,"State Board of Education Meeting May 10, 2017",2017-05-18T00:11:51Z,California Department of Education
719,hZRDvqkXo20,"State Board of Education Meeting March 9, 2017",2017-03-16T15:07:23Z,California Department of Education
720,rdkFd-KMwnk,"State Board of Education Meeting March 8, 2017",2017-03-16T15:07:01Z,California Department of Education
727,7S1sYobwAiE,"State Board of Education Meeting January 11, 2017",2017-01-20T22:50:20Z,California Department of Education
728,xGsaGAm8mHs,"State Board of Education Meeting January 12, 2017",2017-01-20T22:50:10Z,California Department of Education
732,HSUPzI8KCsc,"State Board of Education Meeting November 2, 2016",2016-11-14T22:49:01Z,California Department of Education
733,c7HxBUYHuLE,"State Board of Education Meeting November 3, 2016",2016-11-14T22:48:46Z,California Department of Education
