youtube_id,title,publishedAt,channel_name
YZNXgjnAHJk,LIVE at Education Freedom Savings Account Oversight Committee,2023-10-26T03:18:26Z,Reaching Higher NH
9rk5kcBZPdA,LIVE at the Committee to Study Teacher Shortages and Recruitment Incentives,2023-10-19T17:10:09Z,Reaching Higher NH
zqbaUvgyydM,New Hampshire State Board of Education Meeting 10/10/2023,2023-10-12T18:24:36Z,Reaching Higher NH
6NViYjNK9Gw,WEBINAR: Unpacking the Public School Approval Rules: What's Next,2023-10-05T17:15:12Z,Reaching Higher NH
pCCRQABCR90,LIVE at the Committee to Study New Hampshire Teacher Shortages and Recruitment Incentives,2023-10-03T12:56:54Z,Reaching Higher NH
bUmZCAQzGqI,New Hampshire State Board of Education 09/14/2023,2023-09-15T01:59:08Z,Reaching Higher NH
0aNWU4iaqJs,Commission on New Hampshire Civics 09/13/2023,2023-09-13T22:28:10Z,Reaching Higher NH
SqInMji62dI,Committee to Study NH Teacher Shortages and Recruitment Incentives 09/12/2023,2023-09-13T15:53:30Z,Reaching Higher NH
Wh728TvvTbA,LIVE at the Education Freedom Account Oversight Committee,2023-09-13T14:36:41Z,Reaching Higher NH
YbSpm6QHKM4,Committee to Study NH Teacher Shortages and Recruitment Incentives 06/26/2023,2023-06-28T12:49:33Z,Reaching Higher NH
AHwWi84Ixis,Legislative Oversight Committee for the Education Improvement and Assessment Program 6/12/2023,2023-06-13T01:41:37Z,Reaching Higher NH
xWDX__8ASok,EFA Oversight Committee 05/05/2023,2023-06-06T19:35:17Z,Reaching Higher NH
vKtDqmY1vWY,WEBINAR: Unpacking the Senate Finance Committee's Recommended Budget,2023-06-01T12:51:56Z,Reaching Higher NH
AbEYsIVE-bE,Committee to Study New Hampshire Teacher Shortages and Recruitment Incentives 05/08/2023,2023-05-09T03:04:14Z,Reaching Higher NH
zGW5Q4_jznI,Committee to Study New Hampshire Teacher Shortages and Recruitment Incentives 04/14/2023,2023-04-19T14:25:33Z,Reaching Higher NH
U8lJ8SmSDMs,WEBINAR: Unpacking the House Finance Committee Recommended Budget 4/3/23,2023-04-03T18:19:49Z,Reaching Higher NH
sVg5CH0EkSk,Legislative Oversight Committee for the Education Improvement and Assessment Program 3/27/2023,2023-03-27T20:53:26Z,Reaching Higher NH
Kv_oa0aSRac,WEBINAR: Looking Ahead: Education Policy in 2023,2023-01-31T03:11:15Z,Reaching Higher NH
Oxsg8Q5tfGM,WEBINAR: School Vouchers in New Hampshire: What's Next,2023-01-30T21:15:57Z,Reaching Higher NH
l24h_zeIz6s,House Education at NHED 01/17/2023,2023-01-18T20:40:41Z,Reaching Higher NH
SV1rJPVQe4A,WEBINAR: NH League of Women Voters Event: Supporting NH Public Schools,2022-11-29T13:43:29Z,Reaching Higher NH
iorrFAHdPZY,Committee to Study New Hampshire Teacher Shortages and Recruitment Incentives 09/21/2022,2022-09-23T13:01:24Z,Reaching Higher NH
7yOITM727lU,WEBINAR: Briefing on Proposed Rule Changes to the Minimum Standards for Public School Approval,2022-09-02T20:10:20Z,Reaching Higher NH
aHOseqflrqo,NH GIVES 2022,2022-05-10T16:47:59Z,Reaching Higher NH
4aHjg9hjQIA,WEBINAR: Budget and Tax Caps in New Hampshire,2022-04-19T16:58:43Z,Reaching Higher NH
Dr2YU8jiH70,WEBINAR: School Funding Update: February 2022,2022-02-22T21:43:16Z,Reaching Higher NH
nSpL5gB08gE,WEBINAR: 2022 Legislative Overview: 7 Key Education Policy Trends to Watch in New Hampshire,2022-01-14T15:36:21Z,Reaching Higher NH
oBCUoFM3JEw,WEBINAR: HB 607 Informational Session,2021-12-20T22:26:17Z,Reaching Higher NH
diITMjz9qBo,WEBINAR: Understanding the Statewide Education Property Tax (SWEPT),2021-10-18T21:50:53Z,Reaching Higher NH
M_Ken1QWn7g,"WEBINAR: New Hampshire Education Network meeting, September 13, 2021",2021-09-16T17:18:44Z,Reaching Higher NH
7DsDnvp7mOc,WEBINAR: Education in the State Budget,2021-06-08T17:50:19Z,Reaching Higher NH
GHsr69Il-2U,WEBINAR: Higher Education Roundtable by NH Alliance for College and Career Readiness,2021-05-19T20:14:49Z,Reaching Higher NH
7d34uyoMBrM,WEBINAR: HB 20: A Primer on the Statewide Voucher Bill,2021-02-01T21:57:59Z,Reaching Higher NH
LL5W9UCx8iM,"Different School, Different World: An Introduction to School Funding in New Hampshire",2020-12-04T13:05:14Z,Reaching Higher NH
gdtvEjQn6X4,WEBINAR: Researching Legislation in NH,2020-10-27T21:28:52Z,Reaching Higher NH
WrJekCdF7Nc,"House Education Committee Executive Session, May 7, 2019",2019-05-07T17:58:06Z,Reaching Higher NH
3fLjEJowKUc,House Education Committee Public Hearing: HB 1492,2018-01-31T19:41:04Z,Reaching Higher NH
ReUZ3j1k8dw,"The New Hampshire State Board of Education meeting April 6, 2017, part 2",2017-04-08T14:52:29Z,Reaching Higher NH
bsiCyfbPDMY,"New Hampshire State Board of Education Meeting, April 6, 2017",2017-04-07T22:16:43Z,Reaching Higher NH
BSmMfAXNIA8,WEBINAR: NH Public Education Funding Webinar,2017-03-07T19:42:32Z,Reaching Higher NH
y2ZHYbOcXEk,Get Schooled NH! Student Video Contest,2016-11-14T18:01:09Z,Reaching Higher NH
