youtube_id,title,publishedAt,channel_name
P4_gF67AOBM,"Commission on School Funding - November 9, 2023, at 9:00 AM",2023-11-09T21:34:06Z,Nevada Department of Education
PWqAfJPTAq4,Nevada Department of Education Regulation Workshop - November 2nd - 2:00PM,2023-11-03T09:51:29Z,Nevada Department of Education
dV5FhXzyHLo,"Nevada State Board of Education Meeting - November 1st, 2023, at 2:00PM",2023-11-02T01:41:13Z,Nevada Department of Education
xuFneiniBN8,Portrait of a Nevada Learner Pedagogy: Playlists,2023-11-01T14:37:37Z,Nevada Department of Education
xVgfEVkiphQ,Portrait of a Nevada Learner Pedagogy: Balanced Blended,2023-10-25T17:18:01Z,Nevada Department of Education
CvAeetVYn5U,MoneySKILL: Free Personal Finance Course for your Classroom,2023-10-25T17:00:49Z,Nevada Department of Education
TQKgGpOP7z0,Invest with understanding - and confidence,2023-10-25T16:57:51Z,Nevada Department of Education
Rw6InQjiCyk,"Military Interstate Childrens Compact Commission - III , November 13th, 2023, 10:00AM",2023-10-25T16:51:20Z,Nevada Department of Education
6YxPuK802gU,"Commission on School Funding - October 20, 2023, 9:00AM",2023-10-20T21:23:48Z,Nevada Department of Education
VzJE33BQ184,Statewide Council for the Coordination of Regional Training Programs - October 19th - 2:00 PM,2023-10-20T11:05:31Z,Nevada Department of Education
_jxHNiNhkqc,FY23 NRS 387 388A Report Office Hour,2023-10-13T16:05:14Z,Nevada Department of Education
Qmf6uhxl5GE,Commission on Professional Standards,2023-10-12T05:12:12Z,Nevada Department of Education
LhbIBtUjqbU,"Nevada Department of Education NPWR Advisory Committee - October 5th, 2023, at 10:00AM",2023-10-06T06:17:22Z,Nevada Department of Education
WD0eHBuNPhc,"Nevada State Board of Education Meeting - October 4th, 2023, at 2:00PM",2023-10-05T02:29:05Z,Nevada Department of Education
oujNCS0CskY,Portrait of a Nevada Learner Pedagogy: Station Rotation,2023-10-04T18:51:25Z,Nevada Department of Education
LdBPyYZDWs0,Commission on Professional Standards,2023-10-04T15:47:24Z,Nevada Department of Education
