youtube_id,title,publishedAt,channel_name
8byulT_E6Ck,PA is Making Black History,2023-02-24T15:19:57Z,Pennsylvania Department of Education
AnLcQYOqtGA,2023 Guidelines for Selection and Use of Accommodations for Keystone Exams and PSSA Tests,2022-11-29T16:54:53Z,Pennsylvania Department of Education
yFABcA9c1uI,Lunch and Learn - Virtual Author Talk: Dave Tamanini,2022-10-12T13:32:34Z,Pennsylvania Department of Education
fdxQuwz6FQs,Lunch and Learn: State Library Services,2022-09-21T15:47:11Z,Pennsylvania Department of Education
EDE4r4Wd2uY,Lunch and Learn: Constitution Day,2022-09-19T15:53:13Z,Pennsylvania Department of Education
wy4D7jI9hSk,Virtual Author Talk: Don Helin,2022-07-13T19:23:51Z,Pennsylvania Department of Education
WS2TchBU02I,Lunch and Learn: Forum Building Restoration,2022-07-13T18:42:42Z,Pennsylvania Department of Education
zI6-rfjajsc,"PDE Bell Ringer - Episode 1: Dr. Al B. Quarles, II",2022-05-11T13:11:22Z,Pennsylvania Department of Education
90v4qIshOlc,Social Emotional Wellness: Social-Emotional Practices in Action,2022-05-04T20:20:40Z,Pennsylvania Department of Education
lAzHa7vHMa8,Social Emotional Wellness: Data into Practice,2022-05-04T20:20:05Z,Pennsylvania Department of Education
1YYVioAfYYk,Pa Youth Survey- Preliminary Highlights Report,2022-05-04T20:19:44Z,Pennsylvania Department of Education
Bll6_yyUx8s,Lunch and Learn: Benjamin Franklin's Pen and Press,2022-05-04T19:43:38Z,Pennsylvania Department of Education
D9V6yE1Cyf4,Creating job descriptions to attract your best-fit general education teacher candidates,2022-04-13T19:40:10Z,Pennsylvania Department of Education
UqG-Ll4HbNg,Creating special educator job descriptions to attract your best-fit candidates,2022-04-13T19:39:41Z,Pennsylvania Department of Education
YuvnrvhZ9GA,Developing/Enhancing Social Recruitment Through Social Media and Use of Current Staff,2022-04-13T19:38:25Z,Pennsylvania Department of Education
oKpiyQuYo80,ESSER Reporting Requirements,2022-04-01T15:47:30Z,Pennsylvania Department of Education
wDND7FUaMD4,PDE’s 2021 Future Ready Data Release,2022-03-29T18:31:08Z,Pennsylvania Department of Education
xjvzFwxoEl0,"State Library of Pennsylvania Virtual Author Talk: Joel Burcat discusses his book, Strange Fire",2022-03-24T14:33:42Z,Pennsylvania Department of Education
zd3lmmLaMuw,Act 13 Interactive Toolkit,2022-03-22T13:11:38Z,Pennsylvania Department of Education
P1pq1-7Mj1Q,Act 13 Rating Forms,2022-03-22T13:10:51Z,Pennsylvania Department of Education
D31vFcwfmdE,Act 13 2/9/2022 – Student Performance Measures/Performance Templates,2022-03-18T13:46:27Z,Pennsylvania Department of Education
AZs8U3ZoD1w,Act 13 3/3/22 – Targeted Topics,2022-03-18T13:45:08Z,Pennsylvania Department of Education
s7bTbSUJHe4,"Author Event - Gerri Almand, ""How a Reluctant RV Wife became an Accidental Author""",2022-03-02T14:16:23Z,Pennsylvania Department of Education
0A5xJ2fbGZw,WEBINAR: Act 13: Frequently Asked Questions,2022-02-16T14:34:06Z,Pennsylvania Department of Education
IZ7Cltmtpvc,WEBINAR: Act 13: Toolkit Overview/Rating Forms,2022-02-16T14:20:54Z,Pennsylvania Department of Education
Aw0Jy9Pq3Ko,Local Assessments: Analyze and Interpret: Local Assessment Reports (LA4),2021-11-29T15:31:19Z,Pennsylvania Department of Education
6ge6ysMsZk8,Local Assessments: Analyze and Interpret: Local Growth Reports (LA5),2021-11-29T15:29:22Z,Pennsylvania Department of Education
HaeuRrEVzg8,Lunch and Learn: Pennsylvania Lumber Museum - November 2021,2021-11-18T19:42:50Z,Pennsylvania Department of Education
IfHClVMRHZw,Creating a Local Assessment Plan,2021-11-09T16:10:56Z,Pennsylvania Department of Education
sbLnw5NwVkA,Assessment Literacy and Designing Local Assessments,2021-11-09T16:03:51Z,Pennsylvania Department of Education
uy9k7UeJR9k,Data Analysis Protocols and Communicating Student Progress,2021-11-09T16:02:38Z,Pennsylvania Department of Education
9mUKfO2toMw,"""PDE Presents..."" Episode 12",2021-10-27T20:31:47Z,Pennsylvania Department of Education
qoJYS8TFjPY,Lunch and Learn: Pennsbury Manor,2021-10-22T17:55:06Z,Pennsylvania Department of Education
QuYIozhjrg8,"""PDE Presents..."" Episode 11",2021-10-19T19:30:50Z,Pennsylvania Department of Education
w4wY8AEFgWA,"""PDE Presents..."" Episode 10",2021-10-12T14:03:51Z,Pennsylvania Department of Education
ZqA5SC_udXE,"""PDE Presents..."" Episode 9",2021-09-17T14:17:18Z,Pennsylvania Department of Education
_7_ZKdOVM3E,Lunch and Learn: Author Talk: Mystery Writer Sandy Nork,2021-09-09T13:44:16Z,Pennsylvania Department of Education
UX4tHLCO0B0,"""PDE Presents..."" Episode 8",2021-09-03T14:21:57Z,Pennsylvania Department of Education
tjWwdJaT318,Lunch and Learn: Pennsylvania Author Catherine Jordan – August 2021,2021-08-31T13:17:35Z,Pennsylvania Department of Education
et5xVUrkOvU,Lunch and Learn: Drake Well Museum and Park,2021-08-25T19:12:20Z,Pennsylvania Department of Education
b06LroyLfls,"""PDE Presents..."" Episode 7",2021-08-25T15:53:11Z,Pennsylvania Department of Education
MPy3NYqm-oE,A Letter to Our School Communities from Secretary Noe Ortega,2021-08-20T20:17:32Z,Pennsylvania Department of Education
GPPsOvo44to,Lunch and Learn: Illustrated Books Through Time,2021-08-17T13:54:53Z,Pennsylvania Department of Education
MhDqMNCN-Y0,Local Assessment: Data Analysis Protocols and Communicating Student Progress,2021-08-13T15:04:42Z,Pennsylvania Department of Education
lkSc4pRp8Hc,Local Assessment: Creating a Local Assessment Plan,2021-08-13T14:46:54Z,Pennsylvania Department of Education
7wedxv_o2Rc,Local Assessment: Assessment Literacy and Designing Local Assessments,2021-08-13T14:46:26Z,Pennsylvania Department of Education
EjfcaGiS7z4,U.S. Department of Education’s Three-Part Test for ESSER/GEER Expenditures,2021-08-12T13:57:34Z,Pennsylvania Department of Education
sFSgZNfT5MA,Overview of ARP ESSER and Set-Aside Funding,2021-08-05T13:00:23Z,Pennsylvania Department of Education
du7icsYmTJw,Systems Conditions: Staffing: Mentoring and induction,2021-07-28T14:18:41Z,Pennsylvania Department of Education
xWBNPHOmS6c,Landis Valley Village and Farm Museums,2021-07-23T15:33:59Z,Pennsylvania Department of Education
6CCFDPi7TU4,Researching Your Revolutionary War Ancestors,2021-07-16T17:53:28Z,Pennsylvania Department of Education
F1wuHlE4Tm4,Lunch and Learn: Operation Desert Storm - Reflections 30 Years Later,2021-07-16T17:52:31Z,Pennsylvania Department of Education
Yd9fSyaUMF8,Accelerated Learning For Executives And Team,2021-07-09T19:26:19Z,Pennsylvania Department of Education
7gJiHeBzlUQ,Charter Annual Report Submission,2021-07-09T18:07:11Z,Pennsylvania Department of Education
eSNpyHZZV3g,Lunch and Learn: Stories and Recipes From Jamison Farm To Your Table,2021-06-21T14:27:53Z,Pennsylvania Department of Education
8dk-b_S0kEE,Scaffolded Supports: Foundational Supports – Universal Design,2021-06-21T13:13:06Z,Pennsylvania Department of Education
uUFmYOT0qkY,Systems Conditions: Implementation and Monitoring Routines,2021-06-11T12:39:43Z,Pennsylvania Department of Education
ln0VwDc8wXg,PIMS Adult & Secondary 2020-21 CTE Student Data Set Webinar,2021-06-08T17:30:48Z,Pennsylvania Department of Education
gZKRUzXV_HE,Designing for Equity in Distance Learning,2021-05-28T20:29:02Z,Pennsylvania Department of Education
A3eCkwdHdaI,Equity in Education: Using Data to Inform Practice,2021-05-28T20:28:58Z,Pennsylvania Department of Education
Ain_p4qi4pQ,Virtually Empowering Digital Citizenship,2021-05-28T20:28:53Z,Pennsylvania Department of Education
ds7IqFDcSkk,Managing Teacher & Student Morale in an Online/Hybrid Model,2021-05-28T20:28:48Z,Pennsylvania Department of Education
2DAiGUM9MYs,Improving School Attendance During the COVID Pandemic in Lehigh County,2021-05-28T20:28:43Z,Pennsylvania Department of Education
bfmtmq0HnIk,Special Education Discipline Reporting,2021-05-28T20:28:27Z,Pennsylvania Department of Education
ydI8zEWegjc,Getting the Green Check,2021-05-28T20:28:20Z,Pennsylvania Department of Education
EFULiO6VY8U,Evidence-Based Strategies for Increasing Regular Attendance in a Hybrid/Remote Environment,2021-05-28T20:28:12Z,Pennsylvania Department of Education
sNroJkWfxTY,Implementing and Reporting Act 158 Graduation Requirements,2021-05-28T20:28:03Z,Pennsylvania Department of Education
N1q7pe0MbeI,"Safe Schools Initiatives: Trauma Informed Instruction, Culture and Climate, Equity and Bullying",2021-05-28T20:27:52Z,Pennsylvania Department of Education
ojmGq51i2fw,Getting Your Data Organized!,2021-05-28T20:27:46Z,Pennsylvania Department of Education
bmkPqq9-qV8,Reporting Your Out-Placed Students for Child Accounting,2021-05-28T20:27:31Z,Pennsylvania Department of Education
AULJcn8vbag,"Staff, Student, and Course Collections – Plus How They Add Up to Appropriately Certified",2021-05-28T20:27:19Z,Pennsylvania Department of Education
2gpWY06ChR8,Deeper Dive Into Critical PIMS Reports,2021-05-28T20:27:09Z,Pennsylvania Department of Education
N_EY1VxnuhY,Lunch and Learn: Researching Your Immigrant Ancestors,2021-05-24T11:57:47Z,Pennsylvania Department of Education
1ktiggeFbpI,Scaffolded Supports: Universal/Core Landscape – Explicit Instruction,2021-05-20T20:50:23Z,Pennsylvania Department of Education
WVJiAHRfz18,Social and Emotional Wellness: Overview of Comprehensive Mental Health Systems in Schools,2021-05-13T13:36:14Z,Pennsylvania Department of Education
Smajm4aUKn8,Staffing: Staff wellness and working climate/conditions,2021-05-13T13:34:46Z,Pennsylvania Department of Education
rhTnZRNXa2s,Scaffolded Supports: Overview of Comprehensive Scaffolded Supports,2021-05-13T13:30:59Z,Pennsylvania Department of Education
vZ1I-jrbjls,Systems Conditions: Scheduling - Lessons Learned from Scheduling and Transitions Over the Last Year,2021-05-13T13:28:27Z,Pennsylvania Department of Education
4RbpXSAKTkU,Systems Conditions: Framing Community Conversations,2021-05-13T13:24:49Z,Pennsylvania Department of Education
IghqgUz0qRg,Scaffolded Supports: Supporting Students with Significant Learning and Behavioral Needs,2021-05-11T17:34:30Z,Pennsylvania Department of Education
0aeGI0i3ZU8,Steven Hernandez - Evolving Cybersecurity Risk during COVID-19,2021-05-10T18:02:26Z,Pennsylvania Department of Education
f0WJpIMpmp8,"Jonathan Mooney - Normal Sucks: How to Live, Learn and Thrive, Outside the Lines",2021-05-10T18:02:24Z,Pennsylvania Department of Education
2tXDkHQleGU,Secretary Ortega - News from Noe: Meet PDE’s New Secretary of Education,2021-05-10T18:02:21Z,Pennsylvania Department of Education
Y-Cn8C3FJK8,Introduction to Local Assessments: Reporting and Analytics,2021-05-10T14:14:58Z,Pennsylvania Department of Education
rfcrl_N_adA,Lunch and Learn: Publishers' Bindings,2021-05-10T00:59:53Z,Pennsylvania Department of Education
1ParqTF96vQ,Lunch and Learn: Let's Talk Beer!,2021-05-10T00:43:32Z,Pennsylvania Department of Education
jffKU4X2LDQ,"Systems Conditions: What Administrators need to know about Family Engagement, Parts 1 and 2",2021-05-07T13:07:05Z,Pennsylvania Department of Education
HpGsfrCegQs,Scaffolded Supports: Class-wide Supports,2021-05-07T12:54:47Z,Pennsylvania Department of Education
OlnA1d8Xix8,Scaffolded Supports: Strategic and Intensive Supports,2021-05-06T04:00:11Z,Pennsylvania Department of Education
q5TjDLzdIs8,Scaffolded Supports: Supporting Gifted Learners,2021-05-06T04:00:10Z,Pennsylvania Department of Education
6xgg7QlgPk8,Scaffolded Supports: Additional Accelerated Opportunities,2021-05-06T04:00:01Z,Pennsylvania Department of Education
P04x-2EvwHE,PDE Presents…Episode 6,2021-05-05T13:24:46Z,Pennsylvania Department of Education
qoTuDTxzhCo,Lunch and Learn: 18th Century Books,2021-05-04T16:50:12Z,Pennsylvania Department of Education
5Ri7CoO61SY,2021 Teacher Appreciation Week Message From Acting Deputy Secretary Tanya I. Garcia,2021-05-04T15:37:04Z,Pennsylvania Department of Education
45CV-2p56sQ,"2021 Teacher Appreciation Week Message From Joe Welch, Pennsylvania's Teacher of the Year",2021-05-04T15:37:01Z,Pennsylvania Department of Education
S1uL3txVvrY,"2021 Teacher Appreciation Week Message From Gisele Barreto Fetterman, Pennsylvania's Second Lady",2021-05-04T15:36:58Z,Pennsylvania Department of Education
loiotIpHdRw,2021 Teacher Appreciation Week Message From Acting Secretary of Education Noe Ortega,2021-05-04T15:33:07Z,Pennsylvania Department of Education
9NNGvhnKM1I,2021 Teacher Appreciation Week Message From Governor Tom Wolf,2021-05-04T15:00:05Z,Pennsylvania Department of Education
3WI7rNoxA-I,Career and Technical Education in Pennsylvania - 2021,2021-04-30T12:50:30Z,Pennsylvania Department of Education
KkPkTwQecXw,Social and Emotional Wellness: Mobilization of Staff/Student Wellness,2021-04-29T19:20:48Z,Pennsylvania Department of Education
BANJ8rj3Ro4,Academics: Analyze & Interpret,2021-04-29T18:27:16Z,Pennsylvania Department of Education
wJtzZhmQZzg,"Academics: Reflect, Monitor and Share",2021-04-29T18:24:49Z,Pennsylvania Department of Education
AZG1HlZoNB4,Systems Conditions: Stakeholder Mapping,2021-04-29T18:23:30Z,Pennsylvania Department of Education
_j4ArKo0Ph4,Social and Emotional Wellness: Planning for Success,2021-04-29T18:19:47Z,Pennsylvania Department of Education
J1o0oHnTwnk,Social and Emotional Wellness: Teaming for Success,2021-04-29T18:17:55Z,Pennsylvania Department of Education
sjjjk3N7weI,Social and Emotional Wellness: Moving to Action,2021-04-29T18:15:26Z,Pennsylvania Department of Education
TicI5q9vN7w,Academics: Overview of Comprehensive Academic Processes for Assessment and Data Utilization,2021-04-29T18:12:56Z,Pennsylvania Department of Education
CJyzGjODius,"Systems Conditions: Recruitment, Hiring and Training of Extended Learning Opportunities",2021-04-28T19:37:35Z,Pennsylvania Department of Education
oKfuDxPVOiM,Staffing: Assessing Educators’ Capacity and Needs Re: Effectively Teaching for Accelerated Learning,2021-04-28T19:12:50Z,Pennsylvania Department of Education
O78f0_42CU4,Systems Conditions: Developing Districtwide Procedures for Online and Hybrid Learning Programs,2021-04-28T14:16:19Z,Pennsylvania Department of Education
gQF4PGEkpZc,Academics: Instruction,2021-04-28T14:16:13Z,Pennsylvania Department of Education
chR-hjqnYM8,PDE Presents…Episode 5,2021-04-26T17:50:44Z,Pennsylvania Department of Education
0my35MynX6c,Lunch and Learn: Talk with Author Phaedra Patrick,2021-04-23T18:49:31Z,Pennsylvania Department of Education
pi9bAGu-5RM,Navigating the Roadmap: Retaining and Recruiting for School Year 2021-22; Strategic Staffing,2021-04-22T18:22:02Z,Pennsylvania Department of Education
u42I6LTb2Bg,Navigating the Roadmap: Supporting Staff and Student Wellness,2021-04-22T18:22:00Z,Pennsylvania Department of Education
RxyM2ndTtOo,Navigating the Roadmap: Ensuring Effective Local Assessments,2021-04-22T18:21:57Z,Pennsylvania Department of Education
NQiHN12ySSo,TIMS LEA Provisioned User Training,2021-04-22T14:19:07Z,Pennsylvania Department of Education
5nrQcNC30BI,Systems Conditions: Overview of Accelerated Learning Series,2021-04-16T19:15:59Z,Pennsylvania Department of Education
9izRs4KtsYc,PDE Presents…Episode 4,2021-04-09T12:34:04Z,Pennsylvania Department of Education
2ck5Q5_9MaM,Child Abuse Prevention Month 2021,2021-03-26T19:31:09Z,Pennsylvania Department of Education
RXvkSDiE8UM,National Nutrition Month 2021,2021-03-25T17:24:34Z,Pennsylvania Department of Education
J4S94V4RaO4,"""PDE Presents..."" Episode 3",2021-03-22T20:34:23Z,Pennsylvania Department of Education
2jVg9pohIoE,Webinar: Equitable Practices Through a Trauma Informed Lens,2021-03-15T03:14:32Z,Pennsylvania Department of Education
-Uu7dmzvsLk,Lunch and Learn: Genealogy,2021-03-10T16:50:11Z,Pennsylvania Department of Education
ndg1ELjVbUc,"""PDE Presents..."" Episode 2",2021-03-08T22:54:09Z,Pennsylvania Department of Education
v0UQwbOz_Wo,Navigating the Roadmap: Addressing Attendance and Truancy,2021-02-22T14:18:33Z,Pennsylvania Department of Education
CuW7ipeU_bo,Federal State Leadership Grant Competition Information Webinar,2021-02-19T21:36:18Z,Pennsylvania Department of Education
Q1NOkTk8mD0,Navigating the Roadmap: Ensuring Equity for Vulnerable Youth,2021-02-19T19:38:23Z,Pennsylvania Department of Education
aFLeIZSoW_o,"""PDE Presents..."" Episode 1",2021-02-02T20:30:45Z,Pennsylvania Department of Education
TjrKsafeOKE,A System Model for Distance Education Session 2: A Blueprint to Lead Past the Pandemic,2021-01-05T13:34:35Z,Pennsylvania Department of Education
d_xXE-5Chxg,"One Hundred Voices: Harrisburg's Historic African American Community, 1850-1920",2020-12-17T19:40:43Z,Pennsylvania Department of Education
PR_fxQobYXc,Creating Equitable School Systems - Connectivity,2020-11-20T17:38:00Z,Pennsylvania Department of Education
MXNIyFgy82s,Creating Equitable School Systems – High Quality Professional Learning,2020-11-20T17:33:09Z,Pennsylvania Department of Education
