youtube_id,title,publishedAt,channel_name
CisZ6m-_lRw,Superintendent Thurmond's 2023 Digital Citizenship Week Message,2023-11-09T01:12:16Z,California Department of Education
rqXdw30u6Rc,Digital Citizenship and Digital Safety - 2023 Digital Citizenship Week,2023-11-07T18:55:35Z,California Department of Education
s_x12A3843A,Digital Citizenship and Mental Health - 2023 Digital Citizenship Week,2023-11-07T18:52:55Z,California Department of Education
RQjrFZoCIIo,Digital Citizenship and Assistive Technology - 2023 Digital Citizenship Week,2023-11-07T18:50:20Z,California Department of Education
O35efka1PWg,Digital Citizenship and Inclusive Technologies - 2023 Digital Citizenship Week,2023-11-07T18:45:15Z,California Department of Education
adfpVOPc_74,Digital Citizenship and Balance - 2023 Digital Citizenship Week,2023-11-07T18:41:29Z,California Department of Education
LKrAsU2qK34,"CASI Regional Training, October 2023",2023-11-04T04:15:29Z,California Department of Education
eJBs-SGr7UE,"CASI Charter Chat, October 2023",2023-11-04T04:15:07Z,California Department of Education
NJVGWyOokek,"ACSE Meeting October 19, 2023",2023-11-01T17:47:09Z,California Department of Education
TAgovwQ7pJM,"ACSE Meeting October 18, 2023",2023-11-01T17:46:59Z,California Department of Education
tYI5wa97RX4,"Early Education Webinar October 17, 2023",2023-10-20T04:26:16Z,California Department of Education
S7qyXELhOnU,CA School Dashboard: 2023 Academic Indicators,2023-10-19T18:10:52Z,California Department of Education
7tcxCS-1VVo,CA School Dashboard: 2023 Chronic Absenteeism Indicator,2023-10-19T18:10:47Z,California Department of Education
WuHNGYpjb_A,CA School Dashboard: 2023 Dashboard 101,2023-10-19T18:10:38Z,California Department of Education
_jTQnisAazg,ELA/ELD Session 1: Overview Comprehensive Literacy,2023-10-10T15:36:16Z,California Department of Education
rsDf1m7XggY,"CASI Charter Chat, September 2023",2023-10-05T04:51:02Z,California Department of Education
c1i0d4RIe8Q,UPK Funded Enrollment Calculator,2023-10-02T22:07:15Z,California Department of Education
OO06Bkz9vR8,"IQC Meeting September 20, 2023",2023-09-28T23:38:39Z,California Department of Education
fsmRHOc3xdE,SB210 Update,2023-09-27T17:30:16Z,California Department of Education
YuFx9EJ9dlI,"State Board of Education Meeting September 13, 2023",2023-09-19T00:22:22Z,California Department of Education
B5l8Zstcyow,"EEF: 2021-26 Annual Report, August 2023",2023-09-13T19:01:12Z,California Department of Education
glXUBGMr4Xg,"CASI Charter Chat, August 2023",2023-09-12T01:09:44Z,California Department of Education
vh7abP9Hb08,CPAG August 2023 Video Recording,2023-09-07T22:00:53Z,California Department of Education
4SJjK4-HYvI,HSE 2023: California High School Equivalency,2023-08-26T01:17:38Z,California Department of Education
pDvVWOcb1f8,HSE 2023: The HiSET Program,2023-08-26T01:17:30Z,California Department of Education
8GhMXcEhiG8,HSE 2023: GED Testing Service,2023-08-26T01:17:21Z,California Department of Education
gJyShVzWSGk,"2023-24 CBEDS Training, August",2023-08-25T00:17:42Z,California Department of Education
Y_3F57ygd7E,"ACSE Meeting August 16, 2023",2023-08-25T00:06:58Z,California Department of Education
J7v_PCPePH0,"ACSE Meeting August 17, 2023",2023-08-25T00:06:48Z,California Department of Education
9s1TdmTsyiI,"ACCS Meeting August 8, 2023",2023-08-11T17:50:41Z,California Department of Education
fGO_B5v3-VE,"CASI Charter Chat, July 2023",2023-08-01T16:27:28Z,California Department of Education
K0XnOK6coig,"State Board of Education Meeting July 13, 2023",2023-07-19T19:16:37Z,California Department of Education
TRtoj3RdLWs,"State Board of Education Meeting July 12, 2023",2023-07-19T19:16:29Z,California Department of Education
spDtzle0Vgc,"ACCS Meeting June 13, 2023",2023-07-19T19:16:19Z,California Department of Education
qIPsCgY348Q,"Antibias Education Grant Program, June 2023",2023-07-14T02:16:49Z,California Department of Education
sFbWyAMj6YI,"ACSE Meeting June 15, 2023",2023-07-06T21:54:06Z,California Department of Education
tdfrQAtuWxY,"ACSE Meeting June 14, 2023",2023-07-06T21:53:56Z,California Department of Education
O4m--VCmFzk,"CASI Charter Chat, June 2023",2023-07-04T04:02:33Z,California Department of Education
yc4S6tHz_uA,"P-3 Webinar December 1, 2022",2023-07-04T02:58:31Z,California Department of Education
KpTkuFalsaw,Part 3: Supporting Dual Language Learners,2023-06-27T03:24:41Z,California Department of Education
O4kx5v27nrM,"CWPJAC Meeting for May 25, 2023",2023-06-26T21:44:13Z,California Department of Education
iE0Oo8T8AdM,Part 1: Identifying Dual Language Learners,2023-06-14T20:07:14Z,California Department of Education
nrirQYigPfQ,Part 2: Reporting Dual Language Learners,2023-06-14T20:06:58Z,California Department of Education
88xGjQj10H0,"Early Education Webinar May 18, 2023",2023-06-14T20:06:41Z,California Department of Education
AG9ZOC9LQMo,"P-3 Webinar May 23, 2023",2023-06-14T16:16:47Z,California Department of Education
c3gHAw-eyug,"CASI Charter Chat, May 2023",2023-06-07T22:11:45Z,California Department of Education
A0HVwoagKPc,"State Board of Education Meeting May 19, 2023",2023-06-07T01:26:55Z,California Department of Education
ZhiRSvvmRgE,"State Board of Education Meeting May 18, 2023",2023-06-07T01:26:41Z,California Department of Education
SIWGodeNLrc,2023 Tulare Basin Disaster Preparedness,2023-06-06T05:17:27Z,California Department of Education
pHRUFEzEVu4,"SACS Forum - May 16, 2023",2023-05-27T23:48:48Z,California Department of Education
rwh4WL-pq0A,"Collective Well-Being Session 7, April 2023",2023-05-27T05:03:24Z,California Department of Education
Q4pzD7WAMps,"P-3 Webinar February 28, 2023",2023-05-19T17:55:38Z,California Department of Education
LUcWOxhfKIs,"Collective Well-Being Session 6, March 2023",2023-05-18T22:54:32Z,California Department of Education
S1u8__8cxFQ,"ACSE Meeting April 20, 2023",2023-05-18T18:43:16Z,California Department of Education
zHiXKvn8Z-g,"ACSE Meeting April 19, 2023",2023-05-18T18:43:06Z,California Department of Education
VOTk-bkqxSQ,"ACCS Meeting April 18, 2023",2023-05-17T01:27:06Z,California Department of Education
LLpaqkD4uEU,"CASI Charter Chat, April 2023",2023-05-16T00:42:00Z,California Department of Education
zPv4BRVMQ3E,Tips for 2023 Winter Release Title I Forms Within the Consolidated Application and Reporting System.,2023-05-02T18:22:12Z,California Department of Education
l4Zmn-Vs6XM,"CASI Regional Training, April 2023",2023-04-28T01:25:34Z,California Department of Education
uDZ1ZoUbpCg,CIM: Targeted Monitoring Orientation,2023-04-21T15:16:03Z,California Department of Education
pwd-9Ooh1jk,CIM: Team Development Targeted Monitoring,2023-04-21T15:15:35Z,California Department of Education
LQiOILCwmx0,Literacy Coaches & Reading Educator Training RFA,2023-04-12T23:13:18Z,California Department of Education
2Bl5l3oDJ_w,"CASI Charter Chat, March 2023",2023-04-07T17:29:27Z,California Department of Education
eE_tzcC-rHk,"Collective Well-Being Session 5, February 2023",2023-03-23T01:22:46Z,California Department of Education
A7Z61UEQm3Q,Addressing Disproportionate Discipline in Schools Webinar,2023-03-17T16:48:22Z,California Department of Education
xQe2fx8n9Xg,"IQC Meeting March 15, 2023",2023-03-16T21:29:27Z,California Department of Education
9YwPXpTdNto,"State Board of Education Meeting March 9, 2023",2023-03-16T19:52:56Z,California Department of Education
xVhpuMrDu38,"State Board of Education Meeting March 8, 2023",2023-03-16T19:52:45Z,California Department of Education
NhSZLemhnDk,"CWPJAC Meeting for March 10, 2023",2023-03-16T19:33:50Z,California Department of Education
0VR2KtmvWeQ,CSPP Serving Children with Disabilities,2023-03-09T22:40:09Z,California Department of Education
R2BmY-oAri4,"SACS Forum - February 14, 2023",2023-03-02T06:29:44Z,California Department of Education
FAPOAz4xH8M,IEP Implementation Data Collection,2023-03-02T06:14:29Z,California Department of Education
uyl4Hpfj9Qc,"SACS Web System Overview Webinar, March 14, 2022",2023-03-01T21:46:22Z,California Department of Education
SEwrliGBCOY,"SACS Forum - November 8, 2022",2023-03-01T21:46:07Z,California Department of Education
dRNYjPZnUyo,"CPAG Meeting February 17, 2023",2023-02-21T21:35:36Z,California Department of Education
I7anSQ8J-rg,"ACSE Meeting February 16, 2023",2023-02-21T21:35:17Z,California Department of Education
0rq6yeI1wjc,"ACSE Meeting February 15, 2023",2023-02-21T21:35:02Z,California Department of Education
bGrNiGAaCms,Implementing SB 224 Student Mental Health Education,2023-02-15T01:03:56Z,California Department of Education
hQhZ-aTGTKg,2021-22 ESSA PPE Expenditures Reporting Application,2023-02-14T20:57:34Z,California Department of Education
CiGx16VhuzA,"California State Seal of Biliteracy, December 2022",2023-02-10T21:58:25Z,California Department of Education
cNPZjNWO0is,CPARIS Contract Earnings Calculations,2023-02-09T17:29:12Z,California Department of Education
9qdJ8OiJ368,"ACCS Meeting February 7, 2023",2023-02-08T17:42:34Z,California Department of Education
ucbK9gEg5mY,"CWPJAC Meeting for February 3, 2023",2023-02-07T19:26:58Z,California Department of Education
UeYX6bBTDZk,"COVID-19 Guidance for Early Learning and Care Contractors January 17, 2023",2023-02-04T05:14:56Z,California Department of Education
EJl3r-gagrg,PFT Timeline and What’s New Webinar,2023-02-03T01:04:38Z,California Department of Education
zU1MLvOUAF4,"CASI Charter Chat, January 2023",2023-02-01T16:48:52Z,California Department of Education
U6I7dEKXvcY,"Collective Well-Being Session 4, January 2023",2023-01-27T16:51:24Z,California Department of Education
04YfP0EQ6g4,Special Education Resource Leads RFA,2023-01-27T01:14:51Z,California Department of Education
4Kbrlcklrt0,"HSE Informational Update, November 2022",2023-01-25T23:43:07Z,California Department of Education
ZX0sYPPjkVw,"State Board of Education Meeting January 20, 2023",2023-01-25T01:19:04Z,California Department of Education
-9xsmpQgk68,"State Board of Education Meeting January 19, 2023",2023-01-25T01:18:54Z,California Department of Education
OxLOhmWlW1w,Community Engagement Initiative 2.0 RFA,2023-01-23T19:37:27Z,California Department of Education
ZmyClgnBxIM,"Collective Well-Being Session 3, December 2022",2023-01-20T20:13:23Z,California Department of Education
qfoFSJVoTkQ,RTAC: Road Map to Academic Coaching,2023-01-18T20:34:06Z,California Department of Education
KU8tnlXd00E,"CASI Regional Training, January 2023",2023-01-18T20:33:47Z,California Department of Education
MmmYEDYo4Hk,Learning Acceleration & Recovery: Mathematics,2022-12-22T05:26:07Z,California Department of Education
xLerLHsA-LE,"Collective Well-Being Session 2, November 2022",2022-12-21T23:08:37Z,California Department of Education
kMfXWuONqQg,Literacy Coaches and Reading Specialists Technical Assistance Webinar,2022-12-20T00:48:37Z,California Department of Education
7mu1VNJyyY8,"ACCS Meeting December 8, 2022",2022-12-10T00:01:58Z,California Department of Education
uAe3TtdP9is,PEAT Topic 5: Engage Your Community for Root Cause Analysis,2022-12-08T20:25:33Z,California Department of Education
XSPrqD9Iy9s,"CASI Charter Chat, November 2022",2022-12-06T06:33:35Z,California Department of Education
6wn4F6DIR6c,"CWPJAC Meeting for November 29, 2022",2022-12-02T01:35:47Z,California Department of Education
jk2geZoBdfo,PEAT Topic 3: Analyzing Your Teacher Equity Data,2022-11-30T19:39:16Z,California Department of Education
YBhCXlHMGuQ,"IQC Meeting November 16, 2022",2022-11-22T00:15:48Z,California Department of Education
feSLRodGwN8,Guidance for Schools Related to the Opioid Crisis,2022-11-22T00:15:31Z,California Department of Education
4d73EI9t0v0,Project Cal-STOP: Engaging & Empowering Students,2022-11-10T22:48:28Z,California Department of Education
67-RqsJnu-w,"State Board of Education Meeting November 3, 2022",2022-11-08T20:21:15Z,California Department of Education
OBOWAw5QrDY,"State Board of Education Meeting November 2, 2022",2022-11-08T20:21:10Z,California Department of Education
fOPAMqDq8hE,"Collective Well-Being Session 1, October 2022",2022-11-05T00:51:49Z,California Department of Education
4hSQGTbzwyU,Teaching Assignment Monitoring Outcome Data for LCAP and Accountability Reporting,2022-11-04T18:20:24Z,California Department of Education
cqNC-pPRZSg,Cyclical Monitoring Overview September 2022,2022-10-31T17:57:53Z,California Department of Education
KieKl78ce5I,"CASI Charter Chat, October 2022",2022-10-29T21:21:02Z,California Department of Education
S7Q5MWe0r7Q,"CASI Regional Training, October 2022",2022-10-29T21:20:48Z,California Department of Education
qBWYIKrXDbU,Professional Development & Instructional Materials Grant,2022-10-27T00:50:25Z,California Department of Education
mUBOfDvlNpY,"ACSE Meeting October 20, 2022",2022-10-26T19:52:53Z,California Department of Education
bd6djIa67UE,"ACSE Meeting October 19, 2022",2022-10-26T19:52:41Z,California Department of Education
c2dgY4gC-uk,"Arts, Music, & Instructional Materials Block Grant",2022-10-24T16:33:54Z,California Department of Education
Hgxfo-BZyQM,Annual Outcome-Based Data Report Webinar,2022-10-13T20:17:21Z,California Department of Education
Ak1_qjVSCDA,"CASI Charter Chat, September 2022",2022-10-03T21:52:41Z,California Department of Education
tEsYgHLQV_4,Statewide Comprehensive School Safety Planning Webinar September 2022,2022-09-27T00:16:31Z,California Department of Education
nAon2o5Mc60,"COVID-19 Guidance for Early Learning and Care Contractors September 9, 2022",2022-09-20T19:57:14Z,California Department of Education
rOfXy2e6ewU,"State Board of Education Meeting September 15, 2022",2022-09-20T01:58:22Z,California Department of Education
rc3ZUoI7HyU,"State Board of Education Meeting September 14, 2022",2022-09-20T01:58:11Z,California Department of Education
TVe8V-1D21s,2022 Statewide Wildfire Preparedness Webinar,2022-09-13T02:10:18Z,California Department of Education
_RpX4Z4oXj4,"EEF: Reporting Technical Assistance, August 2022",2022-09-04T17:21:47Z,California Department of Education
Mdxo53ecrcU,PEAT Topic 4: Educator Equity Root Cause Analysis,2022-09-04T17:08:50Z,California Department of Education
UlL34ZISvKk,Overview: Teacher Assignment Monitoring Outcome,2022-09-04T17:08:00Z,California Department of Education
ykmz3-9ov10,"TAMO Topic 3: Incomplete, Not Applicable, and Unknown Data",2022-09-04T17:06:57Z,California Department of Education
QmHOfy240Sg,"CASI Charter Chat, August 2022",2022-09-04T17:06:10Z,California Department of Education
NX684SZf3mY,HSE 2022: California High School Equivalency,2022-08-31T18:03:15Z,California Department of Education
WyqkHUHk9Ak,HSE 2022: GED Testing Service,2022-08-31T18:03:03Z,California Department of Education
