youtube_id,title,publishedAt,channel_name
eKXd_ZlU0Dc,Montana Board of Regents Meeting - September 20th & 21st 2023,2023-09-25T21:23:55Z,Montana Board of Regents
oqwpAQR1czg,"Montana Board of Regents Meeting - September 21st, 2023",2023-09-21T17:42:57Z,Montana Board of Regents
9CZHGyScoRc,"Montana Board of Regents Meeting - September 20th, 2023",2023-09-20T23:22:44Z,Montana Board of Regents
hga-n_tqlTw,"Montana Board of Regents Meeting - July 11, 2023",2023-07-12T03:02:19Z,Montana Board of Regents
JmZQrRGWLnM,May 17th and 18th 2023 Board of Regents Meeting,2023-05-22T21:27:05Z,Montana Board of Regents
t7nUfmbnBfw,Montana Board of Regents Meeting - March 15th & 16th 2023,2023-03-20T15:29:48Z,Montana Board of Regents
YncyFq7fyTI,"Montana Board of Regents Meeting, January 3, 2023",2023-01-05T23:57:36Z,Montana Board of Regents
iriW6OXgBUo,"Montana Board of Regents Meeting - November 17 and 18, 2022",2022-12-14T20:54:02Z,Montana Board of Regents
MVm93N5VN88,"Montana Board of Education Meeting - November 18, 2022",2022-11-18T20:57:41Z,Montana Board of Regents
8Nw7I9wo4o4,Montana Board of Regents Live Stream,2022-11-02T19:14:14Z,Montana Board of Regents
ukZAeQrEpRI,"Montana Board of Regents - September 21-22, 2022 Meeting",2022-10-05T17:01:05Z,Montana Board of Regents
qLQ4QXZbs9w,"Montana Board of Regents Meeting - July 14, 2022",2022-07-14T15:32:05Z,Montana Board of Regents
nNnE2-B_XvE,"Montana Board of Regents Conference Call - June 20, 2022",2022-06-20T20:02:30Z,Montana Board of Regents
aAouV9p_Ec8,"Montana Board of Regents Meeting - May 19, 2022",2022-05-26T20:28:09Z,Montana Board of Regents
mqHP50Vo_XM,"Montana Board of Regents Meeting - May 18, 2022",2022-05-26T20:27:00Z,Montana Board of Regents
bspZ743zBFw,Grow Your Own Educator,2022-05-16T16:38:27Z,Montana Board of Regents
wP0PBNV5Mm4,Welcome by Chancellor Kegel,2022-05-16T16:38:22Z,Montana Board of Regents
Had-wepES20,Montana Board of Regents - March 10th 2022,2022-03-19T02:58:29Z,Montana Board of Regents
cYXYnQj3Ryo,Montana Board of Regents March 11th 2022,2022-03-17T21:00:37Z,Montana Board of Regents
WG1qpyMjql8,"BOR Opening Meeting Presentation Video, March 10, 2022",2022-03-07T21:49:51Z,Montana Board of Regents
0CdQfdNb7P0,"MUS Board of Regents - November 18, 2021",2022-01-31T19:18:17Z,Montana Board of Regents
13xEvNXnjQU,"MUS Board of Regents - November 19, 2021",2022-01-31T18:31:29Z,Montana Board of Regents
4-jlWZsiyPw,"Montana Board of Regents Meeting- January 6, 2022",2022-01-06T17:26:05Z,Montana Board of Regents
guPnvq5rSJc,"Montana Board of Education Meeting- November 19, 2021 Live Stream",2021-11-19T21:54:31Z,Montana Board of Regents
S3QRJ9ptVM0,"MUS Board of Regents Meeting- November 19, 2021 Live Stream",2021-11-19T19:11:28Z,Montana Board of Regents
MaxWTnvBa9E,"MUS Board of Regents Meeting- November 18, 2021 Live Stream",2021-11-19T00:29:27Z,Montana Board of Regents
4_6sj5TvvoY,"MUS Board of Regents Meeting  September 15, 2021",2021-09-24T00:02:53Z,Montana Board of Regents
hQMDGtbjdFc,"MUS Board of Regents Meeting  September 16, 2021",2021-09-23T22:50:19Z,Montana Board of Regents
ddP1c069HeA,"Montana Board of Regents Meeting, August 16, 2021",2021-08-16T17:18:42Z,Montana Board of Regents
ggMx2ysTUpw,"Montana Board of Regents Meeting, July 15, 2021",2021-07-16T16:56:19Z,Montana Board of Regents
OYa1JPEVxsI,"Montana Board of Regents Meeting, May 26, 2021",2021-06-08T19:01:10Z,Montana Board of Regents
93bNVAuxHO0,"Montana Board of Regents Meeting- May 27, 2021",2021-05-27T18:11:35Z,Montana Board of Regents
UMrqYLbwKOI,"Montana Board of Regents Meeting, May 19, 2021",2021-05-26T22:59:20Z,Montana Board of Regents
PAe-PVBSTXA,Org Call 7 28 2020,2021-05-17T21:14:32Z,Montana Board of Regents
VL0Rdzg9yzU,Special BOR Meeting 7 28 2020,2021-05-17T21:14:19Z,Montana Board of Regents
2PQJjQtf14U,"MUS Academic, Research, and Student Affairs Committee Call - Listening Session",2021-05-12T23:37:28Z,Montana Board of Regents
dVnwQ68-k2M,"Montana Board of Regents Meeting- March 11, 2021",2021-04-29T19:57:23Z,Montana Board of Regents
d9SOkON2q1A,"Montana Board of Regents Meeting, January 5, 2021",2021-01-06T00:02:27Z,Montana Board of Regents
-QzkcDpwFEw,"MUS Board of Regents - November 19, 2020",2020-12-29T19:40:08Z,Montana Board of Regents
lo72clUr5rk,"MUS Board of Regents - November 20, 2020",2020-12-11T17:43:29Z,Montana Board of Regents
Q8ubeqflWjQ,"MUS Board of Regents - September 16, 2020",2020-11-09T17:31:57Z,Montana Board of Regents
J8yr_mVegws,"MUS Board of Regents - September 16, 2020",2020-09-16T23:43:23Z,Montana Board of Regents
FFq5NP5YIBY,"MUS Board of Regents - May 20, 2020",2020-06-09T23:03:36Z,Montana Board of Regents
s5Vx6SRPMaA,"MUS Board of Regents - March 6, 2020 Live Stream",2020-03-06T17:53:04Z,Montana Board of Regents
7KV6i5UHoqo,"MUS Board of Regents - March 5, 2020 Live Stream",2020-03-06T01:00:23Z,Montana Board of Regents
FAkaVn8gRb4,"Montana Board of Education Meeting - November 22, 2019",2019-12-19T16:28:33Z,Montana Board of Regents
