youtube_id,title,publishedAt,channel_name
vhdk0wKqC-Q,"October 18, 2023 First Day of Board of Education meeting at Lewis-Clark State College.",2023-10-24T18:04:55Z,Idaho State Board of Education
M0ooBKg95jc,"October 19, 2023 Day Two of the Idaho State Board of Education meeting at Lewis Clark State College.",2023-10-24T18:03:08Z,Idaho State Board of Education
EWyS1-Ctv9s,School Safety & Security Program Advisory Board Meeting,2023-09-20T04:59:00Z,Idaho State Board of Education
UW8xCd0_t8w,2023 24 CIP Webinar Recording,2023-07-30T05:01:58Z,Idaho State Board of Education
k2nGk1qKXyQ,July 20 Negotiated Rulemaking,2023-07-20T15:17:27Z,Idaho State Board of Education
L2Irep-RbvI,June 23 Negotiated Rulemaking,2023-06-23T15:33:43Z,Idaho State Board of Education
qV5ES3Avw7c,Safety & Security Program Advisory Board Mtg,2023-06-07T04:57:51Z,Idaho State Board of Education
wMn_9ijs7Do,GEM x Dual Credit Roundtable 4: Outcomes and Efficacy,2023-03-02T21:27:17Z,Idaho State Board of Education
XttTOdnr6HY,2022 23 CIP Webinar Recording,2022-07-26T21:56:31Z,Idaho State Board of Education
F3XsWMxiqGI,GEM x Dual Credit Roundtable 3: Onboarding and Support,2022-02-13T03:09:13Z,Idaho State Board of Education
72WGjWXnt0A,ISEE 1   Overview of ISEE   12 2021,2022-01-12T23:40:40Z,Idaho State Board of Education
NVhGfDFxt-Y,GEM x Dual Credit Roundtable 2: Board Policy & NACEP Standards,2022-01-07T23:13:44Z,Idaho State Board of Education
SO4jf_O_PO0,GEM x Dual Credit Roundtable 1: The Basics of Dual Credit in Idaho,2021-11-04T00:05:08Z,Idaho State Board of Education
daUOZ1gRb7w,2021 GEM Innovative Educator Awards,2021-10-22T02:12:15Z,Idaho State Board of Education
YLg7w93Pjug,Idaho Dept. of Health & Welfare; Fall COVID-19 Predictions,2021-08-20T22:26:16Z,Idaho State Board of Education
p6IqsbyDcN0,"Governor Little's Proclamation: Open Education Week in Idaho, March1-6, 2021",2021-02-25T18:17:02Z,Idaho State Board of Education
L8y314ovUhY,Idaho Student Mental Health Summit,2020-12-09T21:53:37Z,Idaho State Board of Education
L2Kl3gNKPsA,Idaho State Board of Education Live Stream,2020-11-23T21:55:18Z,Idaho State Board of Education
-5RQfH_2x1E,COVID-19 Updates: Changes to Direct Admissions,2020-09-24T16:21:15Z,Idaho State Board of Education
m12SqEXhF4Q,Apply Idaho Tutorial 2020,2020-09-14T22:08:36Z,Idaho State Board of Education
YdZgtaF99P0,Next Steps Month & MORE | Recorded on 9-3-2020,2020-09-08T18:18:12Z,Idaho State Board of Education
CU_6eI7kEQI,2020 Fall Updates | Recorded on 8-20-2020,2020-08-21T22:06:09Z,Idaho State Board of Education
rIMwl3LXE5E,Financial Aid Basics,2020-08-06T17:53:07Z,Idaho State Board of Education
K7h4D3P154o,UI  |  Fin Aid Special Circumstances,2020-06-05T23:25:50Z,Idaho State Board of Education
INMDuXxt11E,NNU  |  Fin Aid Special Circumstances,2020-06-05T23:24:03Z,Idaho State Board of Education
_MkaORTN9b8,NIC  |  Fin Aid Special Circumstances,2020-06-05T23:23:33Z,Idaho State Board of Education
jnqd1eml4Hk,LCSC  |  Fin Aid Special Circumstances,2020-06-05T23:23:18Z,Idaho State Board of Education
BTwRv95XHrQ,ISU  |  Fin Aid Special Circumstances,2020-06-05T23:22:26Z,Idaho State Board of Education
CZtz_jaA5K8,CSI  |  Fin Aid Special Circumstances,2020-06-05T23:21:08Z,Idaho State Board of Education
D3TxQ4yYkg0,CWI  |  Fin Aid Special Circumstances,2020-06-05T23:20:54Z,Idaho State Board of Education
daj-7lE1po0,CEI  |  Fin Aid Special Circumstances,2020-06-05T23:20:53Z,Idaho State Board of Education
z_lpRhKFz3s,C of I  |  Fin Aid Special Circumstances,2020-06-05T23:20:07Z,Idaho State Board of Education
zQaGzLmWliI,BSU  |  Fin Aid Special Circumstances,2020-06-05T23:19:12Z,Idaho State Board of Education
HmRiAHYU8SM,Governor Brad Little's Message to High School Counselors/Advisors,2020-05-29T16:34:15Z,Idaho State Board of Education
kuNrAkHwhM0,CWI | Fall Term 2020; Expectations,2020-05-29T16:28:53Z,Idaho State Board of Education
s0JyZ3D4qx4,NIC | Fall Term 2020; Expectations,2020-05-29T16:28:05Z,Idaho State Board of Education
c-FiCyBpaYE,CSI | Fall Term 2020; Expectations,2020-05-29T16:26:09Z,Idaho State Board of Education
2d0BjFLQCzM,LCSC | Fall Term 2020; Expectations,2020-05-29T16:25:58Z,Idaho State Board of Education
cvxxJ_ERyuQ,CEI | Fall Term 2020; Expectations,2020-05-29T16:25:31Z,Idaho State Board of Education
0oeW-Rk4Bms,UI | Fall Term 2020; Expectations,2020-05-29T16:25:30Z,Idaho State Board of Education
hCmhxTTFiW4,ISU | Fall Term 2020; Expectations,2020-05-29T16:22:46Z,Idaho State Board of Education
_qaQ9Bo05SM,BSU | Fall Term 2020; Expectations,2020-05-29T16:20:43Z,Idaho State Board of Education
LL-E7QLCusc,"COVID-19 Updates: Dual Credit, Advanced Placement Testing, and Waived Requirements",2020-05-04T19:50:34Z,Idaho State Board of Education
axfR-XeO2RQ,COVID-19 Update: What Parents Should Know,2020-04-20T18:23:19Z,Idaho State Board of Education
gZf-Ku7_5oI,Northwest Nazarene University | Admissions Presentation 4-16-2020,2020-04-20T16:17:30Z,Idaho State Board of Education
bb6lV5GQTQ8,Boise Bible College | Admissions Presentation 4-16-2020,2020-04-20T16:07:17Z,Idaho State Board of Education
nXk6_ZoshKw,BYU-Idaho  | Admissions Presentation 4-16-2020,2020-04-20T16:03:43Z,Idaho State Board of Education
AHLcGimwIA4,College of Idaho | Admissions Presentation 4-16-2020,2020-04-20T16:02:08Z,Idaho State Board of Education
7bKJTPLQOI0,College of Eastern Idaho | Admissions Presentation 4-16-2020,2020-04-20T16:00:26Z,Idaho State Board of Education
wRglSUmgwV0,Idaho State University | Admissions Presentation 4-16-2020,2020-04-20T15:56:34Z,Idaho State Board of Education
u25ogZh_eIQ,College of Southern Idaho | Admissions Presentation 4-16-2020,2020-04-20T15:54:44Z,Idaho State Board of Education
pGLOYEnav-c,Boise State University | Admissions Presentation 4-16-2020,2020-04-20T15:54:08Z,Idaho State Board of Education
fF4ZH58ApQw,College of Western Idaho | Admissions Presentation 4-16-2020,2020-04-20T15:52:28Z,Idaho State Board of Education
DGcRUk7-9KI,Lewis-Clark State College | Admissions Presentation 4-16-2020,2020-04-20T15:50:38Z,Idaho State Board of Education
MfB0TV8ok_w,University of Idaho | Admissions Presentation 4-16-2020,2020-04-20T15:49:14Z,Idaho State Board of Education
