youtube_id,title,publishedAt,channel_name
vD3z9lCZiys,Hope for Tulsa Kids,2023-09-12T20:48:11Z,Oklahoma State Department of Education
SHxuHyqTkcY,Protecting Students from Leftist Social Experiments by Upholding the Law,2023-06-29T16:10:05Z,Oklahoma State Department of Education
In0YibqTLyc,Public Awareness Campaign - Teacher Unions,2023-05-26T15:03:32Z,Oklahoma State Department of Education
nz3eJJ6HHik,March 23rd State Board Meeting,2023-03-30T16:39:25Z,Oklahoma State Department of Education
PioAAGuqBqw,Alona Whitebird - Moore Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-02-27T20:00:12Z,Oklahoma State Department of Education
3v_dYq_IHRo,Traci Manuel - Tulsa Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-02-24T20:00:01Z,Oklahoma State Department of Education
NTJhmdG_Wg4,Tenille Mehl - Noble Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-02-21T20:00:07Z,Oklahoma State Department of Education
RgwZBrhX3bw,Kelsee Arnold - Broken Arrow Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-02-16T20:00:09Z,Oklahoma State Department of Education
3Du0w5eenNs,Rebecka National Teacher of the Year finalist announcement,2023-02-16T06:00:02Z,Oklahoma State Department of Education
W4qivfOCpEc,OSDE CNP School Cal (2/13/23),2023-02-13T21:25:12Z,Oklahoma State Department of Education
H-7lhir_KdU,Julie Osburn - Pryor Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-02-13T20:00:09Z,Oklahoma State Department of Education
lJ0bXPNJxOc,Identifying Whole Grain-Rich Items,2023-02-10T20:43:33Z,Oklahoma State Department of Education
G9_k2EttbpM,OSDE Attachment M Walkthrough,2023-02-10T20:05:01Z,Oklahoma State Department of Education
Fd2U-pmZ7hg,RSA Virtual Meeting Feb 2023,2023-02-10T20:04:44Z,Oklahoma State Department of Education
iSGODVSb1Jw,Bill Peeper - Cushing Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-02-09T20:00:24Z,Oklahoma State Department of Education
Hqro-RTE65A,Weekly Wave 02-9-22,2023-02-09T16:58:24Z,Oklahoma State Department of Education
k7aonVEHsnc,OSDE FSMC RFP Walkthrough FY2023,2023-02-08T21:55:21Z,Oklahoma State Department of Education
XCq7s436OEY,Rexanne McCrary - Union Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-02-07T19:57:23Z,Oklahoma State Department of Education
SUwLkWwoAH8,February Fine Arts PL Series: Visual and Performing Arts for Students with Exceptionalities,2023-02-03T20:21:55Z,Oklahoma State Department of Education
Q1hUdHuShgU,Julie Cryer - Jenks Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-02-03T19:59:00Z,Oklahoma State Department of Education
HwSOT5MH8Iw,Emily Boyett - Edmond Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-01-31T19:39:44Z,Oklahoma State Department of Education
hJnSoquW3mc,SFSP FY2023 Part 3,2023-01-27T22:56:00Z,Oklahoma State Department of Education
duUD3Z_FpRs,SFSP FY23 Part 2,2023-01-27T21:08:24Z,Oklahoma State Department of Education
D3i_9Gk3K3M,SFSP FY23 Part 1,2023-01-27T21:08:10Z,Oklahoma State Department of Education
zRIekBhCEyw,Dr. Rob Bradshaw - Norman Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-01-27T19:58:09Z,Oklahoma State Department of Education
7wtL-UuPI_s,Weekly Wave 01-26-22,2023-01-26T20:37:56Z,Oklahoma State Department of Education
C1HCz4dy2tc,OSDE CACFP Q&A (1-24-23),2023-01-25T21:51:59Z,Oklahoma State Department of Education
OgI_AaDrujo,Weekly Wave 01-19-22,2023-01-25T21:33:36Z,Oklahoma State Department of Education
YZ3NzyZDeuQ,OSDE FSMC Training (Jan 2023),2023-01-24T21:39:40Z,Oklahoma State Department of Education
9u4wS-eRom0,Steven Scott Smith - Lawton Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-01-24T20:00:33Z,Oklahoma State Department of Education
-M9hj8gwP7Q,Procurement 101 for CACFP & SFSP,2023-01-23T15:08:23Z,Oklahoma State Department of Education
L_eQ08y9S6M,Dr. Marcy Boudreaux Johnson - Deer Creek Public Schools (2023 Oklahoma Teacher of the Year Finalist),2023-01-18T20:02:10Z,Oklahoma State Department of Education
1zvza5ajn1A,Weekly Wave 01-12-22,2023-01-17T20:09:08Z,Oklahoma State Department of Education
YTjnXreOLWo,Careers and Arts Education,2023-01-12T20:00:08Z,Oklahoma State Department of Education
MCtKibQ5P7o,SoonerStart Early Intervention,2023-01-12T17:24:21Z,Oklahoma State Department of Education
EnAGUZwORWg,RSA Meeting January 2023,2023-01-11T21:49:46Z,Oklahoma State Department of Education
1wagCRqkvMc,"OSDE CN School Call (January, 9, 2023)",2023-01-09T22:27:18Z,Oklahoma State Department of Education
XYcXNX8yhu8,"ShapED My Life - Chef Gabriel Lewis, Master Chef Season 8 & 12",2023-01-05T19:42:04Z,Oklahoma State Department of Education
CYUN0pVmyw4,"ShapED My Life - Matt Pinnell, Lieutenant Governor of Oklahoma",2023-01-05T19:00:24Z,Oklahoma State Department of Education
8UzpTWChtm8,Weekly Wave 1-5-23,2023-01-05T18:37:52Z,Oklahoma State Department of Education
aYpcrY416_E,Weekly Wave 12-15-22,2023-01-05T18:37:04Z,Oklahoma State Department of Education
h6BmnmnulIo,Weekly Wave 12-08-22,2023-01-05T18:36:06Z,Oklahoma State Department of Education
mMIBgdOzi2A,January Fine Arts Professional Learning Series,2023-01-04T17:25:59Z,Oklahoma State Department of Education
6qD6HIwJuUg,ShapED My Life - U.S. Representative Tom Cole,2022-12-30T16:35:25Z,Oklahoma State Department of Education
19F-pBGgxEM,Tulsa Union Student Garden,2022-12-29T20:24:15Z,Oklahoma State Department of Education
49zVJAT6Puc,"ShapED My Life - Jane Jayroe, Miss America 1967 and Former OKC News Anchor",2022-12-15T14:54:11Z,Oklahoma State Department of Education
SqyNC0SMsGU,"ShapED My Life - Peter Markes, 2014 Oklahoma Teacher of the Year and Head of Music Education at OCU",2022-12-14T20:00:07Z,Oklahoma State Department of Education
fqsAvu98SiA,"The Process is the Same, Five Minute PD, Carla Thomas",2022-12-14T16:07:49Z,Oklahoma State Department of Education
-T5xPDxFH84,"Solfege, Five Minute PD, Anna Gherna",2022-12-14T16:07:41Z,Oklahoma State Department of Education
vR14_elK-cg,"Sight Reading through Repertoire, Five Minute PD, Sarah Pitts",2022-12-14T16:07:33Z,Oklahoma State Department of Education
98L1MBCGllg,"Music is for Everyone, Five Minute PD, Sarah Pitts",2022-12-14T16:07:25Z,Oklahoma State Department of Education
i-U6Qkip35Y,"Learning Multiple Ideas & Skills from One Great Song, Five Minute PD, Amy Deaton",2022-12-14T16:07:16Z,Oklahoma State Department of Education
B3SatyFEcO0,"Inquiry based Learning in Elementary Music, Five Minute PD, Amy Deaton",2022-12-14T16:07:04Z,Oklahoma State Department of Education
rBO8qpWVryE,"Concept Plans, Five Minute PD, Anna Gherna",2022-12-14T16:06:53Z,Oklahoma State Department of Education
IK15q0UiKDQ,"Audiation, Five Minute PD, Carla Thomas",2022-12-14T16:06:41Z,Oklahoma State Department of Education
qcG8p5KPPH0,OSDE CNP School Call on 12/12/22,2022-12-12T22:06:53Z,Oklahoma State Department of Education
Q5N2n1ubHEM,Dual Language at Jenks East Elementary,2022-12-08T21:46:02Z,Oklahoma State Department of Education
LGEnfj63plk,CACFP Food related & End FY23,2022-12-06T19:38:41Z,Oklahoma State Department of Education
GuO7LdgVnrQ,CACFP Crediting Info FY23,2022-12-06T19:38:08Z,Oklahoma State Department of Education
hico3CWyS3Y,CACFP Infant Meals Section FY23,2022-12-06T19:30:11Z,Oklahoma State Department of Education
S9zgP-tM-_0,CACFP Components  Meat & Vegetables FY23,2022-12-06T19:27:54Z,Oklahoma State Department of Education
eAp0YyRszKw,CACFP Components  Milk & Grains,2022-12-06T17:01:17Z,Oklahoma State Department of Education
Q9HYe3tOcDQ,CACFP Meal Patterns for Children Adults FY23,2022-12-06T16:39:08Z,Oklahoma State Department of Education
zCKakDBArMw,OSDE Verification Summary report for Provision/CEP/RCCI district wide,2022-12-01T21:45:57Z,Oklahoma State Department of Education
adQwNszGqqw,Reading Sufficiency Act meeting (November 2022),2022-12-01T19:44:49Z,Oklahoma State Department of Education
Pr62Ajtvpjc,OSDE Verification Summary Report FY2023,2022-12-01T19:43:27Z,Oklahoma State Department of Education
0_GWkmQhUBY,Weekly Wave 12-01-22,2022-12-01T17:17:34Z,Oklahoma State Department of Education
07O31-PP5lw,"ShapED My Life - Denise Duong, Oklahoma City Artist",2022-11-30T19:46:27Z,Oklahoma State Department of Education
Auq_5yjfz40,"ShapED My Life - Kristin Chenoweth, Actress and Singer",2022-11-28T21:59:58Z,Oklahoma State Department of Education
mBHOQlXg38w,"ShapED My Life - Matt Duckworth, Member of The Flaming Lips",2022-11-28T21:55:23Z,Oklahoma State Department of Education
f-RUISQh4_c,Weekly Wave 11-17-22,2022-11-17T19:29:13Z,Oklahoma State Department of Education
LwVZ_inGcC8,OSDE At-Risk Training FY2023,2022-11-17T15:34:56Z,Oklahoma State Department of Education
ADhjz2In66I,Teachers of Oklahoma,2022-11-16T21:28:04Z,Oklahoma State Department of Education
Xb5fkZ0Jhhc,"ShapED My Life - Kyle Dillingham, Oklahoma's Music Ambassador",2022-11-09T20:11:32Z,Oklahoma State Department of Education
YmyS3nii1F0,OSDE School Call 11 7 22,2022-11-08T14:45:52Z,Oklahoma State Department of Education
IKkfiSbZpBo,OSDE Low Income Report Including Provision FY2023,2022-11-02T21:13:45Z,Oklahoma State Department of Education
L-wE1VJ3C28,OSDE CACFP Sponsor Training FY2023,2022-11-02T16:31:46Z,Oklahoma State Department of Education
PHy_xzUNC4o,OSDE Low Income Report FY23,2022-11-02T14:18:29Z,Oklahoma State Department of Education
_4tHC4Bw3nA,CACFP Record Keeping FY23 – Part 4,2022-10-31T20:54:04Z,Oklahoma State Department of Education
d3euw06CcSs,CACFP Sponsor FY23 – Part 7,2022-10-31T20:50:02Z,Oklahoma State Department of Education
SHu-Mh6R0ps,CACFP Procurement and Contracting – Part 6,2022-10-31T20:49:29Z,Oklahoma State Department of Education
_pR_-ZfLdEw,CACFP Other RequiredTrainingCivil Rights FY23 – Part 5,2022-10-31T20:48:50Z,Oklahoma State Department of Education
O9_FU1LdG1k,CACFP Eligibility FY23 – Part 3,2022-10-31T18:47:02Z,Oklahoma State Department of Education
SO_lH9QqONw,CACFP Financial Mgmt  & Program Integrity FY23 – Part 2,2022-10-31T18:44:08Z,Oklahoma State Department of Education
Qno739tn3C8,CACFP Training Manual Intro – Part 1,2022-10-31T18:42:56Z,Oklahoma State Department of Education
n6JG5UaDQrY,Oklahoma Aviation Academy,2022-10-27T19:30:02Z,Oklahoma State Department of Education
QkxC4EF7ZoE,Weekly Wave 10-27-22,2022-10-27T17:36:29Z,Oklahoma State Department of Education
t2RBLLmlwNs,Reading Sufficiency Act Meeting - Oct 2022,2022-10-21T19:38:24Z,Oklahoma State Department of Education
zerUWRYKtOA,Weekly Wave 10-20-22,2022-10-20T20:58:00Z,Oklahoma State Department of Education
qHN-0EQroms,"ShapED My Life - Scarlett St. Clair, USA Today Best Selling Author",2022-10-20T19:00:31Z,Oklahoma State Department of Education
cPlsRioTY88,OSDE Equipment Grant FY2023,2022-10-19T14:09:56Z,Oklahoma State Department of Education
mBCGoCKWlsM,OSDE Procurement Review Tool Walkthrough FY23,2022-10-18T20:22:43Z,Oklahoma State Department of Education
YrcDAZuicRk,2023 Teacher of the Year Finalist Announcement,2022-10-14T18:16:41Z,Oklahoma State Department of Education
3nZezpzyfHo,CACFP App Q&A (10/13/22),2022-10-13T20:12:42Z,Oklahoma State Department of Education
04X_ND1Hy1w,OSDE School Programs call (10/13/22),2022-10-13T20:06:05Z,Oklahoma State Department of Education
3eFdYiMkgek,CACFP App Q&A (10/11/22),2022-10-13T20:01:04Z,Oklahoma State Department of Education
L3A99QhjS0g,Weekly Wave 10-13-22,2022-10-13T16:02:01Z,Oklahoma State Department of Education
ikh94OoYmXI,"ShapED My Life - Rand Elliott, Architect of POPS, Classen Curve and Beacon of Hope",2022-10-12T14:03:32Z,Oklahoma State Department of Education
1BF4KfHWJdY,Weekly Wave 10-06-22,2022-10-10T16:19:30Z,Oklahoma State Department of Education
gw5mz83vtzw,CACFP App Training (10-6-22),2022-10-10T14:34:01Z,Oklahoma State Department of Education
lcUgVDTI2U8,CACFP Required Doc Checklist FY23,2022-10-10T14:33:00Z,Oklahoma State Department of Education
A4qNBw1W-mw,Bartlesville Boys & Girls Club,2022-10-06T19:00:08Z,Oklahoma State Department of Education
xaqB4PBlejE,OSDE CACFP Application Training for Schools FY2023 YouTube,2022-10-06T15:42:57Z,Oklahoma State Department of Education
TydbJGyAdGs,OSDE CACFP Infant Meals FY2023 YouTube,2022-10-06T15:21:48Z,Oklahoma State Department of Education
ql4wrzc3yfs,FDCH Application Walkthrough FY23,2022-10-05T18:31:15Z,Oklahoma State Department of Education
SJNmq_7t4wA,"ShapED My Life - John Herrington, Retired NASA Astronaut",2022-10-05T15:49:40Z,Oklahoma State Department of Education
mWNTBX_GIp4,Rebecka Peterson - Teachers of Oklahoma,2022-10-05T15:05:25Z,Oklahoma State Department of Education
kgR4Gy49F2M,OSDE FFVP Training FY2023,2022-10-03T14:04:47Z,Oklahoma State Department of Education
f5-U-nKvQnw,Oklahoma Science of Reading Academies Pre-Registration Webinar Summer 2022,2022-09-30T17:03:17Z,Oklahoma State Department of Education
VHL3ns5xcXc,OSDE CACFP Orientation FY2023,2022-09-29T21:33:42Z,Oklahoma State Department of Education
k2AFZ6g8k9w,"ShapED My Life - Jacob Keyes, Owner of Skydance Brewing",2022-09-29T19:00:31Z,Oklahoma State Department of Education
PFTMa5szEow,OSDE Verification Process Training FY2023,2022-09-29T14:02:19Z,Oklahoma State Department of Education
1y7nl93Vvhs,Weekly Wave 9-22-22,2022-09-26T20:24:24Z,Oklahoma State Department of Education
LiFVuivpZ-k,Art Tech,2022-09-21T19:00:17Z,Oklahoma State Department of Education
hpzhNrlLdTo,"ShapED My Life - Joseph Harroz, President of the University of Oklahoma",2022-09-15T19:00:12Z,Oklahoma State Department of Education
SaVOdEtYxYQ,Weekly Wave 9-15-22,2022-09-15T18:29:36Z,Oklahoma State Department of Education
YpC-MV_VPPo,Reading Sufficiency Act Meeting (September 2022),2022-09-15T13:41:56Z,Oklahoma State Department of Education
psYpeTOvHGs,"OSDE School Call (Sept 12, 2022)",2022-09-12T20:36:37Z,Oklahoma State Department of Education
GAcelBk-Ans,Weekly Wave 9-8-22,2022-09-09T14:20:53Z,Oklahoma State Department of Education
k9hbqc_1gRg,Pryor Innovation Center,2022-09-08T15:20:06Z,Oklahoma State Department of Education
rl8LzlIRuck,"ShapED My Life - Brad Henry, Former Governor of Oklahoma",2022-09-07T14:08:05Z,Oklahoma State Department of Education
Izuu8vhKIYw,"ShapED My Life - Dr. Kayse Shrum, President of Oklahoma State University",2022-09-06T13:53:18Z,Oklahoma State Department of Education
tWAAZyuBKN8,Weekly Wave 9-1-22,2022-09-06T13:46:18Z,Oklahoma State Department of Education
UEDQbMpd3ak,OSDE Ounce Equivalent Training FY23,2022-08-30T19:44:15Z,Oklahoma State Department of Education
ebfS6X9yXaI,Reading Sufficiency Act Meeting August 2022,2022-08-29T20:17:31Z,Oklahoma State Department of Education
vLTNuJEh5JA,Science of Reading Academy Change Request,2022-08-29T20:05:26Z,Oklahoma State Department of Education
JXe-n10xNdI,Handle with Care,2022-08-24T19:00:10Z,Oklahoma State Department of Education
o0v50PkXcio,ABVM FY2023 – Part 5,2022-08-23T19:12:19Z,Oklahoma State Department of Education
42emjAgbjDA,ABVM FY2023 – Part 4,2022-08-23T18:08:43Z,Oklahoma State Department of Education
6305EALeZDs,ABVM FY2023 – Part 3 (Benefit Issuance & Verification),2022-08-23T18:05:50Z,Oklahoma State Department of Education
PvZwgfSxDZE,ABVM FY2023 – Part 2 (F/R Applications),2022-08-23T17:49:57Z,Oklahoma State Department of Education
ra6YIfhojxE,ABVM FY2023 – Part 1 (Charter & Civil Rights),2022-08-23T17:47:12Z,Oklahoma State Department of Education
YioeKh5LJNE,"ShapED My Life - Dr  Mautra Staley Jones, President of Oklahoma City Community College",2022-08-18T18:47:54Z,Oklahoma State Department of Education
igQ-4RSqLb0,Weekly Wave 8-18-22,2022-08-18T16:31:41Z,Oklahoma State Department of Education
9pFF2ACeSUQ,OSDE Production Record Training FY23,2022-08-12T16:00:23Z,Oklahoma State Department of Education
d12oEP_jooM,Weekly Wave 8-11-22,2022-08-11T20:12:22Z,Oklahoma State Department of Education
AqSk-WUQE4c,Youth at Heart,2022-08-11T19:00:05Z,Oklahoma State Department of Education
YKCoEAvU_6s,"ShapED My Life - G. T. Bynum, Mayor of Tulsa",2022-08-10T14:05:25Z,Oklahoma State Department of Education
dffTwuzVUZ8,OSDE Food Buying Guide Overview FY23,2022-08-09T22:02:45Z,Oklahoma State Department of Education
trmQWNPQaLE,"OSDE CNP School Call (Aug 8, 2022)",2022-08-08T19:57:39Z,Oklahoma State Department of Education
ueZ0G6vQzUs,"ShapED My Life - Mike Boettcher, Journalist and Professor at the University of Oklahoma",2022-08-04T18:54:45Z,Oklahoma State Department of Education
_i0cWaF5wCs,Weekly Wave 8-4-22,2022-08-04T17:27:01Z,Oklahoma State Department of Education
u7WITEVVP58,OSDE School Requirements & Additional Programs FY23,2022-08-04T15:55:43Z,Oklahoma State Department of Education
HVl4pwid2YQ,"ShapEd My Life - Curtis Lofton, Former NFL and OU Football Player",2022-08-04T15:25:02Z,Oklahoma State Department of Education
pCPMkSEqIxM,OSDE Procurement Process Training FY2023,2022-08-01T21:46:02Z,Oklahoma State Department of Education
uxsl5A57iyk,OSDE Afterschool Snack ASSP FY2023,2022-08-01T21:45:29Z,Oklahoma State Department of Education
HXml5TVx9rs,Weekly Wave 7-28-22,2022-07-29T13:59:26Z,Oklahoma State Department of Education
0rBurZ-oQZQ,"ShapED My Life - Mick Cornett, Former Mayor of OKC",2022-07-27T16:41:09Z,Oklahoma State Department of Education
MvN6ZXABqdg,EngageOK on the Road 2022,2022-07-26T19:29:47Z,Oklahoma State Department of Education
nd7LS5fuC0E,OSDE Offer vs Serve Training FY2023,2022-07-26T18:06:13Z,Oklahoma State Department of Education
SuIhtiI46Po,"2022 Student Advisory at Southmoore HS (July 14, 2022)",2022-07-22T20:20:16Z,Oklahoma State Department of Education
RQN4TUAxwJo,OSDE NSLP Online Application Walkthrough FY23,2022-07-21T19:57:28Z,Oklahoma State Department of Education
66Vw5g4yb_I,"ShapED My Life - Rebecca Fine and Rayla Thomas, Former Teacher and Student Reunited",2022-07-21T19:00:03Z,Oklahoma State Department of Education
4CY4X3wco5U,OSDE Child Nutrition Programs School Program Call (7/14/22),2022-07-15T14:02:40Z,Oklahoma State Department of Education
BMLb7ur7d-g,Dolly Parton's Imagination Library,2022-07-14T19:00:04Z,Oklahoma State Department of Education
t-GwKhqoZmQ,Weekly Wave 7-14-22,2022-07-14T17:59:56Z,Oklahoma State Department of Education
axjUXVg22ZU,SORA Registration Webinar,2022-07-08T21:19:14Z,Oklahoma State Department of Education
luWCg-lJq34,Weekly Wave 7-7-22,2022-07-07T18:07:37Z,Oklahoma State Department of Education
n8jeg5yiuDs,"ShapED my Life - Rebecka Peterson, 2022 Oklahoma Teacher of the Year",2022-07-07T15:16:18Z,Oklahoma State Department of Education
tSx1cM05ReU,"ShapEd My Life - Harvey Pratt, Nationally Renowned Artist",2022-07-06T16:41:29Z,Oklahoma State Department of Education
rCDFldW_w6Q,Weekly Wave 6-30-22,2022-06-30T18:44:28Z,Oklahoma State Department of Education
tpRFnfxsiFo,Lawton Life Ready Center,2022-06-30T15:09:22Z,Oklahoma State Department of Education
gUhNcPrcGnc,Weekly Wave 6-23-22,2022-06-24T13:56:50Z,Oklahoma State Department of Education
ZzYXPA3WqWQ,"ShapED My Life - Jesse Langston, Community Leader and Former OG&E Executive",2022-06-22T19:00:12Z,Oklahoma State Department of Education
IxEN4lsMVvw,"ShapED My Life - Nicholas Ley, Member of The Flaming Lips",2022-06-22T17:49:44Z,Oklahoma State Department of Education
