youtube_id,title,publishedAt,channel_name
25IufoA_2GE,October 2023 State Board of Education Meeting,2023-10-06T20:44:08Z,Nebraska Department of Education
MI1WyEcaO3I,September 2023 State Board of Education Meeting,2023-09-08T20:16:49Z,Nebraska Department of Education
5NV7dXO7ABg,"August 4, 2023 State Board of Education Meeting",2023-08-04T20:12:30Z,Nebraska Department of Education
l7HTM8hpFcE,June 2023 State Board of Education Meeting,2023-06-02T21:40:01Z,Nebraska Department of Education
cFoHUclUMUw,"Rule Revision Hearing for Education Rules 20, 21, & 24, and Title 93",2023-05-30T20:29:49Z,Nebraska Department of Education
IrAHoxu_C44,May 2023 State Board of Education Meeting,2023-05-05T21:06:12Z,Nebraska Department of Education
zpPB5mXoN3c,April 2023 State Board of Education Meeting,2023-04-19T19:32:33Z,Nebraska Department of Education
jI8mZ8SPGys,March 2023 State Board of Education Meeting,2023-03-03T21:33:53Z,Nebraska Department of Education
_TaFKeUQo9I,"Hearings for Rules 10, 14, and 23 - Jan 31, 2023",2023-02-06T20:51:19Z,Nebraska Department of Education
h7LUBrYHCSA,State Board of Education Meeting February 2023,2023-02-03T20:35:26Z,Nebraska Department of Education
ORmp-WShvtU,January 2023 State Board of Education Meeting (afternoon),2023-01-07T02:07:46Z,Nebraska Department of Education
4Lyp2RNVz3o,January 2023 State Board of Education Meeting,2023-01-06T19:56:59Z,Nebraska Department of Education
CUCqbNOuMb4,December 2022 State Board of Education Meeting,2022-12-02T19:29:36Z,Nebraska Department of Education
U0PtwGtnIz4,November 2022 State Board of Education Meeting,2022-11-05T03:12:00Z,Nebraska Department of Education
Yu2pNec1J2Q,October 2022 State Board of Education Meeting,2022-10-07T19:08:14Z,Nebraska Department of Education
maoKmbKzlzE,September 2022 SBOE Meeting,2022-09-07T14:51:48Z,Nebraska Department of Education
-Abn9goLqSA,August 2022 SBOE Meeting,2022-08-10T04:22:16Z,Nebraska Department of Education
VLjltu5hpcI,"Rule 20 Hearing July 26,2022",2022-08-10T04:21:24Z,Nebraska Department of Education
xbxJ7jdA1og,June 2022 NE SBOE Meeting,2022-06-08T17:02:44Z,Nebraska Department of Education
2EZwGCSOfso,May 2022 NE SBOE Meeting,2022-05-09T20:02:40Z,Nebraska Department of Education
rQ3IgxYqM78,April 2022 NE SBOE Meeting,2022-04-14T13:16:01Z,Nebraska Department of Education
-7pHW0TdoM4,March 2022 NE SBOE Meeting,2022-03-05T17:25:02Z,Nebraska Department of Education
IJqpeKHj42g,February 2022 NE SBOE Meeting,2022-02-05T16:38:00Z,Nebraska Department of Education
lRsm1M1DayM,January 2022 NE SBOE Meeting,2022-01-09T21:10:42Z,Nebraska Department of Education
IWAJc6_zenU,Rule 51 Rulemaking Public Hearing,2022-01-04T15:43:32Z,Nebraska Department of Education
PXegOpWYprE,"December 3, 2021 NE SBOE Meeting",2021-12-03T22:05:30Z,Nebraska Department of Education
IaVtk2NtvQk,"December 2, 2021 NE SBOE Business Meeting",2021-12-03T10:33:24Z,Nebraska Department of Education
NxRqQCp119E,"November 4, 2021 NE State Board of Education Meeting Day 1",2021-11-06T00:11:17Z,Nebraska Department of Education
OLkrGr5IL3I,"November, 2021 NE State Board of Education Meeting Day 2",2021-11-05T21:37:29Z,Nebraska Department of Education
Ei2sUR2VH-c,"October, 2021 State Board of Education Meeting",2021-10-09T00:57:31Z,Nebraska Department of Education
oNaEfUbUbPA,"September 3, 2021 State Board of Education Meeting",2021-09-04T06:30:41Z,Nebraska Department of Education
1t_fKY5IuNo,"September 2, 2021 State Board of Education Meeting",2021-09-03T01:48:22Z,Nebraska Department of Education
aONDhIyxETU,"August 6, 2021 State Board of Education Meeting",2021-08-14T13:12:43Z,Nebraska Department of Education
FYDdxi14jY8,"August 5, 2021 State Board of Education Meeting",2021-08-09T13:00:11Z,Nebraska Department of Education
dOOgCjAWEG0,June 2021 Board of Education Meeting,2021-06-09T12:48:48Z,Nebraska Department of Education
atcDFGuYcus,May 2021 Board of Education Meeting,2021-05-12T17:53:54Z,Nebraska Department of Education
4JyHAQ9abHM,April 2021 State Board of Education Meeting,2021-04-02T21:40:12Z,Nebraska Department of Education
yZe4JdVT7sM,March 2021 State Board Meeting,2021-03-06T06:19:48Z,Nebraska Department of Education
bSqJP_FlJio,February State Board Meeting,2021-02-05T20:49:50Z,Nebraska Department of Education
XrD7tHP6iBI,1-29-2021 Week In Review,2021-01-29T17:47:12Z,Nebraska Department of Education
NQT_t_TPpNY,1-22-2021 Week In Review,2021-01-22T16:24:01Z,Nebraska Department of Education
Gj5PYMrV-EU,1-15-2021 Week In Review,2021-01-15T18:12:41Z,Nebraska Department of Education
L7u0WLlLG1Q,January 2021 State Board Meeting,2021-01-09T05:05:40Z,Nebraska Department of Education
QcNC1LcPWUg,12-18-2020 Week In Review,2020-12-18T20:02:25Z,Nebraska Department of Education
BcN5gow6-YQ,December 2020 State Board Meeting,2020-12-12T01:46:42Z,Nebraska Department of Education
WI55QBqp61U,12-4-2020 Week In Review,2020-12-04T18:34:18Z,Nebraska Department of Education
QC_4Lf9gz5Y,11-20-2020 Week In Review,2020-11-20T20:29:27Z,Nebraska Department of Education
MUEkHSq0IFg,11-13-2020 Week In Review,2020-11-13T20:05:03Z,Nebraska Department of Education
ZJ4vNL_i5sw,11-6-2020 Week In Review,2020-11-06T17:10:38Z,Nebraska Department of Education
lfPpSeJUULw,10-30-2020 Week In Review,2020-10-30T14:00:09Z,Nebraska Department of Education
WiTNf4vUy0s,10-23-2020 Week In Review,2020-10-23T15:22:10Z,Nebraska Department of Education
Qi1S_xasC3A,10-16-2020 Week In Review,2020-10-16T14:00:05Z,Nebraska Department of Education
irTUsJYcZ4Q,10-9-2020 Week In Review,2020-10-09T17:33:34Z,Nebraska Department of Education
FGdL1DBr6r0,State Board Meeting October 2020,2020-10-03T05:06:33Z,Nebraska Department of Education
bY-u8jWvWAY,9-25-2020 Week In Review,2020-09-25T18:48:36Z,Nebraska Department of Education
gpjEAsnetvw,9-18-2020 Week In Review,2020-09-18T17:07:30Z,Nebraska Department of Education
GSyEnXVLn1o,9-11-2020 Week In Review,2020-09-11T16:57:43Z,Nebraska Department of Education
hJvcpKmRoRU,September 2020 State Board Meeting Part 2,2020-09-08T17:59:11Z,Nebraska Department of Education
98XFEUR8iN8,September 2020 State Board Meeting Part 1,2020-09-05T05:53:22Z,Nebraska Department of Education
vOwzFAOydSU,8-28-2020 Week In Review,2020-08-28T17:29:28Z,Nebraska Department of Education
JO5KtfaYDuk,Back to School Nebraska (Spanish),2020-08-20T14:35:05Z,Nebraska Department of Education
6M4oWtgc1zA,Back to School Nebraska (English),2020-08-20T14:32:56Z,Nebraska Department of Education
XlrYvOH12o8,"Superintendent Call August 17, 2020",2020-08-18T15:57:09Z,Nebraska Department of Education
Wm6_12m_0kE,8-14 Week In Review,2020-08-14T17:35:43Z,Nebraska Department of Education
dF_kHVMioZA,August 2020 State Board Meeting,2020-08-07T18:51:15Z,Nebraska Department of Education
xXUJUXULDn4,"Superintendent Call August 3, 2020",2020-08-04T17:46:45Z,Nebraska Department of Education
GR-NOW_7YrI,7-24-2020 Week In Review,2020-07-24T17:58:28Z,Nebraska Department of Education
Tu0eZ5MGyJ8,"Superintendent Call July 20, 2020",2020-07-21T15:09:39Z,Nebraska Department of Education
j4izSVDqeG8,7-10-2020 Week In Review,2020-07-10T18:49:03Z,Nebraska Department of Education
n84LWFg9xGk,"July 6, 2020 Superintendent Call",2020-07-07T15:06:05Z,Nebraska Department of Education
LMMbb--yewk,6-26-2020 Week In Review,2020-06-26T17:45:55Z,Nebraska Department of Education
GU-ppqFyVsQ,"Superintendent Call June 22, 2020",2020-06-23T16:22:55Z,Nebraska Department of Education
tUh99iUOD2A,6-19-2020 Week In Review,2020-06-19T17:20:39Z,Nebraska Department of Education
m59w3t-GIgA,"State Board Special Session June 17, 2020",2020-06-17T15:44:16Z,Nebraska Department of Education
OQAs5n96aZo,Session 10: Planning to Pivot: Support for the Fall,2020-06-17T14:48:19Z,Nebraska Department of Education
RHu8L_kghkk,Session 9: Supporting Independent Science Learning,2020-06-12T14:48:30Z,Nebraska Department of Education
Im6eYHK5hSs,6-12-2020 Week In Review,2020-06-12T14:38:16Z,Nebraska Department of Education
izCOjRtXoig,"Superintendent Call June 8, 2020",2020-06-10T14:36:33Z,Nebraska Department of Education
qYLZfCEcNsU,Session 8: Leveraging Assessment for Individualized Instruction,2020-06-10T14:29:21Z,Nebraska Department of Education
uIXjpUAYscM,June 2020 State Board of Education Meeting,2020-06-05T19:16:19Z,Nebraska Department of Education
jTALCZKXZx4,Session 7: Supporting all Students: Focusing on English Learners,2020-06-05T15:49:08Z,Nebraska Department of Education
LEWTGF1JADA,Session 6: Supporting All Students: Focusing On Students With Disabilities,2020-06-04T18:30:38Z,Nebraska Department of Education
-o-tmp_e7OM,"Superintendent Call June 1, 2020",2020-06-03T20:20:35Z,Nebraska Department of Education
VJOy0eewRXU,Session 5: Summer Learning for Literacy: Frameworks & Support,2020-05-29T15:23:59Z,Nebraska Department of Education
TYZsO4llgI8,5-29-2020 Week In Review,2020-05-29T14:27:36Z,Nebraska Department of Education
xQwttFVpFQA,Session 4: Unfinished Learning in Literacy,2020-05-27T19:46:38Z,Nebraska Department of Education
vwM3syS4e2o,Summer Learning for Mathematics: Frameworks & Support using Zearn Math,2020-05-26T13:32:43Z,Nebraska Department of Education
afFZPKScGXg,5-22-2020 Week In Review,2020-05-22T16:57:03Z,Nebraska Department of Education
7QBH1abEITU,Unfinished Learning in Mathematics,2020-05-20T17:25:36Z,Nebraska Department of Education
cCfScNXM6AI,"Superintendent Call May 18, 2020",2020-05-19T15:29:16Z,Nebraska Department of Education
RtGxUI_2RsM,Session 1: Unfinished Learning & Instructional Equity,2020-05-19T15:19:21Z,Nebraska Department of Education
qZ_0yUfox0Q,5-15-2020 Week In Review,2020-05-15T14:49:57Z,Nebraska Department of Education
zFVsvW3mqYM,"Superintendent Call May 11, 2020",2020-05-12T15:10:21Z,Nebraska Department of Education
f7XKXDl_lJ4,State Board Meeting May 2020,2020-05-08T21:08:05Z,Nebraska Department of Education
BO7vO8wxaF0,"Superintendent Call May 4, 2020",2020-05-06T23:36:41Z,Nebraska Department of Education
Dg4TU_kcOVE,5-1-2020 Week In Review,2020-05-01T18:06:22Z,Nebraska Department of Education
Wk_zDdFoOkU,"April 27, 2020 Superintendent Call",2020-04-28T15:15:55Z,Nebraska Department of Education
9zgmMQqh3IQ,"Superintendent Call April 20, 2020",2020-04-21T14:57:43Z,Nebraska Department of Education
4VKMv4_IEbQ,"Superintendent Call April 13, 2020",2020-04-15T14:26:53Z,Nebraska Department of Education
pyS6rD3lrBY,4-10-2020 Week In Review,2020-04-10T17:00:53Z,Nebraska Department of Education
p1fD6Ov2Tgc,"Superintendent Call April 6, 2020",2020-04-07T16:13:32Z,Nebraska Department of Education
