youtube_id,title,publishedAt,channel_name
GoDTIAxUnTk,Weather Lab Clark Middle School,2023-11-08T20:30:10Z,Anchorage School District
RMdRWpPu-NI,"November 2, 2023 Governance Committee Meeting",2023-11-08T18:48:49Z,Anchorage School District
NVR9BKoTgyo,Anchorage School Board Meeting 11-7-2023,2023-11-08T16:23:37Z,Anchorage School District
I-UmBBKRBKc,School Board Meeting 11-7-23,2023-11-08T13:38:55Z,Anchorage School District
HYi6h4aMrnU,Attendance Matters,2023-11-07T01:29:09Z,Anchorage School District
sSduHtyybrM,ASD 5th Graders Cheer On UAA Men’s Basketball Team,2023-11-04T20:30:02Z,Anchorage School District
WdzJg7xYwL4,ASD 5th Graders Cheer On UAA Men’s Basketball Team,2023-11-04T20:05:08Z,Anchorage School District
V2wb9_HIYuQ,ACT Program School Inspiring Students Districtwide,2023-11-03T23:01:16Z,Anchorage School District
P9iOCPqNKzI,Whittier Clean Up - ASD Student Logan Ehrhart,2023-11-03T17:01:41Z,Anchorage School District
RJiVCTBph9s,School Board Communications Committee,2023-11-03T10:10:34Z,Anchorage School District
w2U7lN-RKXw,ASD School Board Finance Committee,2023-11-03T09:11:43Z,Anchorage School District
MajBDcNdSGo,School Board Governance Committee,2023-11-03T08:08:49Z,Anchorage School District
W6RoDwwTIws,Bartlett and East Swimmers Making Strides In the Pool,2023-10-29T01:51:50Z,Anchorage School District
dI5BUVuUalc,Moving to Middle,2023-10-27T20:10:55Z,Anchorage School District
W48l_VtiPAg,"ELL Update Spanish Recording October, 2023",2023-10-24T22:10:01Z,Anchorage School District
7zv4k6UUeiI,"ELL Update Samoan October, 2023",2023-10-24T22:07:20Z,Anchorage School District
LNqhZ-0zw4M,"ELL Update Hmong Recording October, 2023",2023-10-24T22:04:19Z,Anchorage School District
Nmgfr6rmtvw,Preparing for Parent Teacher Conference,2023-10-23T21:40:53Z,Anchorage School District
tSnm5rq4F3k,School Board Meeting 10-17-23,2023-10-18T16:01:55Z,Anchorage School District
3aMrk9x9d08,School Board Work Session,2023-10-18T12:39:59Z,Anchorage School District
oGOabRXzQCE,Big Bad Voodoo Daddy visits Service High School,2023-10-17T18:30:32Z,Anchorage School District
Fv-dfDWkYng,ASD's Community Convening @ AK Airlines Center,2023-10-13T17:52:50Z,Anchorage School District
WHFzK1-ji_g,Indigenous Peoples' Day 10-09-23 Moseley Sports Center,2023-10-13T16:00:07Z,Anchorage School District
ziPImskg1H8,Government Hill Elementary Hispanic Month,2023-10-11T23:56:55Z,Anchorage School District
vC74SRssF0U,Government Hill Hispanic Month,2023-10-11T20:38:31Z,Anchorage School District
j7FFOcKcAVc,National School Lunch Week at the Anchorage School District,2023-10-11T20:10:05Z,Anchorage School District
IFltZsGLr_s,Weather Lab - Chugiak High School,2023-10-09T22:13:37Z,Anchorage School District
AFWAk1jeuos,School Board Communications Committee,2023-10-06T09:38:27Z,Anchorage School District
-OyQXn5IKgk,ASD School Board Finance Committee,2023-10-06T09:00:23Z,Anchorage School District
w6lnd7_QkSM,Winter Is Coming! Download the ASD App for updates on winter closures,2023-10-06T02:48:46Z,Anchorage School District
p8MDykDuItk,ASD School Board Finance Committee,2023-10-05T19:48:10Z,Anchorage School District
iLmfxomuzys,Girdwood School Conducts Alice Drill Training,2023-10-05T02:08:59Z,Anchorage School District
lA1rFEaeSoc,2023/10/03 School Board Meeting,2023-10-04T15:34:44Z,Anchorage School District
Ka7Z0Odl2FY,2023/10/03 School Board Work Session,2023-10-04T01:11:51Z,Anchorage School District
tSneBfzYOws,Weather Lab - Susitna Elementary School,2023-10-02T20:35:13Z,Anchorage School District
hdVsLdMHs2I,September 2023 Samoan,2023-09-29T00:27:48Z,Anchorage School District
38QWE9EXwrQ,September Hmong Family Update,2023-09-28T18:49:31Z,Anchorage School District
CC6gdpSBZ8w,Partnering with Parents to Help Students Improve Their Reading Skills,2023-09-28T15:20:40Z,Anchorage School District
VmSC90z1J8I,September 2023 Recording Español,2023-09-27T17:48:55Z,Anchorage School District
QPH9HTd9ijc,ASD Career & Technical Education Student Intern Gaining Experience & A Paycheck,2023-09-26T22:49:36Z,Anchorage School District
APQ2Mx-o11k,Weather Lab - Bear Valley Elementary,2023-09-25T20:32:20Z,Anchorage School District
umw37-F9yMQ,Learning to Read in ASD this Year,2023-09-20T23:47:29Z,Anchorage School District
MhBCPigUlto,2023/09/19 School Board Meeting,2023-09-20T16:17:07Z,Anchorage School District
c4ytwhinzz4,2023/09/19 School Work Session,2023-09-20T12:56:13Z,Anchorage School District
3KZ9AbP3b0A,Starting the Year Off Right,2023-09-19T20:29:55Z,Anchorage School District
lOiDZ_AE9Zo,Weather Lab - Begich Middle School,2023-09-19T02:14:19Z,Anchorage School District
CaZtAq6-XH0,School Board Joint Meeting with Anchorage Assembly,2023-09-16T07:47:42Z,Anchorage School District
SKrZNL8oYEw,School Board Joint Meeting with Anchorage Assembly,2023-09-16T07:14:28Z,Anchorage School District
5KiIsavtAOM,School Board Joint Meeting with Anchorage Assembly,2023-09-15T20:00:48Z,Anchorage School District
-lB5Mo4QlB4,ASD Student Nutrition - Fueling Success One Meal At A Time,2023-09-14T23:42:03Z,Anchorage School District
0YHAmBMkNEo,Starting The School Year Off Right,2023-09-12T21:14:00Z,Anchorage School District
33cxrCWt8Bw,Weather Lab at Northern Lights ABC,2023-09-11T21:17:31Z,Anchorage School District
anE_QfJMgNk,"September 7, 2023 Communications Committee Meeting",2023-09-09T00:47:50Z,Anchorage School District
2-ptgnTHpM4,"May 5, 2023 Communications Committee Meeting",2023-09-09T00:44:08Z,Anchorage School District
Pwk6sIbRhjs,122222 Communications Meeting,2023-09-09T00:40:07Z,Anchorage School District
faEvUs5uMC8,"May 25, 2023 Governance Committee Meeting",2023-09-09T00:38:09Z,Anchorage School District
Dmt97Q5rbgc,"Anchorage School District September 7, 2023  Finance Committee Meeting",2023-09-08T21:52:41Z,Anchorage School District
VBoKJfz9GMo,Anchorage School District September 7th 2023 Governance Committee Meeting,2023-09-08T19:31:42Z,Anchorage School District
pwzzzwf3RBc,2023/09/05 School Board Meeting,2023-09-06T15:59:48Z,Anchorage School District
QwnzYvfeVow,2023/09/05 School Board Work Session,2023-09-06T13:12:11Z,Anchorage School District
xK6PrttmRU8,1st Day of Kindergarten - Willow Crest Elementary,2023-08-25T00:06:17Z,Anchorage School District
7fIDzLx4zS8,HAMILTON AT WEST HIGH,2023-08-24T00:27:45Z,Anchorage School District
MTmM-Z3Z2sA,2023 ASD Faculty Art Show,2023-08-23T02:26:05Z,Anchorage School District
KI4YyzU1N4c,PLC Mondays - Denali Montessori & Government Hill,2023-08-22T02:12:50Z,Anchorage School District
JMvifsnOO68,ASD First Day Of School,2023-08-18T00:48:37Z,Anchorage School District
24SUx3S4VeY,Aquarian Charter School First Day Of School Flash Mob Welcome,2023-08-17T19:13:59Z,Anchorage School District
x8mDEjmyalQ,ASD Superintendent Bryantt First Day Of School Message,2023-08-17T19:11:41Z,Anchorage School District
38wCrBkXpas,Hanshew Middle School Staff Back To School Preparation,2023-08-17T01:24:33Z,Anchorage School District
xoS7zo-cpAA,2023/08/15 School Board Meeting,2023-08-16T14:40:13Z,Anchorage School District
SfD6KSx1tVU,2023/08/15 School Work Session,2023-08-16T13:10:17Z,Anchorage School District
NRmhwyRboiY,PLC Mondays,2023-08-14T23:48:26Z,Anchorage School District
V-iRKdrf7Fg,ASD School Board Finance Committee,2023-08-04T10:25:41Z,Anchorage School District
9unwJ0vAw98,2023/08/01 School Board Meeting,2023-08-02T15:29:08Z,Anchorage School District
J9PWPb5FTko,2023/08/01: School Board Work session,2023-08-02T13:45:59Z,Anchorage School District
UvaAJgRtF3Q,Professional Learning Community Mondays,2023-07-31T16:36:34Z,Anchorage School District
JC4GRtwYcN8,ASD Back to School,2023-07-28T17:35:59Z,Anchorage School District
N4MxowYavQ4,PLC MONDAYS,2023-07-28T00:49:06Z,Anchorage School District
1SECorDG2rw,Trailside Elementary Summer Library Program,2023-07-28T00:10:26Z,Anchorage School District
7K-XSHwwSDk,ASD Bus Transportation 2023-24,2023-07-19T21:56:29Z,Anchorage School District
cBoSkusiq0E,2023/06/09: Joint School Board /Anchorage Assembly Meeting,2023-06-10T08:23:33Z,Anchorage School District
OZt4rzDvWzo,2023/06/06: ASD School Board Work Session,2023-06-09T22:49:17Z,Anchorage School District
4zathBPAlmw,2023/06/06: ASD School Board Meeting,2023-06-08T19:19:17Z,Anchorage School District
nGIpK0hKWi8,2023/05/23: School Board Meeting,2023-05-24T15:36:50Z,Anchorage School District
Q9EyZWYsvZo,2023/05/23: School Board Work Session,2023-05-24T13:10:52Z,Anchorage School District
zMHWSh8ZAQY,2023 Graduations: Alaska Middle College School,2023-05-20T11:19:04Z,Anchorage School District
lkRbz1ep5Sg,2023 Graduations: South Anchorage High School,2023-05-19T16:52:21Z,Anchorage School District
fW5ghT_MxAs,2023 Graduations: Service High School,2023-05-19T12:19:17Z,Anchorage School District
uPGXjC5O_M0,2023 Graduations: Bettye Davis East Anchorage High School,2023-05-18T17:01:50Z,Anchorage School District
vBh5YOd4qi8,2023 Graduations: Dimond High School,2023-05-18T11:52:31Z,Anchorage School District
cerl1i75_-8,2023 Graduations: West Anchorage High School,2023-05-17T17:00:55Z,Anchorage School District
RpZbvirSb7E,2023 Graduations: Bartlett High School,2023-05-17T12:11:40Z,Anchorage School District
uGXPXVILvlk,2023 Graduations: Chugiak High School,2023-05-16T16:38:52Z,Anchorage School District
6_pLQmTdgpA,2023 Graduations: Eagle River High School,2023-05-16T11:58:40Z,Anchorage School District
gwlzTeokzEk,King Tech High School Graduation,2023-05-13T13:50:47Z,Anchorage School District
ccBsO3IbPEQ,ASD Board Finance Committee,2023-05-11T08:54:33Z,Anchorage School District
Qdzh8ir320w,2023 Spring Denali Awards and performance by Japanese Immersion students on the taiko drums.,2023-05-10T23:59:33Z,Anchorage School District
hvx6gHu2d-g,Abbott Loop Ceremony Slideshow,2023-05-10T22:24:20Z,Anchorage School District
CCgIbxZ2TKw,2023/05/09: School Board Meeting,2023-05-10T18:06:38Z,Anchorage School District
2brL2ccJEHc,CCL Launch 2023 05 03,2023-05-08T16:46:18Z,Anchorage School District
Bxv7nLdvc6A,Spanish ELL meeting 5 3 23,2023-05-01T16:47:33Z,Anchorage School District
R4NqVid74Vs,May Hmong,2023-04-28T21:19:22Z,Anchorage School District
dGPat4VQW9o,2023/04/18: School Board Meeting,2023-04-19T16:19:45Z,Anchorage School District
YVc6XtkDvSk,2023/04/18: School Board Work Session,2023-04-19T14:05:20Z,Anchorage School District
X6Rig127gaE,ASD Board Finance Committee,2023-04-05T20:57:12Z,Anchorage School District
LPC_86FVsQM,2023_04/03: School Board Meeting,2023-04-04T06:53:50Z,Anchorage School District
k8fC2BMP0vc,2023/04/03: School Board Work Session,2023-04-04T01:04:52Z,Anchorage School District
