youtube_id,title,publishedAt,channel_name
KXTM1ieN2aA,"Mississippi Board of Education - November 9, 2023",2023-11-10T05:30:25Z,MS Board of Education Live Stream
na_koBg17vc,"Licensure Commission - November 3, 2023",2023-11-04T04:16:44Z,MS Board of Education Live Stream
DLyB8E8nhRQ,"Special Called Teleconference Meeting of the Commission on School Accreditation - October 26, 2023",2023-10-27T01:47:14Z,MS Board of Education Live Stream
dO9P8eufMPY,"Mississippi Board of Education - October 19, 2023",2023-10-20T04:48:27Z,MS Board of Education Live Stream
u5e3uLgRSV8,"Mississippi Board of Education - September 28, 2023",2023-09-29T04:51:31Z,MS Board of Education Live Stream
vMGqBzG-HlE,"Commission on School Accreditation - September 28, 2023",2023-09-29T02:04:40Z,MS Board of Education Live Stream
KE3kNg0V0Jw,"Licensure Commission - September 14, 2023",2023-09-15T03:26:16Z,MS Board of Education Live Stream
c82YMmXiMLo,"Commission on School Accreditation - September 12, 2023",2023-09-13T08:46:10Z,MS Board of Education Live Stream
wzfoD3k6Q3o,"Licensure Commission - September 8, 2023",2023-09-09T03:37:05Z,MS Board of Education Live Stream
fc1aqSSy7N0,"Data Governance Committee - November 16, 2023",2023-08-24T12:39:25Z,MS Board of Education Live Stream
1U0FfcgBEYQ,"Mississippi Board of Education - August 17, 2023",2023-08-18T05:40:41Z,MS Board of Education Live Stream
UZQ3UTzeM2o,"Mississippi Board of Education - July 27, 2023",2023-07-28T05:24:04Z,MS Board of Education Live Stream
FMoG_X2TWfo,"Licensure Commission - July 7, 2023",2023-07-08T03:41:08Z,MS Board of Education Live Stream
2X6M364VGmM,"Mississippi Board of Education - June 15, 2023",2023-06-16T05:01:39Z,MS Board of Education Live Stream
YJhYdmT6EMw,"Mississippi State Board of Education Special-Called Budget Work Session - June 14, 2023",2023-06-15T07:11:25Z,MS Board of Education Live Stream
Y3A4g0xVoUg,"Commission on School Accreditation - June 6, 2024",2023-06-02T13:20:56Z,MS Board of Education Live Stream
iNxpI_iXVEs,"Commission on School Accreditation - April 4, 2024",2023-06-02T13:17:24Z,MS Board of Education Live Stream
0kMIHaWc35U,"Commission on School Accreditation - February 1, 2024",2023-06-02T13:15:08Z,MS Board of Education Live Stream
JdLudEgln-E,"Commission on School Accreditation - December 7, 2023",2023-06-02T13:10:36Z,MS Board of Education Live Stream
_zkYJBuHmbw,"Mississippi Board of Education - January 18, 2024",2023-06-02T12:30:17Z,MS Board of Education Live Stream
sJFLDksPB3U,"Mississippi Board of Education - December 21, 2023",2023-06-02T12:27:35Z,MS Board of Education Live Stream
uzVzvqtIACQ,"Commission on School Accreditation - June 1, 2023",2023-06-02T03:32:19Z,MS Board of Education Live Stream
Sdajsz1uSw8,"Mississippi Board of Education - May 18, 2023",2023-05-19T05:56:04Z,MS Board of Education Live Stream
4cL7zSGA8sg,"Licensure Commission - May 5, 2023",2023-05-06T04:13:21Z,MS Board of Education Live Stream
Wj_dSV3okBA,"Mississippi Board of Education - April 19, 2023",2023-04-20T06:11:53Z,MS Board of Education Live Stream
kL6jMdLIzfA,Accountability Task Force   April 11 2023,2023-04-13T13:36:12Z,MS Board of Education Live Stream
jadGAETcCZ8,"Commission on School Accreditation - April 6, 2023",2023-04-06T16:30:50Z,MS Board of Education Live Stream
JMKqYW6ARjg,"Data Governance Committee - March 10, 2023",2023-03-10T15:22:05Z,MS Board of Education Live Stream
