youtube_id,title,publishedAt,channel_name
pArhe5BlPXU,"School Mental Health Advisory Council October 19, 2023",2023-10-19T19:31:52Z,KSDE Livemedia
lc3ftPKKGHY,"Kansas State Board of Education Meeting | October 11th, 2023",2023-10-11T18:46:32Z,KSDE Livemedia
uXvq0es5ftE,"Kansas State Board of Education Meeting | October 10th, 2023",2023-10-10T23:06:00Z,KSDE Livemedia
i6XWQvfLiZA,"Commissioners Task Force December 8th, 2023",2023-10-06T20:25:05Z,KSDE Livemedia
4Pr877_UTFk,"Commissioners Task Force October 6th, 2023",2023-10-06T20:12:47Z,KSDE Livemedia
aDbXzDKQQY4,Special Education Advisory Council - September 28th 2023,2023-09-29T01:46:39Z,KSDE Livemedia
mMpSSxVjHD4,"Kansas State Board of Education Meeting | September 13th, 2023",2023-09-13T21:12:38Z,KSDE Livemedia
LjzkPwwygCc,"Kansas State Board of Education Meeting | September 12th, 2023",2023-09-13T00:10:32Z,KSDE Livemedia
mQcY-2fl9mU,"Commissioners Task Force September 8th, 2023",2023-09-09T08:11:29Z,KSDE Livemedia
ASrRJluTAuY,Quick Bite: Wheat Berries,2023-08-14T15:45:52Z,KSDE Livemedia
fC0__PJBZBE,KESA Kickoff Beginning of The Year 2023/2024,2023-08-10T19:19:49Z,KSDE Livemedia
FR7E9DCgYzE,2023-2024 Back-To-School Video,2023-08-10T14:23:47Z,KSDE Livemedia
onz5r2sGpiQ,"Kansas State Board of Education Meeting | August 9th, 2023",2023-08-09T18:07:25Z,KSDE Livemedia
87d7HKoYwds,"Kansas State Board of Education Meeting | August 8th, 2023",2023-08-08T22:55:06Z,KSDE Livemedia
8JBSAyPzPnQ,"Commissioner's Task Force August 4, 2023",2023-08-04T21:50:53Z,KSDE Livemedia
5Pa7ema-15Y,"Kansas State Board of Education Meeting | July 12th, 2023",2023-07-12T18:50:31Z,KSDE Livemedia
FEAeY2tURXw,"Kansas State Board of Education Meeting | July 11th, 2023",2023-07-12T00:25:37Z,KSDE Livemedia
YH3JrwxNmgE,"The June 14th, 2023 Kansas State Board of Education Meeting",2023-06-15T05:51:30Z,KSDE Livemedia
hF0LkFeCsqo,"The June 13th, 2023 Kansas State Board of Education Meeting",2023-06-14T01:41:43Z,KSDE Livemedia
v1mAhKadGP8,"Commissioners Task Force June 9th, 2023",2023-06-09T20:30:30Z,KSDE Livemedia
AsngVQQ_DQ0,"Teacher Appreciation Week 2023: May 9, Dr. Randy Watson",2023-05-12T23:44:21Z,KSDE Livemedia
ktbcQUkpzPE,Teacher Appreciation Week May 11 2023,2023-05-12T23:44:17Z,KSDE Livemedia
LnBpPUtFcck,"Teacher Appreciation Week 2023: Dr. Randy Watson, Friday, May 12",2023-05-12T23:44:04Z,KSDE Livemedia
gJNlo-fCC7s,2023 Teacher Appreciation Week: Mallory Keefe,2023-05-12T23:32:44Z,KSDE Livemedia
