youtube_id,title,publishedAt,channel_name
ZHWuMHwmCIs,Jay Craven 2023 Herb Lockwood Prize Presentation,2023-11-05T00:03:59Z,Media Factory
2GsjKETpN2A,Writing For Teens (And In-Betweens): YA Authors Share Their Latest Un-putdownable Books,2023-11-01T19:30:06Z,Media Factory
7CDaBb5U_Mc,Hidden History and Secret Science: Nonfiction Research,2023-11-01T18:58:40Z,Media Factory
4NygD4CyfCU,Scribbling Ideas: What’s in your Writer’s Notebook?,2023-11-01T18:03:01Z,Media Factory
fuIkpJirJ2k,The Search for Self: Creating Middle Grade Characters that Readers Love,2023-11-01T17:56:47Z,Media Factory
G29NbKYdYig,Picture Book Magic: A Read-aloud Book Tasting for Hungry Readers,2023-11-01T17:50:29Z,Media Factory
G26CGx9IblM,Romance: A Panel,2023-11-01T15:48:16Z,Media Factory
Uq6urqT8mW4,Growing Up In Williston - 50's and 60's - Williston Historical Society,2023-11-01T15:47:32Z,Media Factory
swO6DBNJtb0,Romance - Reading,2023-11-01T15:26:11Z,Media Factory
YNy_n-vnhHs,Reading - Poetry,2023-10-31T16:05:13Z,Media Factory
ckuZy7jDPf8,The American Dream Today: A Panel,2023-10-31T16:00:10Z,Media Factory
UBvz8qG9L4s,"Book Banning, Censorship and Rewriting Classics to Sanitize for Cultural Shifts",2023-10-30T15:46:54Z,Media Factory
MoY2TWhnZgU,Kids' Content: Banned Books Reading,2023-10-30T15:18:59Z,Media Factory
V0vOWRzk_as,The 1960's Fluxus Art Movement - Blurring Art and Life,2023-10-27T18:16:22Z,Media Factory
_upca-YTIrY,Vermont State Board of Education,2023-10-26T18:39:55Z,Media Factory
2qc8AA2yndo,CRADLE TO GRAVE ARTS | 2000 The Bus Barns Project,2023-10-23T15:28:19Z,Media Factory
01AGGFiTjng,CRADLE TO GRAVE ARTS | 2000 The Bus Barns Project Documentary,2023-10-23T15:23:38Z,Media Factory
NvX3FaHJeTo,The Quarry Project Film,2023-10-06T17:00:11Z,Media Factory
