youtube_id,title,publishedAt,channel_name
nkp3SHk6PQw,"November 3, 2023 SBE Meeting",2023-11-03T21:18:02Z,Tennessee State Board of Education
WHHnYck_2jg,"November 2, 2023 SBE Workshop",2023-11-03T17:04:37Z,Tennessee State Board of Education
gQBZq-RpavA,"October 6, 2023 SBE Special Called Meeting",2023-10-07T08:00:12Z,Tennessee State Board of Education
txzpgART1-4,"September 28, 2023 Social Studies Standards Recommendation Committee Meeting",2023-09-28T16:22:21Z,Tennessee State Board of Education
Tv9FS0ypAvI,"September 28, 2023 Social Studies Standards Recommendation Committee Meeting",2023-09-28T15:42:52Z,Tennessee State Board of Education
MUvcIoIZEBk,"August 4, 2023 - Tennessee State Board of Education - Quarterly Meeting",2023-08-04T18:43:43Z,Tennessee State Board of Education
AjSJoX3QBBQ,"August 3, 2023 - Tennessee State Board of Education - Workshop",2023-08-03T20:23:00Z,Tennessee State Board of Education
E3B3Oj5GJuQ,"May 19, 2023 - Tennessee State Board of Education - Quarterly Meeting",2023-05-20T05:23:14Z,Tennessee State Board of Education
ZshkdINfc9Y,"May 18, 2023 - Tennessee State Board of Education - Workshop",2023-05-19T09:43:25Z,Tennessee State Board of Education
u6Wv5Z0DSGA,"February 10, 2023 - Tennessee State Board of Education - Quarterly Meeting",2023-02-11T08:21:32Z,Tennessee State Board of Education
QOqx7BZDOmE,"February 9, 2023 - Tennessee State Board of Education - Workshop",2023-02-10T10:42:08Z,Tennessee State Board of Education
KuZwVpcTjhM,Special Called Meeting,2022-12-08T19:40:07Z,Tennessee State Board of Education
FS_JpGWABhw,Literacy Study Committee Meeting,2022-12-06T14:45:48Z,Tennessee State Board of Education
GT4CeqAx3Qs,CTE and Workforce Development Study Committee Meeting,2022-11-21T22:56:30Z,Tennessee State Board of Education
zK5ufKmjiYI,Third BEP Review Committee Meeting of 2022,2022-11-14T16:38:18Z,Tennessee State Board of Education
6sw4gMOEX0g,Fourth BEP Review Committee Meeting of 2022,2022-11-14T16:37:51Z,Tennessee State Board of Education
1rOB1Ex8on8,Educator Preparation and Licensure Study,2022-11-10T20:35:23Z,Tennessee State Board of Education
0Q9hT_BFOIg,BEP Review Committee Meeting,2022-10-31T15:58:49Z,Tennessee State Board of Education
OKJZWqkhqKs,"Tennessee State Board of Education - Quarterly Meeting - Oct. 28, 2022",2022-10-29T04:20:30Z,Tennessee State Board of Education
EMbzm00A8lk,"Tennessee State Board of Education - Workshop - Oct. 27, 2022",2022-10-27T20:22:24Z,Tennessee State Board of Education
cK4_OT9vimg,TISA Rules Special Called Meeting,2022-08-11T19:49:45Z,Tennessee State Board of Education
yFbYT7kASOg,State Board of Education Quarterly Workshop,2022-07-22T23:39:24Z,Tennessee State Board of Education
OpzGl_j_3gE,State Board of Education Quarterly Board Meeting,2022-07-22T22:38:26Z,Tennessee State Board of Education
4A8Pvvspg1Y,"Rulemaking Hearing Educator Licensure, Charter Schools, and Academic & Instructional Requirements",2022-07-06T15:06:01Z,Tennessee State Board of Education
aozGFUCp0KE,Science SRC Follow up Meeting,2022-06-28T14:32:34Z,Tennessee State Board of Education
Dw9SREX6I3Y,BEP Review Committee Meeting,2022-06-22T20:13:22Z,Tennessee State Board of Education
SO_SPn43Zz4,Education Recovery and Innovation Commission Meeting,2022-06-13T12:32:52Z,Tennessee State Board of Education
FNgCF3_GL8Q,"SBE - Science Standards Recommendation Committee Meeting - June 10, 2022",2022-06-10T21:08:02Z,Tennessee State Board of Education
CsgfKMcuDBo,"SBE - Science Standards Recommendation Committee Meeting - June 9, 2022",2022-06-09T21:48:17Z,Tennessee State Board of Education
I7hPl48Zuo4,"Tennessee State Board of Education - SBE Meeting - May 20, 2022",2022-05-21T05:26:57Z,Tennessee State Board of Education
gatPQsqAY04,"Tennessee State Board of Education - SBE Workshop - May 19, 2022",2022-05-20T08:22:07Z,Tennessee State Board of Education
CBtAoKL1SC0,Educator Preparation and Licensure Study Committee Meeting,2022-05-11T18:46:42Z,Tennessee State Board of Education
gq-HOOtfGEs,Literacy Study Committee Meeting,2022-05-10T21:26:53Z,Tennessee State Board of Education
wHhJm2kukZc,Education Recovery and Innovation Commission Meeting,2022-05-02T15:42:51Z,Tennessee State Board of Education
cX4cl9BHMAw,CTE and Workforce Development Study Committee Meeting,2022-04-27T13:26:21Z,Tennessee State Board of Education
unosy2ct-UI,School Board Training Advisory Committee Meeting,2022-04-18T20:45:48Z,Tennessee State Board of Education
hZC42wNueEM,Special Called Meeting,2022-04-05T19:25:41Z,Tennessee State Board of Education
dK2jDxm-Hb4,MIC3 State Council Annual Meeting,2022-04-01T12:52:42Z,Tennessee State Board of Education
w30OfLKSlcI,Testing and Accountability Subcommittee Meeting,2022-03-24T20:28:02Z,Tennessee State Board of Education
LYhDpG_ojdc,School Board Training Advisory Committee,2022-03-11T22:14:36Z,Tennessee State Board of Education
kgOtAIAKksE,Education Recovery and Innovation Commission Meeting,2022-03-07T15:05:17Z,Tennessee State Board of Education
LuBmudksuPg,Education Recovery and Innovation Commission Meeting,2022-02-14T14:03:20Z,Tennessee State Board of Education
