youtube_id,title,publishedAt,channel_name
KmoMbDM1Nbc,ODE General Meeting 3/16/23,2023-03-16T23:18:16Z,Oregon State Board of Education
KU304lKK9SA,New event,2023-02-17T08:29:14Z,Oregon State Board of Education
SG-JhYPylGg,"Regular Board Meeting - October 20, 2022",2022-10-31T22:08:39Z,Oregon State Board of Education
D-xi2xHUlCg,"State Board Regular Meeting - September 22, 2022",2022-10-22T00:46:08Z,Oregon State Board of Education
1eaCPIIukgk,Regular State Board Meeting - May 2022,2022-10-20T21:41:37Z,Oregon State Board of Education
nwbpGpXV9bw,"Regular State Board Meeting - March 17, 2022",2022-10-20T21:40:15Z,Oregon State Board of Education
WFBX6czM6m0,"Regular State Board Meeting - June 16, 2022",2022-10-20T21:40:09Z,Oregon State Board of Education
qbKLFV56-Ug,"Regular State Board Meeting & Military Compact Meeting Combined - April 21, 2022",2022-10-20T21:34:10Z,Oregon State Board of Education
DqDrJtduYP0,Regular State Board Meeting - January 2022,2022-10-20T21:27:26Z,Oregon State Board of Education
vj-phIxs6MI,"Regular State Board Meeting - September 16, 2021",2022-10-20T21:13:42Z,Oregon State Board of Education
vOKKbhroA3Y,"Regular State Board Meeting - December 9, 2021",2022-10-20T21:02:45Z,Oregon State Board of Education
tKVl8vI_D2g,"Regular State Board Meeting - May 20, 2021",2022-10-20T20:58:19Z,Oregon State Board of Education
jMrZ233skeE,"Regular State Board Meeting - October 21, 2021",2022-10-20T20:56:33Z,Oregon State Board of Education
pa56-I7ZzhU,"Regular State Board Meeting - June 17, 2021",2022-10-20T20:49:38Z,Oregon State Board of Education
Hl_mg0JwpBc,"Regular State Board Meeting - March 18, 2021",2022-10-18T04:51:30Z,Oregon State Board of Education
m6grrm0HO3M,"Regular State Board Meeting - April 21, 2021",2022-10-18T04:00:48Z,Oregon State Board of Education
oBD-jO-TW2Q,"Regular State Board Meeting - February 18, 2021",2022-10-18T01:01:07Z,Oregon State Board of Education
BJXkdwB2Se8,"Regular State Board Meeting - January 21, 2021",2022-10-17T23:55:36Z,Oregon State Board of Education
gtkglUxr8Rc,"Regular Board Meeting - December 10, 2020",2022-10-13T13:50:57Z,Oregon State Board of Education
TvRnbg-CQlU,"Regular Board Meeting - October 15, 2020",2022-10-13T13:04:17Z,Oregon State Board of Education
UYEHqW5_AKE,"Regular Board Meeting - September 17, 2020",2022-10-13T12:16:41Z,Oregon State Board of Education
VpxjLaRR5y8,"Regular Board Meeting - November 19, 2020",2022-10-13T11:07:56Z,Oregon State Board of Education
2m1_qjJD41c,"Military Compact Meeting - December 10, 2020",2022-10-13T07:02:13Z,Oregon State Board of Education
nwMADvHJsko,"Regular Board Meeting February 20, 2020",2022-10-13T02:33:52Z,Oregon State Board of Education
lQZg1r_DkRo,"Regular Board Meeting April 16, 2020",2022-10-13T01:41:51Z,Oregon State Board of Education
HST-atRqRrk,"Regular Board Meeting March, 2020 - Virtual",2022-10-13T01:19:32Z,Oregon State Board of Education
Jouaa4qYzas,"Regular Board Meeting June 18, 2020",2022-10-13T00:11:48Z,Oregon State Board of Education
Sh3vJpwwKHs,"Regular Board Meeting May 21, 2020 - Virtual",2022-10-12T22:54:47Z,Oregon State Board of Education
h5iHCRYUXF4,"Special Board Meeting March 2, 2020",2022-10-12T16:27:00Z,Oregon State Board of Education
wPmP0WYdGBw,"Regular Board Meeting September 19, 2019",2022-10-12T08:57:57Z,Oregon State Board of Education
8ddLt23Nqgc,"Regular Board Meeting June 20, 2019",2022-10-12T06:26:02Z,Oregon State Board of Education
7p_6My36mcA,"Regular Board Meeting May 16, 2019",2022-10-12T06:07:16Z,Oregon State Board of Education
Fub9lZRdY8g,"Regular Board Meeting October 14, 2019",2022-10-12T05:31:23Z,Oregon State Board of Education
wzXHlpwvmLk,"Regular Board Meeting November 21, 2019",2022-10-12T03:50:24Z,Oregon State Board of Education
cLz0oKZGhq8,"Annual Military Compact Meeting December 12, 2019",2022-10-11T21:07:08Z,Oregon State Board of Education
7TCGxXy_rwo,"Regular board meeting April 18, 2019",2022-10-11T02:51:22Z,Oregon State Board of Education
5KqeElWw1aE,"Regular board meeting March 21, 2019",2022-10-11T01:38:27Z,Oregon State Board of Education
8fY0onCx6B0,"Special Governor board meeting March 21, 2019",2022-10-11T00:46:44Z,Oregon State Board of Education
8YaI5CTWR-8,Tillamook travel meeting Jan 2019,2022-10-10T17:03:41Z,Oregon State Board of Education
87140M_0N0Y,"June 23, 2016 State Board AM",2016-06-24T21:08:13Z,Oregon State Board of Education
IUpBdg-81j4,"June 23, 2016 State Board PM",2016-06-24T21:08:13Z,Oregon State Board of Education
-8BYFUNhQ3o,March 3 2016 State Board AM,2016-03-05T14:47:44Z,Oregon State Board of Education
Bdq5nRnAwws,March 3 2016 State Board PM,2016-03-05T14:47:44Z,Oregon State Board of Education
44IMbNnWKz4,Jan 21 2016 - State Board PM,2016-01-22T15:37:02Z,Oregon State Board of Education
OFzNItDKzEM,Jan 21 2016 - State Board AM,2016-01-22T15:37:02Z,Oregon State Board of Education
dWs1SdL-23M,Dec 10 2015 State Board PM,2015-12-13T15:09:59Z,Oregon State Board of Education
MJ_MGCHYNk0,Dec 10 2015 State Board AM,2015-12-13T15:09:32Z,Oregon State Board of Education
