youtube_id,title,publishedAt,channel_name
qdEsMFJxiiw,"PEPSC Meeting - November 9, 2023",2023-11-10T09:27:58Z,NC Department of Public Instruction Public Meetings
U4O5ibtOgoo,"PEPSC Meeting - November 9, 2023",2023-11-09T21:23:32Z,NC Department of Public Instruction Public Meetings
NcOyXLb7LcY,"NC Charter Schools Advisory Board Meeting, Day 2  - November 7, 2023",2023-11-07T19:33:37Z,NC Department of Public Instruction Public Meetings
aAq1Fuq89BU,"NC Charter Schools Advisory Board Meeting, Day 1  - November 6, 2023",2023-11-06T19:43:00Z,NC Department of Public Instruction Public Meetings
6k3lq_gSCbk,"November 2023 State Board of Education Meeting - November 2, 2023",2023-11-04T14:21:15Z,NC Department of Public Instruction Public Meetings
PFzCbSCZ-V0,"Bi-Annual Planning & Work Session of NC State Board of Education Day 2 - November 1, 2023",2023-11-01T20:25:36Z,NC Department of Public Instruction Public Meetings
T1FYGjDSbqg,"Bi-Annual Planning & Work Session of NC State Board of Education Day 1 - October 31, 2023",2023-11-01T08:11:26Z,NC Department of Public Instruction Public Meetings
Ix8LPDKwwZc,"American Rescue Plan Committee of Practitioners Meeting, Part 2 - October 30, 2023",2023-10-31T09:09:43Z,NC Department of Public Instruction Public Meetings
XnDCMw3w1So,"American Rescue Plan Committee of Practitioners Meeting, Part 1 - October 30, 2023",2023-10-30T19:54:22Z,NC Department of Public Instruction Public Meetings
3TAG-L283z0,"NC Charter Schools Advisory Review Board , Part 2 - October 18, 2023",2023-10-19T06:52:26Z,NC Department of Public Instruction Public Meetings
wrAKs1tjjkk,"NC Charter Schools Advisory Review Board , Part 1 - October 18, 2023",2023-10-19T04:15:10Z,NC Department of Public Instruction Public Meetings
TIInyAFhllE,"NC Charter Schools Advisory Board Meeting, Part 2  - October 17, 2023",2023-10-18T06:36:04Z,NC Department of Public Instruction Public Meetings
TxijTqq3dhE,"NC Charter Schools Advisory Board Meeting, Part 1  - October 17, 2023",2023-10-18T04:53:20Z,NC Department of Public Instruction Public Meetings
rqkIYGLHbuU,"NC Professional Educator Preparation & Standards Commission Monthly Meeting - Oct. 12, 2023",2023-10-13T10:43:36Z,NC Department of Public Instruction Public Meetings
W8PWS5gAikY,"October 2023 State Board of Education Meeting - October 5, 2023",2023-10-06T03:09:00Z,NC Department of Public Instruction Public Meetings
Qy_H7wGR-s4,"October 2023 State Board of Education Meeting, Part 2 - October 4, 2023",2023-10-05T07:57:37Z,NC Department of Public Instruction Public Meetings
nON2bDJh3EY,"October 2023 State Board of Education Meeting, Part 1  -  October 4, 2023",2023-10-05T04:59:46Z,NC Department of Public Instruction Public Meetings
h5vtLcvJ0SM,"State Advisory Council on Indian Education Quarterly Meeting - Part 2 - September 22, 2023",2023-09-22T20:32:27Z,NC Department of Public Instruction Public Meetings
kCOEKFsSick,"State Advisory Council on Indian Education Quarterly Meeting - Part 1 - September 22, 2023",2023-09-22T16:43:52Z,NC Department of Public Instruction Public Meetings
afjV5xARmR4,"NC Professional Educator Preparation & Standards Commission Meeting, Part 1 - September 14, 2023",2023-09-14T20:53:22Z,NC Department of Public Instruction Public Meetings
Db3buyw_bG8,"NC Professional Educator Preparation & Standards Commission Meeting, Part 2 - September 14, 2023",2023-09-14T20:25:46Z,NC Department of Public Instruction Public Meetings
Qy0Uf3yCzHU,"September 2023 Called Meeting State Board of Education - September 14, 2023",2023-09-14T13:47:50Z,NC Department of Public Instruction Public Meetings
LYL-8MT9JBE,Council on Educational Services for Exceptional Children - 09/13/2023,2023-09-14T03:53:12Z,NC Department of Public Instruction Public Meetings
FSxr5kZFjRw,"NC Charter Schools Review Board Meeting - September 12, 2023",2023-09-12T18:25:05Z,NC Department of Public Instruction Public Meetings
69BM7Sc9gss,"NC Charter Schools Review Board Meeting - September 11, 2023",2023-09-11T19:33:57Z,NC Department of Public Instruction Public Meetings
86-HRkXhqYc,"September 2023 State Board of Education Meeting  -  September 7, 2023",2023-09-08T03:11:08Z,NC Department of Public Instruction Public Meetings
dn_K80qcQPI,"September 2023 State Board of Education Meeting, Part 2  -  September 6, 2023",2023-09-07T07:23:16Z,NC Department of Public Instruction Public Meetings
-fN4Y1NjMDA,"September 2023 State Board of Education Meeting, Part 1  -  September 6, 2023",2023-09-06T17:13:35Z,NC Department of Public Instruction Public Meetings
7VUITLflScA,"Driver Education Advisory Committee Meeting - August 15, 2023",2023-08-15T20:07:49Z,NC Department of Public Instruction Public Meetings
mcn-eEAIfNQ,"Special CSAB Called Meeting - August 11, 2023",2023-08-11T16:54:10Z,NC Department of Public Instruction Public Meetings
l6a4sd78MG8,"NC Professional Educator Preparation & Standards Commission Monthly Meeting - August 10, 2023",2023-08-11T01:26:31Z,NC Department of Public Instruction Public Meetings
Yj42h5CrMA8,"August  2023 State Board of Education Meeting - August 3, 2023",2023-08-04T03:11:19Z,NC Department of Public Instruction Public Meetings
qD6Esmfq1c4,"August 2023 State Board of Education Meeting, Part 3  - August 2, 2023",2023-08-03T05:54:17Z,NC Department of Public Instruction Public Meetings
di2_XoAzTSM,"August 2023 State Board of Education Meeting, Part 1  - August 2, 2023",2023-08-03T04:06:37Z,NC Department of Public Instruction Public Meetings
Z26u6ECU8Vw,"August 2023 State Board of Education Meeting, Part 2  - August 2, 2023",2023-08-02T16:17:15Z,NC Department of Public Instruction Public Meetings
uAoW_MPlWoc,"NC Professional Educator Preparation and Standards Commission Meeting (PEPSC) - July 13, 2023",2023-07-14T02:10:25Z,NC Department of Public Instruction Public Meetings
hhJnvsg1MU8,"July 2023 State Board of Education Meeting - Part 2 - July 6, 2023",2023-07-06T17:01:58Z,NC Department of Public Instruction Public Meetings
7zWbeB_IvXA,"July 2023 State Board of Education Meeting - Part 1 - July 6, 2023",2023-07-06T13:14:17Z,NC Department of Public Instruction Public Meetings
marWsdbp21g,"NC Charter Schools Advisory Board Special Called Meeting (Remote ) - June 26, 2023",2023-06-27T03:30:33Z,NC Department of Public Instruction Public Meetings
ygpkhOLlUkc,"NC Professional Educator Preparation & Standards Commission (PEPSC) - June 8, 2023",2023-06-09T01:51:23Z,NC Department of Public Instruction Public Meetings
Vm7iTsx6doM,"NC Charter Schools Advisory Board Meeting - Part 2 - Rescheduled  -  June 6, 2023",2023-06-07T01:50:51Z,NC Department of Public Instruction Public Meetings
LdQHh9OrD9k,"NC Charter Schools Advisory Board Meeting - Rescheduled  - Part 1 - June 6, 2023",2023-06-06T17:32:05Z,NC Department of Public Instruction Public Meetings
I1Ho-EJAde0,"June 2023 State Board of Education Meeting, Day 2 - June 1, 2023",2023-06-01T18:51:11Z,NC Department of Public Instruction Public Meetings
lcmstFI3vB4,"June 2023 State Board of Education Meeting - Part 2 - May 31, 2023",2023-05-31T21:13:31Z,NC Department of Public Instruction Public Meetings
5o62289wKKo,"June 2023 State Board of Education Meeting - Part 1 - May 31, 2023",2023-05-31T17:21:22Z,NC Department of Public Instruction Public Meetings
cVyD-MrnYrw,"State Advisory Council on Indian Education - May 12, 2023",2023-05-12T17:56:08Z,NC Department of Public Instruction Public Meetings
SprM8wh2vUM,"Special Called CSAB Meeting - May 11, 2023",2023-05-12T07:08:33Z,NC Department of Public Instruction Public Meetings
B2N-Vb1aNcM,"NC Professional Educator Preparation & Standards Commission (PEPSC) -   May 11, 2023",2023-05-11T14:06:30Z,NC Department of Public Instruction Public Meetings
VY2vqoEp3Us,"Special Called Meeting of the NC State Board of Education- May 8, 2023",2023-05-08T17:14:16Z,NC Department of Public Instruction Public Meetings
YidGHBjcxUY,"Special Called Meeting of the NC State Board of Education, Part 2 - May 8, 2023",2023-05-08T17:03:34Z,NC Department of Public Instruction Public Meetings
UpQswZf7a7c,"NC Charter Schools Advisory Board Meeting - May 8th, 2023",2023-05-08T16:16:17Z,NC Department of Public Instruction Public Meetings
IRcCynoxdkU,"May 2023 State Board of Education Meeting, Part 1  - May 4, 2023",2023-05-05T05:48:29Z,NC Department of Public Instruction Public Meetings
Wx1hX77erWU,"May 2023 State Board of Education Meeting, Part 1  - May 4, 2023",2023-05-04T16:51:37Z,NC Department of Public Instruction Public Meetings
uI6TORHnp54,"State Board of Education Bi-Annual Planning & Work Session Day 2  Part 3  - May 3, 2023",2023-05-04T07:48:28Z,NC Department of Public Instruction Public Meetings
58e3W8yTRZg,"State Board of Education Bi-Annual Planning & Work Session Day 2  Part 2  - May 3, 2023",2023-05-04T05:53:52Z,NC Department of Public Instruction Public Meetings
umO5MpvL_J0,"State Board of Education Bi-Annual Planning & Work Session Day 2  Part 1  - May 3, 2023",2023-05-03T15:39:15Z,NC Department of Public Instruction Public Meetings
8d4ybpqdwAU,"State Board of Education Bi-Annual Planning & Work Session Day 1 - Part 1  - May 2, 2023",2023-05-03T04:26:37Z,NC Department of Public Instruction Public Meetings
Uhal1Z0034g,"State Board of Education Bi-Annual Planning & Work Session Day 1 - Part 1  - May 2, 2023",2023-05-02T21:17:31Z,NC Department of Public Instruction Public Meetings
JCfj1f8ThpQ,Called Meeting - Independent Appeals Hearing for Eastside STREAM Academy,2023-04-28T04:35:39Z,NC Department of Public Instruction Public Meetings
t7FTpqWAOuA,"NC Professional Educator Preparation & Standards Commission (PEPSC) -   April 13, 2023",2023-04-14T02:25:44Z,NC Department of Public Instruction Public Meetings
VAoQLL-1vQw,"NC Charter Schools Advisory Board Meeting - April 11, 2023",2023-04-11T17:25:21Z,NC Department of Public Instruction Public Meetings
m1rywJqjsZs,"April 2023 State Board of Education Meeting - April 6, 2023",2023-04-06T16:34:26Z,NC Department of Public Instruction Public Meetings
273H7jb4te4,"April 2023 State Board of Education, Part 3  - April 5, 2023",2023-04-05T21:26:35Z,NC Department of Public Instruction Public Meetings
DPq0KicDOos,"April 2023 State Board of Education, Part 2  - April 5, 2023",2023-04-05T17:19:07Z,NC Department of Public Instruction Public Meetings
dzOqAXqmxxM,"April 2023 State Board of Education, Part 1  - April 5, 2023",2023-04-05T16:51:38Z,NC Department of Public Instruction Public Meetings
qxFytQP_f4w,"NC Professional Educator Preparation & Standards Commission - March 9, 2023",2023-03-09T17:30:52Z,NC Department of Public Instruction Public Meetings
vX7WbB0-6YE,"NC Charter Schools Advisory Board Meeting - March 6, 2023",2023-03-06T20:33:43Z,NC Department of Public Instruction Public Meetings
CYUQ9ABYnHw,"State Advisory Council on Indian Education Quarterly Meeting - March 3, 2023",2023-03-03T18:21:26Z,NC Department of Public Instruction Public Meetings
1bPPh5l6szo,"March 2023 State Board of Education Meeting - March 2, 2023",2023-03-02T16:40:32Z,NC Department of Public Instruction Public Meetings
898JpctkgL4,"March 2023 State Board of Education Meeting, Part 2  - March 1, 2023",2023-03-01T22:27:42Z,NC Department of Public Instruction Public Meetings
bYErHZisDHE,"March 2023 State Board of Education Meeting, Part 1  - March 1, 2023",2023-03-01T17:43:28Z,NC Department of Public Instruction Public Meetings
04Iwd2PoWUw,"North Carolina Driver Education Advisory Committee Meeting - February 21, 2023",2023-02-21T18:29:58Z,NC Department of Public Instruction Public Meetings
qzyCNHpd2EA,"NC Professional Educator Preparation & Standards Commission - Feb. 16, 2023",2023-02-16T16:22:16Z,NC Department of Public Instruction Public Meetings
2oecZvBpKM4,"Advanced Teaching & Leader Roles Work Group - NC PEPSC - Feb. 14, 2023",2023-02-14T19:24:44Z,NC Department of Public Instruction Public Meetings
kHCnDznSkzk,"Professional Learning Tools & Structures Working Group - NC PEPSC - Feb. 14, 2023",2023-02-14T16:35:48Z,NC Department of Public Instruction Public Meetings
n9RUdvBO3sc,"Pathways Entry Points Working Group - NC PEPSC - Feb. 13, 2023",2023-02-13T21:20:33Z,NC Department of Public Instruction Public Meetings
XJmeUB8dHps,"Student Impact Measures Working Group - NC PEPSC - Feb. 9, 2023",2023-02-09T18:40:41Z,NC Department of Public Instruction Public Meetings
LauV21dBF44,"NC Charter Schools Advisory Board Meeting, Part 2 - February 6, 2023",2023-02-06T22:09:38Z,NC Department of Public Instruction Public Meetings
mTFwuMwBM5Q,"NC Charter Schools Advisory Board Meeting, Part 1 - February 6, 2023",2023-02-06T14:23:45Z,NC Department of Public Instruction Public Meetings
96XKB1XacNY,"February 2023 State Board of Education Meeting - February 02, 2023",2023-02-02T16:30:59Z,NC Department of Public Instruction Public Meetings
ECbznV4zcuM,"February 2023 State Board of Education Meeting, Part 2 - February 01, 2023",2023-02-01T20:56:54Z,NC Department of Public Instruction Public Meetings
NXPQgj9e4RE,"February 2023 State Board of Education Meeting, Part 1 - February 01, 2023",2023-02-01T18:27:06Z,NC Department of Public Instruction Public Meetings
k8siNNGqhIE,"New Pathways Entry Points Working Group Meeting - January 30, 2023",2023-01-30T20:47:13Z,NC Department of Public Instruction Public Meetings
gyFqnnvG78g,"Student Impact Measures Working Group - NC PEPSC - Jan. 26, 2023",2023-01-26T23:47:09Z,NC Department of Public Instruction Public Meetings
RKBdF_W38KA,"Learning Tools & Structures Working Group - NC PEPSC - Jan. 19, 2023",2023-01-19T15:05:27Z,NC Department of Public Instruction Public Meetings
L5NP_eCpE-E,"NC Professional Educator Preparation & Standards Commission - January 12, 2023",2023-01-12T15:53:42Z,NC Department of Public Instruction Public Meetings
