youtube_id,title,publishedAt,channel_name
TShN4xAzZ2w,CT State Advisory Council for Special Education (Membership Committee) - 11/9/23,2023-11-09T18:18:11Z,CT State Department of Education
DpgyDeismQc,State Board of Education Meeting - 11/8/2023,2023-11-09T07:15:48Z,CT State Department of Education
3tlTwPemUOc,2023-24 Accessibility Guidelines for the LAS Links Online Administration,2023-11-08T18:41:55Z,CT State Department of Education
mmV6eLqxcHs,State Board of Education Meeting - 11/6/2023,2023-11-07T04:22:58Z,CT State Department of Education
hxHSweKqYjY,"Talk Tuesday, October 31, 2023",2023-11-03T19:00:12Z,CT State Department of Education
n-AlhN50xB8,CSDE Policies for LAS Links Online Administration Training,2023-11-03T18:51:42Z,CT State Department of Education
hy7Oax1cKCo,CT SAT Tech Coordinator Training,2023-11-03T13:20:18Z,CT State Department of Education
MZqmfOmlNiQ,State Board of Education Meeting - 11/1/2023,2023-11-02T03:25:47Z,CT State Department of Education
sMq14rV9C1c,Behind the Numbers: Multiple Ways of Understanding Student Growth,2023-11-01T18:58:22Z,CT State Department of Education
aXnpife8mmU,Increasing Educator Diversity (IED) Plan Informational Session Webinar,2023-10-31T17:07:13Z,CT State Department of Education
cARivg53U10,Connecticut High-Dosage Tutoring Kickoff Event,2023-10-30T15:33:09Z,CT State Department of Education
H9m6_wD7mIg,CT State Advisory Council for Special Education (Full Council) - 10/25/23,2023-10-26T02:53:59Z,CT State Department of Education
hTjvcSj269s,"Talk Tuesday, 9/19/23",2023-10-24T17:11:49Z,CT State Department of Education
x59djF5mGlc,"Talk Tuesday, October 17, 2023",2023-10-24T17:07:09Z,CT State Department of Education
NpdO1K8VmbA,"Talk Tuesday, 10/3/2023",2023-10-20T16:52:15Z,CT State Department of Education
u0IOA9teDQs,"Talk Tuesday, Summer Series ""Back to Basics,"" August 8, 2023",2023-10-20T16:48:50Z,CT State Department of Education
qIaEfCdmffM,"Talk Tuesday ""Summer Back to Basics"" 7/18/2023",2023-10-20T16:45:04Z,CT State Department of Education
asJoll4pcxw,CT State Advisory Council for Special Education (Full Council) - 1/17/23,2023-10-12T18:59:01Z,CT State Department of Education
yYiZPqC083k,CT State Advisory Council for Special Education (Executive Committee) - 1/3/24,2023-10-12T16:35:50Z,CT State Department of Education
ZUVX1UiR4N4,CT State Advisory Council for Special Education (Executive Committee) - 11/17/23,2023-10-12T16:34:47Z,CT State Department of Education
89loZSKELjE,CT State Advisory Council for Special Education (Executive Committee) - 10/11/23,2023-10-12T04:23:09Z,CT State Department of Education
s4mjrmMshjU,"Dual Credit Community of Practice, October 10, 2023",2023-10-11T19:35:57Z,CT State Department of Education
hWrJQtdIDwY,Webinar for Districts Who Requested Waiver of CT Approved K–3 Reading Curriculum Models or Programs,2023-10-10T19:29:10Z,CT State Department of Education
_5sPSgFNnwU,US Senate Youth Program Webinar,2023-10-05T16:58:57Z,CT State Department of Education
