youtube_id,title,publishedAt,channel_name
JLqnAYbUC-k,Virtual Learning Advisory Committee (VLAC) Meeting,2023-11-10T04:32:07Z,Virginia Department of Education
wWFWTIrDcZw,ABTEL November Meeting 11/09/23,2023-11-10T04:28:28Z,Virginia Department of Education
sBpBp7KQ_HY,Chronic Absenteeism Task Force 11/7/23,2023-11-08T11:47:21Z,Virginia Department of Education
2CnHbFVO2mk,College Partnership Laboratory Schools Standing Committee 11/06/23,2023-11-07T05:12:58Z,Virginia Department of Education
PYCnxYnBGzE,Virginia Interstate Compact Council 10/26/23,2023-10-27T04:26:15Z,Virginia Department of Education
dnjVCq8TMNQ,Chronic Absenteeism Task Force 10-24-23,2023-10-25T10:09:08Z,Virginia Department of Education
9M4lUs3zJaM,Virginia Board of Education Business Meeting 10/19/23,2023-10-20T03:01:49Z,Virginia Department of Education
GZ8VUbgJJwo,Virginia Board of Education 10/18/23,2023-10-18T21:59:44Z,Virginia Department of Education
O1KDIXdfjPA,Adult Education & Literacy Advisory Committee Meeting,2023-10-13T04:28:45Z,Virginia Department of Education
hkZwPVIlUy4,HB585 Meeting 5 Presentation,2023-10-05T13:22:20Z,Virginia Department of Education
Em8u7_3NOj8,Prioritization of 2023 Mathematics SOL Content for the 2023-2024 School Year - Elementary,2023-10-04T14:29:12Z,Virginia Department of Education
XHumnDA3z0k,Prioritization of 2023 Mathematics SOL Content for the 2023-2024 School Year - Secondary,2023-10-04T14:29:09Z,Virginia Department of Education
k8WA2elXTDU,College Partnership Laboratory Schools Standing Committee 10/3/23,2023-10-04T04:15:49Z,Virginia Department of Education
2oNmwfNX4H0,Integrated Lesson Plans - Virginia Alternate Assessment Program,2023-09-22T12:49:17Z,Virginia Department of Education
mVxlIEkiXrc,School Breakfast Supports Attendance in Virginia Schools,2023-09-15T17:49:45Z,Virginia Department of Education
TLRtmp0p8ok,Virginia Board of Education Business Meeting 9/14/23,2023-09-14T21:26:13Z,Virginia Department of Education
UnLAFvV4F0I,Virginia Board of Education Work Session 09/13/23,2023-09-14T01:43:10Z,Virginia Department of Education
WBYkLtGxd34,Virginia Board of Education - Special Meeting - 8/31/23,2023-08-31T22:07:36Z,Virginia Department of Education
0g0CH5Zik98,Virginia School Nutrition Director's Back to School Message for School Year 2023-2024,2023-08-22T19:35:25Z,Virginia Department of Education
bvraKNUNvN0,Assessment Updates: Fall 2023 Growth Assessments,2023-08-21T13:30:24Z,Virginia Department of Education
_11wkjVGFMc,Vertical Scaled Score Interpretation for Spring Standards of Learning (SOL) Assessments,2023-08-21T13:00:27Z,Virginia Department of Education
ayJJwsH8h0I,The Students with Intensive Support Needs Application: Instructions for Submission,2023-08-09T19:46:15Z,Virginia Department of Education
T1vkzaclcyg,VDOE Early Childhood State of the State Updates for Summer 2023,2023-08-01T16:29:45Z,Virginia Department of Education
En_hnFZcwPw,College Partnership Laboratory Schools Standing Committee,2023-08-01T04:38:08Z,Virginia Department of Education
JQCB9ZRLjbE,Virginia Board of Education - Business Meeting - 7-27-2023,2023-07-27T20:17:57Z,Virginia Department of Education
4JK-dB26WIc,Virginia Board of Education - Executive & Work Session - 7-26-23,2023-07-26T21:49:55Z,Virginia Department of Education
v1mrX6TWEJA,VDOE VAAP SDBQ Overview,2023-07-12T19:03:28Z,Virginia Department of Education
5oO01EObV0U,Legislative Update: School Counselor's Staff Time,2023-07-12T13:01:05Z,Virginia Department of Education
