youtube_id,title,publishedAt,channel_name
ORsETK3m16E,"November 7, 2023- Certification Advisory Committee",2023-11-08T06:33:33Z,Arizona State Board of Education (AZSBE)
bvrMu7V5fX4,A-F Appeals Guidance: Incorrect Data,2023-10-30T20:01:11Z,Arizona State Board of Education (AZSBE)
jbihTyKZdno,"October 23, 2023 - Arizona State Board of Education Board Meeting",2023-10-24T05:37:05Z,Arizona State Board of Education (AZSBE)
zJ3k8RSsfqA,"September 25, 2023 - Arizona State Board of Education Board Meeting",2023-09-26T08:33:25Z,Arizona State Board of Education (AZSBE)
dub0Eh1xSW0,"August 29, 2023 - Arizona State Board of Education Board Retreat",2023-08-30T07:21:17Z,Arizona State Board of Education (AZSBE)
c4iBoX3k0Gc,"August 28, 2023 - Arizona State Board of Education Board Meeting",2023-08-29T08:58:11Z,Arizona State Board of Education (AZSBE)
xiWe_Kyh8Pc,"June 26, 2023 - Arizona State Board of Education Board Meeting",2023-06-26T22:07:11Z,Arizona State Board of Education (AZSBE)
YKhSEi7qK60,"June 20, 2023 - Public Hearing on K through Three Reading Program",2023-06-21T08:27:26Z,Arizona State Board of Education (AZSBE)
fN5NpanZhwI,"May 22, 2023 - Arizona State Board of Education Board Meeting",2023-05-23T06:30:02Z,Arizona State Board of Education (AZSBE)
OXRUBS6cZP4,"April 24, 2023 - Arizona State Board of Education Board Meeting",2023-04-25T08:20:35Z,Arizona State Board of Education (AZSBE)
1LQODjgtvWA,"April 6, 2023 - Public Hearing on Teacher Leader Standards and Independent Accounting",2023-04-06T17:13:32Z,Arizona State Board of Education (AZSBE)
Xh-thhpQ8-U,"March 30, 2023 - Arizona State Board of Education Board Special Meeting (FY24 ESA Handbook)",2023-03-30T18:31:18Z,Arizona State Board of Education (AZSBE)
TmdQY2yWKJQ,"March 20, 2023 - Arizona State Board of Education Board Meeting",2023-03-20T22:02:22Z,Arizona State Board of Education (AZSBE)
P9id-Mue1ck,"February 27, 2023 - Arizona State Board of Education Board Meeting (WEBCAM MALFUNCTIONING)",2023-02-27T22:59:00Z,Arizona State Board of Education (AZSBE)
RNxI5By4Lsk,"January 23, 2023- Arizona State Board of Education Board Meeting",2023-01-23T20:40:42Z,Arizona State Board of Education (AZSBE)
5qI3CsF9QYY,"Monday, January 23, 2023 - Nominating Committee",2023-01-23T16:45:18Z,Arizona State Board of Education (AZSBE)
RPQw96sPqTA,"Jan 5, 2023 - 2nd ESA Public Hearing",2023-01-05T18:08:35Z,Arizona State Board of Education (AZSBE)
xLvJZEWkSRs,"December 15, 2022 - Arizona State Board of Education Study Session",2022-12-15T18:03:00Z,Arizona State Board of Education (AZSBE)
