youtube_id,title,publishedAt,channel_name
1F7HLq7hIHA,New Jersey State Board of Education Meeting Simulcast,2023-11-02T04:23:01Z,New Jersey Department of Education
VBkc4cmqyXY,New Jersey State Board of Education Meeting Simulcast,2023-10-04T18:04:36Z,New Jersey Department of Education
dpnjw_2XF30,Monmouth County Educator Named 2023-2024 New Jersey State Teacher of the Year,2023-09-20T19:40:08Z,New Jersey Department of Education
yrM-sVnx0UA,2023 National Blue Ribbon Cermemony Remarks,2023-09-20T19:27:53Z,New Jersey Department of Education
aqOV4HAXMBw,Summary of Climate Change in New Jersey for Teachers,2023-09-20T15:55:46Z,New Jersey Department of Education
18vwtw_emN0,New Jersey State Board of Education Meeting Simulcast,2023-09-07T04:35:36Z,New Jersey Department of Education
YscsIjJj8eQ,Meet the 2023-2024 NJ State Board of Education Student Representative: Nilanjana Ghosh,2023-08-25T14:56:22Z,New Jersey Department of Education
bQFccbtWS74,Power of Educators: Leigh Cline,2023-08-04T15:29:15Z,New Jersey Department of Education
bImGebg36b4,New Jersey State Board of Education Meeting Simulcast,2023-08-02T18:53:58Z,New Jersey Department of Education
KDTZfiRzugc,Power of Educators: Leana Malinowsky,2023-07-28T14:27:47Z,New Jersey Department of Education
GzsfPp7bbOM,The Power of Educators: Gina DiMaggio,2023-07-21T15:00:11Z,New Jersey Department of Education
WsjPTggmq5A,The Power of Educators: Christine O'Brien-Mase,2023-07-14T13:56:25Z,New Jersey Department of Education
Hkaq92wv3nY,New Jersey State Board of Education Meeting Simulcast,2023-07-13T04:32:11Z,New Jersey Department of Education
46aYFzdCA_Q,Power of Educators: Candice Testa,2023-07-07T14:51:20Z,New Jersey Department of Education
ssIhb3LvyFY,New Jersey State Board of Education Meeting Simulcast,2023-06-08T05:58:59Z,New Jersey Department of Education
eJR9QBb3xnE,New Jersey State Board of Education Meeting Simulcast,2023-05-03T18:10:54Z,New Jersey Department of Education
dIaymQK-0M4,Teacher Appreciation Week Video,2023-05-03T15:07:43Z,New Jersey Department of Education
RU9CkNw0lv4,#PowerofEducators Mark Housel - Physical Education Teacher,2023-04-07T12:36:00Z,New Jersey Department of Education
LrzRAKLoZes,New Jersey State Board of Education Meeting Simulcast,2023-04-05T20:32:48Z,New Jersey Department of Education
tlMPIW_HXpY,New Jersey Partnership for Student Success: Acting Commissioner Allen-McMillan,2023-04-04T15:00:26Z,New Jersey Department of Education
Zw_NzMn-a2Q,New Jersey State Board of Education Meeting Simulcast,2023-03-02T06:22:23Z,New Jersey Department of Education
p6IwZiSh2zg,Delia Bolden Elementary School Ribbon Cutting Ceremony,2023-02-17T15:40:52Z,New Jersey Department of Education
W7QFFg_T41g,#LoveTeaching Week - STOY Christine Girtain,2023-02-14T19:01:58Z,New Jersey Department of Education
H4InFdxV03w,New Jersey Department of Education Live Stream,2023-02-13T16:27:44Z,New Jersey Department of Education
ix5tayP6EKA,Kindergarten to Third Grade Resources,2023-01-25T21:13:43Z,New Jersey Department of Education
Tp4rTfKuSws,Power of Educators Campaign: Favorite Teacher Memories,2022-10-13T15:17:20Z,New Jersey Department of Education
aZv-t3Trxmw,Power of Educators Campaign: Why Should YOU Become a Teacher?,2022-10-12T16:35:01Z,New Jersey Department of Education
66FCaheHvig,Power of Educators Campaign: The Impact Teachers Have,2022-10-11T14:12:58Z,New Jersey Department of Education
c6WA3Hdbb6o,Power of Educators Campaign: Daryl Detrick (22-23 Warren County Teacher of the Year),2022-09-16T13:43:22Z,New Jersey Department of Education
l0M2i6L46Js,Power of Educators Campaign: Leana Malinowsky (22-23 Middlesex County Teacher of the Year),2022-09-14T19:36:10Z,New Jersey Department of Education
w3q1RIQyPJ8,Power of Educators Campaign: Ian Evans (22-23 Somerset County Teacher of the Year),2022-09-08T17:42:20Z,New Jersey Department of Education
ojhFeScWeVc,Power of Educators Campaign: Christine Girtain (22-23 Ocean County Teacher of the Year),2022-09-06T16:38:31Z,New Jersey Department of Education
-vhsaXS31a0,"Hope, Healing, and Resilience Through the COVID Pandemic",2022-08-29T16:20:18Z,New Jersey Department of Education
U6A5PJ5zid4,Teacher Appreciation Week 2022: Photo Montage Video,2022-08-03T14:49:44Z,New Jersey Department of Education
A9TpTE-n8Qk,Teacher Appreciation Week 2022: A Message from Acting Commissioner of Education,2022-08-03T14:48:48Z,New Jersey Department of Education
pNZPmga0pAg,Welcome to the NJDOE YouTube Channel: Acting Commissioner Dr. Angelica Allen-McMillan,2022-08-02T20:20:45Z,New Jersey Department of Education
LScxQQhQMiU,Student Career & Technical Education (CTE) Logo Design Contest,2022-08-02T19:25:22Z,New Jersey Department of Education
0QCe_RHuXEE,Autism 101: Introduction to Autism Spectrum Disorders for Educators,2022-08-02T19:24:34Z,New Jersey Department of Education
m_bzyrzjs-w,Educator Preparation Program (EPPs) Training: Using the NJEdCert Portal,2022-08-02T19:24:23Z,New Jersey Department of Education
