youtube_id,title,publishedAt,channel_name
EDz1ppZnbao,"SBOE February 3, 2016 Regular Business Meeting (Part 2 of 2)",2016-02-12T18:46:53Z,IN Board of Education
_Z_wQRgxjfg,"SBOE February 3, 2016 Regular Business Meeting (Part 1 of 2)",2016-02-09T20:10:54Z,IN Board of Education
iGFgPDuW6Us,"SBOE January 26, 2016 Regular Business Meeting",2016-01-26T20:40:35Z,IN Board of Education
I33br4wsWYc,"SBOE December 2, 2015 Business Meeting (Part 2)",2015-12-04T18:32:16Z,IN Board of Education
NB-KZq8cIA8,"SBOE December 2, 2015 Business Meeting (Part 1)",2015-12-04T17:42:44Z,IN Board of Education
FTAxi8NPDcg,"SBOE November 4, 2015 Business Meeting",2015-11-10T01:43:56Z,IN Board of Education
HfgPhLQbb0A,"SBOE October 14, 2015 Business Meeting Part 1",2015-10-16T14:52:19Z,IN Board of Education
ZPBKI6w7PW4,"SBOE October 14, 2015 Business Meeting Part 2",2015-10-16T13:46:47Z,IN Board of Education
ba1X4Z2tNhE,"SBOE September 16, 2015 Business Meeting Part 3",2015-09-17T22:40:01Z,IN Board of Education
4mk9dpWnTz0,"SBOE September 17, 2015 Strategic Planning Committee",2015-09-17T21:01:03Z,IN Board of Education
y9Vc3N323Gw,"SBOE September 16, 2015 Business Meeting Part 2",2015-09-17T20:57:49Z,IN Board of Education
JEa72uKUg54,"SBOE September 16, 2015 Business Meeting Part 1",2015-09-17T20:39:10Z,IN Board of Education
U8-OuIUjf1A,"SBOE August 5, 2015 Business Meeting Part 3",2015-08-25T16:48:06Z,IN Board of Education
-UHHmki3iSg,"SBOE August 5, 2015 Business Meeting Part 2",2015-08-18T19:22:30Z,IN Board of Education
3EaOQ4Qaz_o,"SBOE August 5, 2015 Business Meeting Part 1",2015-08-18T17:10:08Z,IN Board of Education
tWSN5_zY9TE,"SBOE July 16, 2015 Strategic Planning Committee (2 of 2)",2015-07-20T18:05:25Z,IN Board of Education
0dSCP3-jjVY,"SBOE June 16, 2015 Strategic Planning Committee (1 of 2)",2015-07-20T18:02:54Z,IN Board of Education
0jw9R_A3GAo,"SBOE July 1, 2015 Business Meeting Part 1",2015-07-02T18:28:03Z,IN Board of Education
FL39XcylreM,"SBOE July 1, 2015 Business Meeting Part 2",2015-07-02T18:18:54Z,IN Board of Education
hLYXfQkknu8,"SBOE June 3, 2015 Business Meeting",2015-06-17T13:42:50Z,IN Board of Education
WeRFGBGn-1g,"SBOE May 7, 2015 Business Meeting",2015-05-07T22:23:36Z,IN Board of Education
0uD7kY9MEc8,"SBOE April 23, 2015 Strategic Planning Committee",2015-04-24T19:44:42Z,IN Board of Education
zYpwcqYkdng,"SBOE April 1, 2015 Business Meeting (part 2)",2015-04-01T21:54:57Z,IN Board of Education
_ES3iXfLFeI,"SBOE April 1, 2015 Business Meeting (part 1)",2015-04-01T19:22:15Z,IN Board of Education
l3AavKpVjC4,"SBOE March 12, 2015 Business Meeting (part 1)",2015-03-17T17:44:45Z,IN Board of Education
WBEi7fTp0WI,"SBOE March 12, 2015 Business Meeting (part 2)",2015-03-17T04:45:23Z,IN Board of Education
UGrmPJrqN-k,"SBOE February 19, 2015 Strategic Planning Committee",2015-02-24T20:21:03Z,IN Board of Education
PYu49q3WwyE,"SBOE February 13, 2015 Special Meeting",2015-02-14T20:35:16Z,IN Board of Education
veakiFld764,"SBOE February 4, 2015 Business Meeting (part 3)",2015-02-05T23:53:29Z,IN Board of Education
ZjYmrwFNNh0,"SBOE February 4, 2015 Business Meeting (part 2)",2015-02-05T19:55:33Z,IN Board of Education
JlGmAhDq8TU,"SBOE February 4, 2015 Business Meeting (part 1)",2015-02-05T19:49:17Z,IN Board of Education
8wygn3WySCE,"SBOE January 26, 2015 Strategic Planning Committee (pt. 2)",2015-01-29T21:42:03Z,IN Board of Education
H_IZyuYKBKw,"SBOE January 26, 2015 Strategic Planning Committee (pt. 1)",2015-01-29T21:37:31Z,IN Board of Education
IAIO2UVbGFo,"SBOE January 7, 2015 Business Meeting",2015-01-08T15:01:26Z,IN Board of Education
BoU8r_tJ2Fw,"SBOE December 18, 2014 Strategic Planning Committee",2015-01-06T18:03:52Z,IN Board of Education
RdDCoB3p8tI,"SBOE December 3, 2014 Business Meeting (pt. 3)",2014-12-06T00:04:44Z,IN Board of Education
OmlGd_bYbuk,"SBOE December 3, 2014 Business Meeting (pt. 2)",2014-12-05T22:28:59Z,IN Board of Education
XQqsToULvRE,"SBOE December 3, 2014 Business Meeting (pt. 1)",2014-12-05T22:24:09Z,IN Board of Education
sOLqhcpBDO4,"SBOE November 13, 2014 Strategic Planning Committee",2014-12-02T04:29:03Z,IN Board of Education
TgL0GBqS1pM,"SBOE November 17, 2014 School Turnarounds Committee",2014-11-21T15:22:50Z,IN Board of Education
YNG0wE986NY,"SBOE November 5, 2014 Business Meeting (pt. 1)",2014-11-06T17:12:17Z,IN Board of Education
Qn2jh-PvpTA,"SBOE November 5, 2014 Business Meeting (pt. 2)",2014-11-06T17:06:57Z,IN Board of Education
02M_aQ_9bAM,"SBOE November 5, 2014 Business Meeting (pt. 3)",2014-11-06T16:24:15Z,IN Board of Education
iPUwRSgJ0QA,"SBOE October 15, 2014 Business Meeting (pt. 3)",2014-10-15T23:07:46Z,IN Board of Education
Ilp2THTReVU,"SBOE October 15, 2014 Business Meeting (pt. 1)",2014-10-15T22:26:32Z,IN Board of Education
XG52x0pRW50,"SBOE October 15, 2014 Business Meeting (pt. 2)",2014-10-15T22:25:48Z,IN Board of Education
ffIFZAreQiw,"SBOE October 9, 2014 Turnarounds Committee",2014-10-14T15:54:27Z,IN Board of Education
gCAwfIVtUdU,"SBOE A-F Meeting October 1, 2014 (pt. 2)",2014-10-02T14:36:09Z,IN Board of Education
eDHIVcVK18w,"SBOE A-F Meeting October 1, 2014 (pt. 1)",2014-10-02T14:29:31Z,IN Board of Education
xSSd9NW5T7c,"A-F Accountability Panel Meeting October 1, 2014",2014-10-02T14:15:53Z,IN Board of Education
ZVv1LI1UTa4,"SBOE September 19, 2014 Turnarounds Committee",2014-09-30T20:36:32Z,IN Board of Education
RIlxSQx8O8Y,"SBOE Strategic Planning September 26, 2014",2014-09-30T19:41:47Z,IN Board of Education
zgCEz8zKJoQ,"SBOE September 3, 2014 Business Meeting (pt. 2)",2014-09-11T04:06:12Z,IN Board of Education
l6wL7ArKEQY,"SBOE September 3, 2014 Business Meeting (pt. 1)",2014-09-11T03:10:52Z,IN Board of Education
HQQwjtki9T0,"SBOE September 3, 2014 Business Meeting (pt. 3)",2014-09-11T01:35:06Z,IN Board of Education
RL5zVFCpGyk,"SBOE August 21, 2014 Turnarounds Committee",2014-08-27T13:32:29Z,IN Board of Education
hlItX3puNuI,"SBOE August 6, 2014 Business Meeting (pt. 4)",2014-08-07T14:54:08Z,IN Board of Education
mZ3QAfDme94,"SBOE August 6, 2014 Business Meeting (pt. 2)",2014-08-07T14:05:50Z,IN Board of Education
LJ1-qthBGpY,"SBOE August 6, 2014 Business Meeting (pt. 3)",2014-08-07T13:59:39Z,IN Board of Education
DUqRGOcnixc,"SBOE August 6, 2014 Business Meeting (pt. 1)",2014-08-07T13:58:24Z,IN Board of Education
kksE85o74k4,"SBOE July 25, 2014 Ad Hoc Committee Meeting",2014-07-30T21:06:06Z,IN Board of Education
FQdtOqCrBaM,"SBOE July 23, 2014 Assessment Committee Meeting",2014-07-25T03:49:19Z,IN Board of Education
AiuHGrkPx7Y,"SBOE July 9, 2014 Business Meeting (pt. 3)",2014-07-11T13:54:43Z,IN Board of Education
apP_bVOO1IY,"SBOE July 9, 2014 Business Meeting (pt. 5)",2014-07-11T12:51:31Z,IN Board of Education
gQy5gL8Hdpo,"SBOE July 9, 2014 Business Meeting (pt. 4)",2014-07-11T12:27:33Z,IN Board of Education
CgnT9Gi4i6A,"SBOE July 9, 2014 Business Meeting (pt. 1)",2014-07-11T12:25:20Z,IN Board of Education
NtBivJ6QQts,"SBOE July 9, 2014 Business Meeting (pt. 2)",2014-07-11T12:25:19Z,IN Board of Education
sJvpoGAGgrk,"SBOE June 23, 2014 Special Meeting (pt. 2)",2014-06-24T15:00:33Z,IN Board of Education
