youtube_id,title,publishedAt,channel_name
0bh6Qbl-LTU,Spirit of South Carolina Award - Mike Bullman,2023-11-07T19:45:59Z,South Carolina Department of Education
J53Q5je-NyI,Waterloo Elementary School raises report card score from Average to Excellent,2023-10-27T15:42:05Z,South Carolina Department of Education
mN1me2wOEUM,ARP ESSER Desk Audit Technical Assistance 2022-2023,2023-10-24T21:38:25Z,South Carolina Department of Education
hZQnbQ37-Bw,National Principals Month: Waterloo Elementary School's Kim Penland,2023-10-20T18:54:34Z,South Carolina Department of Education
bZAv9oEDd2o,National School Bus Safety Week Press Conference,2023-10-18T15:38:15Z,South Carolina Department of Education
DiCNuh2AOxk,October 2023 Educator Licensure Cases Committee Meeting,2023-10-16T15:30:19Z,South Carolina Department of Education
4oi6oFx86GM,October 2023 Educator Professions Committee Meeting,2023-10-16T15:29:42Z,South Carolina Department of Education
xgm1OjGVjKE,October 2023 Full Board Educator Licensure Cases,2023-10-16T15:29:09Z,South Carolina Department of Education
tJcgjcMCXhc,October 2023 Policy & Legislative Committee Meeting,2023-10-16T15:28:46Z,South Carolina Department of Education
fuUAQ7OJ4NE,"October 2023 Standards, Learning & Accountability Committee Meeting",2023-10-16T15:28:23Z,South Carolina Department of Education
IgETtseRdvs,October 2023 SBE Meeting,2023-10-16T15:16:30Z,South Carolina Department of Education
6i2lzu-44Ik,Rhetoric and the 2023 SC CCR ELA Standards,2023-10-16T14:43:03Z,South Carolina Department of Education
Li9Y-V73F98,Information on the ELA Vocabulary Support Document,2023-10-12T20:21:04Z,South Carolina Department of Education
YTV_ZCKWvwQ,Information on the ELA Glossary Support Document,2023-10-12T20:20:37Z,South Carolina Department of Education
brlDvXDkLtg,Information on the Vertical Articulations with Indicator Insights ELA Standards Support Document,2023-10-12T20:20:11Z,South Carolina Department of Education
ivp0IoiDAZ4,Information on the Text Complexity Support Document,2023-10-12T20:19:44Z,South Carolina Department of Education
8eKjOx5mr2M,Research Support Document ELA Standards Support Document,2023-10-12T20:19:13Z,South Carolina Department of Education
R02tR8zcmpo,September 2023 Special Areas Speech-Language Professional Evaluation Office Hours,2023-10-12T15:19:56Z,South Carolina Department of Education
sxNf7caNW2U,September 2023 Special Areas School Librarian Evaluation Office Hours,2023-10-12T15:07:46Z,South Carolina Department of Education
u958NMn9H9M,September 2023 Special Areas School Counselor Evaluation Office Hours,2023-10-12T15:03:57Z,South Carolina Department of Education
oapuMl6Cpbk,"October 4, 2023 Educator Effectiveness Virtual Office Hours",2023-10-11T17:05:46Z,South Carolina Department of Education
BaRGQnode8s,2023 South Carolina Report Card Press Conference,2023-10-10T20:10:10Z,South Carolina Department of Education
O3jxiQz9w84,Family and Community Engagement Summit pt. 1,2023-10-05T14:54:08Z,South Carolina Department of Education
QffWxThN54E,Family and Community Engagement Summit pt. 2,2023-10-05T14:49:07Z,South Carolina Department of Education
I62sUObojQ4,Monthly Data Reporting Meeting (9/21/2023),2023-09-22T20:41:58Z,South Carolina Department of Education
LgMKPj3WCY0,2023 ESSER Conference Day 1- Bruman and Colleton County School District Presentations,2023-09-20T20:37:54Z,South Carolina Department of Education
wSLmo9J0Ztc,2023 ESSER Conference Day 2,2023-09-20T20:37:28Z,South Carolina Department of Education
tsB9pWynAxc,2023 ESSER Conference Day 1- Maintenance of Equity,2023-09-20T20:34:15Z,South Carolina Department of Education
pKZf666HYcA,2023 Procurement Best Practices and FAQs,2023-09-19T14:40:57Z,South Carolina Department of Education
ws9F0F2tIEM,Employability Credential Data Entry Training,2023-09-18T14:06:44Z,South Carolina Department of Education
NkF5JYu77-4,September 2023 State Board Meeting,2023-09-15T14:54:40Z,South Carolina Department of Education
UieoHtAPr6E,Educator Licensure Cases Committee Meeting,2023-09-14T15:18:39Z,South Carolina Department of Education
vALjKIoo7_Y,"Standards, Learning, & Accontability Committee Meeting",2023-09-14T15:09:40Z,South Carolina Department of Education
DkXOzywHmTA,Full Board Educator Licensure Cases,2023-09-14T15:09:17Z,South Carolina Department of Education
3vPPI-Tfc3c,2023 N&D Training Day 2 part 1,2023-09-12T18:56:58Z,South Carolina Department of Education
GUQ7L-K1L8M,2023 N&D Training Day 1 part 1,2023-09-12T18:30:32Z,South Carolina Department of Education
uVgW93tLAsQ,2023 N&D Training Day 1 part 2,2023-09-12T18:27:43Z,South Carolina Department of Education
YOuy96rRZO4,2023 N&D Training Day 2 part 2,2023-09-12T18:26:46Z,South Carolina Department of Education
JfkdNOGg-LE,2023 N&D Training Day 1 part 3,2023-09-12T18:26:03Z,South Carolina Department of Education
oT4hTkif7L4,South Carolina Teaching Standards (SCTS) 4.0: Teacher Content Knowledge,2023-09-12T17:24:35Z,South Carolina Department of Education
aAcEwPosfm0,Monthly Data Reporting Meeting (8/31/2023),2023-09-05T16:57:19Z,South Carolina Department of Education
YlJcHZhRQDc,South Carolina Teaching Standards (SCTS) 4.0: Student Work,2023-09-01T13:30:47Z,South Carolina Department of Education
rw-XF_i30iY,Diving Into the 2023 ELA Standards: Summer Webinar Session #3,2023-08-30T13:12:48Z,South Carolina Department of Education
Qho1CruWhMU,South Carolina Teaching Standards (SCTS) 4.0: Grouping Students,2023-08-24T19:19:10Z,South Carolina Department of Education
VCSfxZLe_Js,South Carolina Teaching Standards (SCTS) 4.0: Instructional Plans,2023-08-22T19:40:14Z,South Carolina Department of Education
X9KR4Uez3aw,Educator Effectiveness Office Hours August 2023,2023-08-22T16:57:58Z,South Carolina Department of Education
SyRBSI4uhNc,SC Project AWARE: August 2023 Monthly Meeting,2023-08-16T19:29:04Z,South Carolina Department of Education
OxKasqqKqb4,1st Quarter LACES Data Meeting,2023-08-15T19:19:30Z,South Carolina Department of Education
jzdpzy3X85I,August 2023 Educator Professions Committe Meeting,2023-08-11T14:06:01Z,South Carolina Department of Education
lyjsQWFNeRU,August 2023 Full Board Educator Licensure Cases,2023-08-11T14:05:39Z,South Carolina Department of Education
A419cW6BVgg,August 2023 Policy & Legislative Committee Meeting,2023-08-11T14:05:15Z,South Carolina Department of Education
i6JXZXdB_bQ,August 2023 Educator Licensure Cases Committee Meeting,2023-08-11T14:04:50Z,South Carolina Department of Education
NhqjaxSxqqU,August 2023 State Board Meeting,2023-08-11T13:55:03Z,South Carolina Department of Education
d5bQOv2xvYI,2024 South Carolina Teacher of the Year - Renee' Atkinson,2023-08-08T15:12:34Z,South Carolina Department of Education
4HVyC3Z9Cmc,South Carolina Teaching Standards (SCTS) 4.0: Academic Feedback,2023-08-07T18:09:27Z,South Carolina Department of Education
