youtube_id,title,publishedAt,channel_name
n5TzqOYtW10,Maryland Board Of Education Meeting - Virtual Public Hearing | Thursday 11-9-23 4:30 p.m - 8 p.m,2023-11-10T12:18:00Z,MSDE TV
OkZ-PsWK4HM,Maryland Transforms,2023-11-09T20:37:05Z,MSDE TV
LjC5RQ8diKM,Blueprint Special Education Workgroup - Wednesday 11.29.23 | 4 - 6 p.m EST,2023-11-09T19:04:21Z,MSDE TV
6DcOggXdbWY,"Education Transformation & Accountability Committee  - Thursday November 7th, 2023 | 6p.m - 7:15p.m",2023-11-08T11:56:01Z,MSDE TV
lG9Mi7K2cD4,"Professional Standards & Teacher Education Board Meeting | Thursday, 11-2-2023 9:30 a.m - 3 p.m",2023-11-03T04:44:12Z,MSDE TV
XfGgtzbLd0o,Blueprint Special Education Workgroup - Wednesday 11.1.23 | 4 - 6 p.m EST,2023-11-02T10:16:54Z,MSDE TV
BtUaBGDxSA4,"Meeting of the Maryland State Board of Education - Tuesday October 24th, 2023 | 9 a.m - 6 p.m",2023-10-24T20:05:04Z,MSDE TV
pqDtPqxI8Po,"ED Policy Committee - Thursday October 19th, 2023 | 8 p.m - 9 p.m",2023-10-20T13:09:38Z,MSDE TV
2jxVc9HbgOA,"Professional Standards & Teacher Education Board Meeting | Thursday, Oct 8th, 2023 9:30 a.m - 3 p.m",2023-10-06T05:16:32Z,MSDE TV
icM0uMgfXm0,"Meeting of the Maryland State Board of Education - Tuesday September 26nd, 2023",2023-09-27T04:53:44Z,MSDE TV
fyJkFtYt6pc,"Nonpublic School Transportation Task Force Meeting #2 on September 14, 2023",2023-09-21T15:10:00Z,MSDE TV
vt23B783Oao,Blueprint Special Education Workgroup - Wednesday 9.20.23 | 4 - 6 p.m EST,2023-09-21T10:13:02Z,MSDE TV
1wU_ZG8U1c0,Professional Standards and Teacher Education Board Meeting | Thursday 9.14.23,2023-09-14T20:21:05Z,MSDE TV
WPtkk7R67eA,"Meeting of the Maryland State Board of Education - Tuesday December 5th, 2023 | 9 a.m - 6 p.m",2023-09-13T18:23:29Z,MSDE TV
NtJNhm8hr_0,BOOST Scholarship Program: Reporting Requirements for Nonpublic Schools Support Session on 09 07 23,2023-09-07T19:59:49Z,MSDE TV
PeDeKHN-NJ0,"Nonpublic School Transportation Task Force Meeting 1   August 24, 2024",2023-09-06T12:20:33Z,MSDE TV
ycDSNMCgOOM,Blueprint Special Education Workgroup - Wednesday 8.23.23 | 4 - 6 p.m EST,2023-08-24T10:12:42Z,MSDE TV
C1peJTqk124,BOOST Reporting Requirements for Nonpublic Schools Customer Service Support Session on 08 22 2023,2023-08-23T16:41:03Z,MSDE TV
GP-YbOpixfU,"Meeting of the Maryland State Board of Education - Tuesday August 22nd, 2023",2023-08-23T00:56:47Z,MSDE TV
z8FHYKbX6dE,"Meeting of the Maryland State Board of Education - Tuesday August 22nd, 2023",2023-08-22T12:30:49Z,MSDE TV
UtMLPoIfHig,"Nonpublic School Health and Security Program Customer Service Support Session on August 08, 2023",2023-08-09T12:07:30Z,MSDE TV
u2DrlSjQgrs,Professional Standards and Teacher Education Board Meeting | Thursday 8.3.23,2023-08-04T02:36:16Z,MSDE TV
X99EKxlcYBg,Therapeutic Child Care Grant Program Customer Service Support Session on July 28 2023,2023-08-03T15:15:37Z,MSDE TV
Q3qY-rWWb9g,"BOOST Advisory Board Meeting | Monday July 31st, 2023 10AM - 12PM",2023-08-01T03:32:20Z,MSDE TV
-nnXod56D1Q,Youth Employment Virtual Community Conversation - Thursday 7.27.23 | 6 - 7:30 p.m. EST,2023-07-28T11:37:50Z,MSDE TV
aZH52PAu4Es,"Meeting of the Maryland State Board of Education - Tuesday July 25th, 2023",2023-07-25T23:35:53Z,MSDE TV
qixxk5AdRPk,Ulysses Currie Head Start State Supplemental Funding Grant FY2024 Customer Service Support Session 3,2023-07-07T20:06:25Z,MSDE TV
0TxVSRyaHGQ,"MSDE Child Care Provider and Employee Bonus Reporting Technical Assistance Session on May 23, 2023",2023-06-30T14:20:27Z,MSDE TV
Big5wWZ83VY,"MSDE Child Care Provider and Employee Bonus Reporting Technical Assistance Session on May 29, 2023",2023-06-30T14:20:18Z,MSDE TV
slvj6ZX3qLY,"Webinar on the Blueprint for Maryland's Future: Focusing on School Health on June 14, 2023",2023-06-30T14:19:57Z,MSDE TV
0zQc1UxtIig,"Child Care Career and Professional Development Fund Customer Service Support Session, June 21, 2023",2023-06-30T14:19:36Z,MSDE TV
r9rctaC8nJQ,"State Aided Institutions (SAI) Program Kick-Off Meeting for FY2024 on June 22, 2023",2023-06-30T14:19:24Z,MSDE TV
zs-PpdhogFE,"Ulysses Currie Head Start Program Grant Customer Service Support Session on June 26, 2023",2023-06-30T14:19:10Z,MSDE TV
rJcML7Wfx6g,"Ulysses Currie Head Start State Supplemental Funding Grant FY24 Customer Service Session 2, June 28",2023-06-30T14:18:54Z,MSDE TV
qIiF5NrJRlo,"Meeting of the Maryland State Board of Education - Tuesday June 27th, 2023",2023-06-27T23:24:06Z,MSDE TV
-6IZzjIX9jg,Virtual Ready For Kindergarten Charette - Thursday 6.8.23 | 6 - 7:30 p.m. EST,2023-06-09T12:05:21Z,MSDE TV
pi-s-dXJ-zw,Community Partner Virtual Roundtable - Thursday 6.1.23 | 6 - 7:30 p.m. EST,2023-06-02T11:48:01Z,MSDE TV
5pdOuF10vIo,Professional Standards and Teacher Education Board Meeting | Thursday 6.1.23,2023-06-02T04:12:49Z,MSDE TV
uxWGsBh9TzI,"Meeting of the Maryland State Board of Education - Tuesday May 23rd, 2023",2023-05-23T20:42:49Z,MSDE TV
b7S8a8gBhAU,Virtual Ready for College and Career Charette - Tuesday 5.16.23 | 6 - 7:30 p.m. EST,2023-05-17T11:53:24Z,MSDE TV
kYLV9cQKLPU,Virtual Ready For High School Charette - Thursday 5.11.23 | 6 - 7:30 p.m. EST,2023-05-12T11:33:09Z,MSDE TV
XeydlCnlv3I,Student Virtual Roundtable - Wednesday 4.26.23 | 6 - 7:30 p.m. EST,2023-04-27T11:36:10Z,MSDE TV
zRmawYsLE4w,"Meeting of the Maryland State Board of Education - Tuesday April 25th, 2023",2023-04-26T00:38:21Z,MSDE TV
HnYkuW2Kk3w,School Staff Virtual Roundtable - Thursday 4.13.23 | 6 - 7:30 p.m. EST,2023-04-14T11:39:44Z,MSDE TV
eEBr0L0ZOvI,"Meeting of the Maryland State Board of Education - Tuesday March 28th, 2023",2023-03-28T21:37:42Z,MSDE TV
xBCwM3XUDbw,Higher Education Virtual Roundtable - Thursday 3.15.23 | 6 - 7:30 p.m. EST,2023-03-15T23:56:01Z,MSDE TV
bIPbLjL9nY8,Commission to Study DORS Workgroup - Monday 3.6.23 | 1 p.m - 4 p.m. EST,2023-03-06T21:35:50Z,MSDE TV
7OLAqosEDOQ,"Meeting of the Maryland State Board of Education - Tuesday February 28th, 2023",2023-03-01T00:42:11Z,MSDE TV
DT3KsICLLyw,Business Virtual Roundtable - Thursday 2.16.23 | 6 - 7:30 p.m. EST,2023-02-17T00:44:35Z,MSDE TV
F3_D5qYE2WY,Commission to Study DORS Workgroup - Monday 2.13.23 | 1:00 - 3:30 p.m. EST,2023-02-13T20:50:23Z,MSDE TV
QR1b-0jACy4,Commission to Study DORS Workgroup - Monday 2.13.23 | 1:00 - 3:30 p.m. EST,2023-02-10T18:14:45Z,MSDE TV
1cK3mnW1dmM,Educator Virtual Roundtable - Thursday 1.25.23 | 6 - 7:30 p.m. EST,2023-01-26T00:45:30Z,MSDE TV
6eYoQ8Hq144,"Meeting of the Maryland State Board of Education - Tuesday January 24th, 2023",2023-01-25T05:23:56Z,MSDE TV
h_bf2sgsko0,Commission to Study DORS Workgroup - 1.23.23 | 1:00 p.m. - 3:30 p.m. EST,2023-01-23T19:59:34Z,MSDE TV
3Vg7seLVjZ4,Family Virtual Roundtable - Thursday 12.15.22 | 6 - 7:30 p.m. EST,2022-12-16T00:48:41Z,MSDE TV
UR-We1YANig,Commission to Study DORS Workgroup - 12.8.22 | 12:30 p.m. - 4:00 p.m. EST,2022-12-08T21:15:41Z,MSDE TV
S5oYLT1NTU0,"Meeting of the Maryland State Board of Education - Tuesday December 6th, 2022",2022-12-06T22:44:44Z,MSDE TV
Ujksw_8Mobk,Student Virtual Roundtable - Thursday 11.17.22 | 6 - 7:30 p.m. EST,2022-11-18T00:36:59Z,MSDE TV
GKwYha3Mg6o,Commission to Study DORS Workgroup - 11.17.22 | 10 a.m. - 12:30 p.m. EST,2022-11-17T17:52:45Z,MSDE TV
ESLa03Rx-iA,Maryland State Board of Education Board Meeting | Tuesday 11.16.2022,2022-11-16T21:24:57Z,MSDE TV
